label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76
0.03	north1_all	80	4618	4408	1276	900	668	737	422	449	264	876	162	133	115	95	231	123	63	135	91	63	33	39	49	73	20	21	14	21	13	12	8	6	14	12	6	4	7	13	2	2	8	1	4	1	1	2	1	1	9	14	1	0	1	0	0	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1442	3512	291	339	148	531	217	309	103	814	67	43	38	44	206	95	18	105	77	42	19	32	33	71	7	17	9	18	8	2	0	1	3	8	1	2	7	13	0	1	5	1	1	1	1	1	1	0	9	12	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4583	4436	1301	917	645	754	435	486	251	869	185	134	106	96	192	120	56	120	94	64	39	40	45	77	18	39	16	24	6	11	8	4	14	7	5	3	4	16	4	0	7	1	4	2	0	3	1	1	9	10	1	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1456	3519	277	370	152	543	225	330	93	806	82	41	43	39	166	94	18	90	80	45	21	33	31	75	6	36	10	19	3	2	1	1	2	4	1	1	4	16	0	0	4	1	0	0	0	2	1	0	9	8	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4622	4540	1248	923	613	741	426	467	240	828	179	114	108	101	212	118	52	95	91	73	39	42	33	50	17	43	22	20	5	11	8	3	11	7	6	2	7	21	4	0	6	1	2	2	0	3	1	0	24	10	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	1447	3665	270	400	157	539	225	330	88	764	71	30	44	52	194	93	11	71	74	56	20	34	23	46	6	39	13	14	3	3	1	1	2	3	2	1	5	20	0	0	3	1	0	0	0	2	1	0	24	8	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4564	4535	1273	891	601	775	432	457	237	865	185	125	117	112	210	116	58	80	83	61	47	55	30	54	14	42	19	25	5	9	7	4	7	5	8	1	7	21	4	0	7	1	2	3	1	1	0	0	25	6	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	1448	3696	277	374	161	578	209	309	91	800	72	28	45	65	190	88	12	65	62	46	23	44	24	47	6	39	14	14	1	2	2	1	0	3	4	1	2	20	0	0	5	0	1	1	0	1	0	0	25	5	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4545	4253	1274	898	587	777	415	425	234	775	156	124	119	110	190	96	59	76	65	59	42	59	34	53	18	33	14	24	7	10	6	8	2	5	9	1	8	13	2	1	7	1	2	2	1	0	1	0	17	6	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
0.03	north5_active	80	1359	3377	279	330	165	573	198	284	90	711	61	29	36	61	175	67	12	60	45	44	23	44	26	44	8	29	9	16	2	2	2	3	0	3	4	1	2	10	0	1	6	0	1	2	0	0	0	0	17	5	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
