label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83
0.03	north1_all	80	6467	2611	2692	1229	787	792	436	506	411	665	205	170	420	130	129	104	100	103	104	86	37	38	59	49	29	25	26	10	19	15	8	13	12	8	12	7	6	4	2	3	2	5	0	1	1	3	0	0	0	2	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
0.03	north1_active	80	3381	1257	1607	642	387	460	200	276	240	398	102	77	294	70	59	48	41	58	63	56	20	22	42	25	11	17	16	6	9	11	5	10	10	3	9	1	3	2	1	0	1	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0
0.03	north2_all	80	6417	2583	2633	1210	800	804	432	505	402	679	219	158	408	137	133	95	90	115	104	82	42	35	56	56	32	31	31	16	13	18	7	11	13	8	12	6	4	5	4	3	2	2	0	0	3	1	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0
0.03	north2_active	80	3381	1252	1541	633	403	450	204	278	228	428	114	70	299	77	66	41	37	70	73	56	21	17	29	28	13	21	22	9	7	12	4	8	9	3	6	0	2	2	1	1	1	2	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	1	0
0.03	north3_all	80	6391	2614	2612	1226	822	758	447	504	395	639	236	163	409	139	131	99	69	119	86	73	43	38	65	51	23	35	29	15	14	18	10	10	17	9	10	6	3	5	3	5	1	5	0	0	3	5	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	3401	1253	1490	660	406	414	216	274	213	403	125	67	287	77	71	45	28	80	58	49	27	20	33	27	9	22	18	9	9	12	7	7	13	3	4	2	1	0	0	2	0	4	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_all	80	6470	2653	2541	1224	849	781	437	496	385	642	217	173	367	127	115	112	77	110	87	86	39	34	71	50	16	35	24	11	9	13	11	13	17	4	13	5	5	8	2	5	1	5	2	0	3	5	1	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3451	1258	1481	682	403	420	211	281	209	411	121	75	252	69	62	54	37	75	62	55	23	16	38	29	8	21	17	6	7	9	9	9	12	2	3	2	3	3	0	3	0	4	2	0	3	3	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6510	2601	2604	1168	851	810	410	487	379	626	221	178	346	120	104	109	74	106	98	72	40	34	74	41	17	32	27	9	13	14	14	18	16	6	13	6	5	9	1	3	2	6	3	0	3	5	2	3	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3483	1242	1514	651	406	449	202	281	197	420	129	86	242	59	52	56	35	73	68	40	24	17	46	26	10	18	19	4	9	7	10	10	14	3	4	4	3	6	0	2	0	4	2	0	3	3	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	6524	2673	2526	1127	866	821	390	485	386	573	209	186	313	125	103	103	78	102	89	85	38	35	60	40	19	36	27	10	12	14	14	20	17	6	12	7	6	10	1	1	2	3	5	1	2	1	3	4	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north6_active	80	3446	1283	1489	588	439	479	189	290	226	375	119	90	217	64	56	53	38	72	54	53	20	16	40	30	12	19	20	4	7	8	9	11	14	3	6	4	3	6	0	1	0	2	4	0	2	1	2	3	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north7_all	80	6544	2661	2560	1126	880	823	401	494	374	594	210	177	350	127	91	95	73	107	91	80	42	32	53	37	22	36	26	12	15	12	12	13	15	5	18	7	3	7	1	0	1	5	4	2	2	0	5	2	2	1	3	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north7_active	80	3482	1271	1511	574	453	466	184	304	209	404	110	95	239	64	53	49	32	71	55	56	26	13	35	23	13	21	17	5	9	5	7	7	14	3	14	5	0	4	0	0	0	4	3	1	2	0	4	0	0	1	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
