label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47
0.03	north1_all	80	8613	4001	4366	1343	2361	706	1020	404	471	548	159	226	186	79	49	43	43	37	60	23	59	5	12	16	13	5	7	6	6	5	3	1	0	2	3	0	15	1	1	1	1	0	0	2	0	0	0	0
0.03	north1_active	80	2081	1778	3495	292	2045	329	856	218	366	472	75	182	153	39	13	11	23	18	49	6	57	0	9	13	7	3	3	4	5	3	1	1	0	0	2	0	15	1	0	1	1	0	0	2	0	0	0	0
0.03	north2_all	80	8654	3984	4242	1323	2385	693	968	426	470	528	157	252	180	84	45	43	47	36	64	22	54	7	10	15	15	4	5	9	5	4	3	1	0	1	2	0	16	0	1	1	2	0	0	2	0	0	0	0
0.03	north2_active	80	2113	1756	3389	298	2064	332	812	225	388	457	78	210	140	37	10	10	27	17	54	5	48	0	7	12	10	2	2	7	4	2	1	1	0	0	2	0	16	0	0	1	2	0	0	2	0	0	0	0
0.03	north3_all	80	8662	3952	4127	1271	2390	706	958	413	488	474	169	291	195	83	44	43	56	34	60	23	60	10	7	14	23	3	9	10	4	1	1	1	0	0	2	0	14	0	1	2	1	0	0	2	0	0	0	0
0.03	north3_active	80	2182	1737	3295	291	2061	343	798	231	415	400	86	247	159	34	10	9	37	15	51	4	54	1	4	11	20	1	5	8	4	1	1	1	0	0	2	0	14	0	0	2	1	0	0	2	0	0	0	0
0.03	north4_all	80	8722	3873	4079	1243	2298	683	931	446	496	459	179	313	198	82	50	43	47	24	47	24	42	9	6	15	20	2	10	9	6	0	4	0	0	0	1	1	1	0	1	2	1	0	0	0	0	0	0	0
0.03	north4_active	80	2159	1725	3276	294	1979	342	776	266	415	383	87	262	165	40	11	7	35	9	39	7	35	1	2	13	18	1	6	9	4	0	3	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0
0.03	north5_all	80	8600	3826	4071	1269	2349	687	954	429	507	510	182	299	202	72	47	38	46	31	41	17	55	7	7	15	45	5	7	7	4	2	4	0	0	0	1	1	0	2	1	1	1	1	0	0	0	0	0	0
0.03	north5_active	80	2125	1694	3301	302	2035	332	775	254	421	435	88	238	168	37	10	7	33	15	31	5	52	1	3	12	42	4	5	6	1	1	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
0.03	north6_all	80	8574	3801	4214	1286	2382	694	983	406	482	531	190	254	146	83	52	36	42	35	45	14	63	9	9	12	36	7	7	5	6	2	4	1	1	1	2	2	0	2	0	0	1	1	0	4	0	0	0	0
0.03	north6_active	80	2095	1672	3397	295	2096	337	805	233	382	458	85	198	114	40	11	6	30	19	35	4	60	1	6	8	33	6	6	4	3	1	3	0	1	1	1	0	0	2	0	0	0	0	0	4	0	0	0	0
0.03	north7_all	80	8505	3772	4154	1307	2432	698	987	394	492	558	182	254	164	76	51	45	45	39	42	15	69	9	13	16	37	9	5	5	4	3	2	1	2	2	2	3	0	2	0	1	1	1	0	4	0	0	0	0
0.03	north7_active	80	2098	1651	3308	315	2144	322	806	207	391	485	78	205	134	38	16	9	32	24	30	5	68	1	7	13	35	5	3	4	3	1	1	0	2	1	1	1	0	2	0	0	0	0	0	4	0	0	0	0
0.03	north8_all	80	8604	3838	4091	1309	2417	681	951	409	497	540	176	241	174	85	54	49	34	37	37	14	51	8	16	14	7	6	5	6	2	1	2	4	2	2	1	2	0	0	0	1	1	0	0	5	0	0	0	0
0.03	north8_active	80	2141	1640	3245	295	2118	311	781	208	402	473	80	202	140	38	15	15	25	21	27	5	48	1	7	11	7	3	3	5	2	0	1	3	2	1	1	1	0	0	0	0	0	0	0	5	0	0	0	0
0.03	north9_all	80	8706	3974	4123	1322	2328	700	932	442	532	583	161	252	194	88	57	51	37	35	31	20	48	8	14	22	15	7	6	3	6	1	1	3	1	1	1	1	4	0	0	1	0	0	0	5	0	0	0	0
0.03	north9_active	80	2187	1715	3279	306	2012	318	748	240	432	513	85	202	161	42	18	16	25	24	24	5	45	3	3	21	13	2	4	2	6	0	0	3	1	0	1	1	4	0	0	0	0	0	0	5	0	0	0	0
0.03	north10_all	80	8724	4035	4081	1313	2386	657	959	440	529	550	178	252	192	89	54	51	46	31	34	18	47	8	13	17	18	4	9	3	5	2	1	4	1	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_active	80	2159	1762	3264	294	2067	292	768	247	439	478	89	197	152	39	13	18	26	22	29	4	42	3	3	15	16	1	5	2	4	2	0	4	1	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0
0.03	north11_all	80	8650	3803	3846	1390	2314	691	903	391	507	484	159	198	159	64	55	42	44	31	35	22	45	8	11	13	14	5	4	4	4	5	2	3	2	0	1	1	2	1	1	26	0	0	0	0	0	0	0	1
0.03	north11_active	80	2229	1529	2948	361	1961	283	712	205	396	389	82	163	116	31	17	10	30	19	30	8	41	2	5	9	10	3	3	3	4	5	1	2	0	0	0	0	2	1	0	26	0	0	0	0	0	0	0	1
0.03	north12_all	80	8651	3795	3365	1350	1880	673	807	385	463	445	154	191	158	55	51	44	34	34	33	20	33	9	12	15	12	1	6	3	5	2	2	4	2	1	1	0	0	1	4	18	0	0	0	0	0	0	0	1
0.03	north12_active	80	2432	1334	2426	396	1509	259	594	191	346	347	69	146	108	19	15	10	17	16	24	6	30	3	6	12	9	1	3	2	5	2	1	2	0	1	0	0	0	1	3	18	0	0	0	0	0	0	0	1
0.03	north13_all	80	8578	3786	2937	1295	1479	659	692	375	375	337	162	177	156	65	52	55	32	31	25	21	35	9	9	9	11	2	8	4	3	1	3	2	1	2	0	0	0	1	5	1	0	0	0	0	0	0	0	1
0.03	north13_active	80	2642	1176	1960	424	1104	220	470	169	245	254	61	116	99	18	13	19	12	14	15	10	32	3	5	7	8	1	2	3	3	1	0	0	0	1	0	0	0	1	4	1	0	0	0	0	0	0	0	1
0.03	north14_all	80	8479	3753	2722	1269	1328	628	629	354	321	308	150	153	135	69	53	68	29	36	19	22	31	13	6	11	7	4	11	4	4	0	3	3	1	2	1	0	0	0	5	1	0	0	1	0	0	0	0	0
0.03	north14_active	80	2702	1094	1701	429	948	209	408	147	186	219	48	88	88	19	11	23	11	12	7	7	27	6	2	10	5	0	3	3	4	0	1	1	0	1	0	0	0	0	4	1	0	0	0	0	0	0	0	0
0.03	north15_all	80	8451	3833	3046	1239	1692	627	730	373	373	383	164	189	156	85	52	68	28	35	37	21	35	16	11	13	7	5	10	5	4	0	4	6	1	1	1	0	0	0	5	0	0	0	1	0	1	0	0	0
0.03	north15_active	80	2515	1275	2095	391	1336	223	515	165	245	289	63	135	105	33	10	21	16	9	26	7	30	7	3	12	5	1	5	3	4	0	1	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	8436	3827	3451	1261	2042	620	883	380	455	438	166	212	139	78	49	61	31	34	43	24	35	14	10	16	12	5	10	6	4	1	3	5	1	0	2	0	0	3	1	0	0	0	1	0	1	0	0	0
0.03	north16_active	80	2298	1460	2540	364	1685	247	685	185	336	341	68	167	105	29	10	16	23	13	33	7	30	4	2	15	9	2	6	3	2	0	1	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	8565	3906	3838	1282	2300	635	959	419	482	484	180	240	203	75	52	53	36	34	41	19	31	15	9	25	11	10	8	3	4	2	2	5	1	0	2	1	0	3	1	0	0	0	1	0	1	0	0	0
0.03	north17_active	80	2200	1688	3016	324	1979	286	771	235	376	407	88	202	160	32	11	13	25	13	32	2	29	4	2	20	9	7	7	1	2	0	1	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	8641	3910	3988	1286	2437	642	1051	442	479	464	169	231	211	62	53	48	40	35	45	25	54	12	8	23	12	10	6	4	6	4	2	1	1	0	2	1	0	3	1	0	0	0	0	0	1	0	0	0
