label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45
0.03	north1_all	80	2547	1029	920	452	226	248	173	102	72	52	98	51	31	18	17	15	16	20	7	5	5	4	4	3	5	2	0	0	5	1	1	0	0	1	1	1	0	1	1	0	4	0	0	0	0	0
0.03	north1_active	80	1382	531	574	268	103	157	108	55	48	26	66	29	20	12	10	10	8	16	5	3	2	3	3	1	4	2	0	0	5	0	1	0	0	1	1	0	0	1	0	0	4	0	0	0	0	0
0.03	north2_all	80	2420	1020	904	402	224	251	177	93	77	52	95	54	25	16	15	19	17	15	7	8	3	5	3	2	5	1	0	1	2	1	2	1	0	0	1	1	0	1	0	0	4	0	0	0	0	0
0.03	north2_active	80	1306	537	538	223	100	159	114	49	51	28	54	28	13	10	9	11	7	10	6	6	1	4	2	1	4	1	0	0	2	0	1	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0
0.03	north3_all	80	2367	976	829	393	206	236	172	81	69	50	88	52	27	16	13	16	15	19	7	9	2	5	8	1	6	0	0	1	2	1	1	1	0	0	0	1	0	1	0	0	4	0	0	0	0	0
0.03	north3_active	80	1252	526	476	202	102	139	104	42	43	22	49	31	11	11	9	9	10	12	4	7	1	3	5	0	6	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0
0.03	north4_all	80	2302	958	795	372	209	239	133	78	65	48	58	48	26	14	12	16	14	13	8	10	2	3	9	1	3	0	0	2	0	0	1	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0
0.03	north4_active	80	1200	510	442	180	103	145	70	33	39	22	26	27	10	9	8	9	8	8	4	7	1	2	7	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0
0.03	north5_all	80	2268	939	744	361	199	224	124	75	67	52	56	53	34	15	17	14	14	13	9	9	1	2	9	2	2	1	1	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1171	474	411	167	91	146	62	33	38	19	25	36	18	10	9	9	6	9	4	5	1	1	6	1	2	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2352	929	728	418	201	219	123	74	69	43	52	50	32	12	19	22	14	12	8	8	2	3	7	3	2	2	1	2	0	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1225	443	391	220	92	141	69	33	35	17	27	31	21	8	11	13	6	6	3	5	2	2	6	2	1	2	1	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2426	933	758	433	193	233	139	71	83	53	68	56	33	13	25	24	20	12	6	13	2	4	2	7	1	3	4	1	0	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	1304	440	431	239	85	150	75	33	43	20	41	32	24	8	14	15	6	8	3	10	2	3	1	5	0	2	4	1	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	2521	980	809	483	198	228	169	72	73	53	85	51	30	16	22	20	19	6	6	10	2	6	1	7	11	2	4	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	1372	500	482	286	89	138	97	36	42	19	53	31	22	8	12	13	8	3	3	9	2	3	1	5	10	1	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	2557	1052	859	513	234	261	172	82	75	52	108	63	25	15	15	15	20	10	5	11	3	5	4	9	13	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	1382	532	528	291	109	161	102	41	42	18	66	35	15	6	9	8	9	6	4	8	3	3	3	7	12	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	2501	1050	870	511	246	252	168	89	83	53	100	65	31	16	13	11	14	12	4	12	2	5	8	7	12	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north10_active	80	1348	543	523	294	116	158	104	49	46	21	60	41	19	5	5	8	8	6	3	7	2	2	5	6	12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
