label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64
0.03	north1_all	80	9362	3884	2635	1433	3395	763	748	441	352	276	697	229	177	189	282	89	85	67	50	63	49	64	19	19	22	13	18	13	10	5	6	6	4	3	4	2	27	0	5	5	2	0	3	0	0	3	0	0	0	0	7	0	0	0	2	1	5	1	1	0	0	0	0	0	0
0.03	north1_active	80	4247	1378	1411	457	3066	175	441	196	128	73	612	157	110	128	252	18	32	46	13	53	36	56	6	5	12	6	9	8	4	2	2	4	2	1	4	2	26	0	2	4	2	0	2	0	0	3	0	0	0	0	7	0	0	0	2	1	5	0	0	0	0	0	0	0	0
0.03	north2_all	80	9298	3840	2575	1458	3075	756	704	467	333	281	697	211	185	189	289	89	82	65	49	62	51	75	23	18	19	15	18	12	11	4	6	4	4	3	3	2	26	1	5	4	3	0	1	1	0	2	0	0	0	2	5	1	0	0	0	1	5	1	1	0	0	0	0	0	0
0.03	north2_active	80	4080	1334	1365	449	2750	181	409	193	119	83	628	152	102	126	257	20	31	42	12	51	35	64	7	5	12	6	12	7	6	3	2	2	2	1	3	2	24	1	2	3	3	0	0	1	0	2	0	0	0	2	5	0	0	0	0	1	5	0	0	0	0	0	0	0	0
0.03	north3_all	80	9076	3769	2513	1461	2684	775	643	447	337	284	605	205	172	159	242	86	94	70	40	62	45	70	25	17	14	13	12	13	7	5	10	4	3	1	3	2	23	2	4	3	1	0	1	2	0	2	0	1	0	2	0	1	0	0	0	0	4	1	1	0	0	0	0	0	0
0.03	north3_active	80	3635	1174	1236	433	2311	233	344	168	114	93	527	131	88	94	208	27	40	44	12	48	28	55	10	5	11	6	5	7	3	3	3	0	1	1	3	1	22	1	3	1	1	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
0.03	north4_all	80	8985	3878	2473	1455	2501	800	692	436	354	289	588	203	153	146	224	90	82	75	39	62	40	65	24	22	11	15	15	9	12	5	14	4	1	2	2	3	25	3	2	2	1	1	1	3	1	0	2	1	0	2	1	1	0	0	0	0	4	0	1	0	0	0	0	0	0
0.03	north4_active	80	3528	1172	1169	422	2117	243	374	165	124	95	510	125	68	91	187	23	37	48	14	43	25	52	9	6	7	7	8	3	6	2	5	0	0	1	2	2	24	1	1	0	1	0	0	3	0	0	2	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
0.03	north5_all	80	8984	3943	2504	1449	2492	788	679	448	384	288	642	207	150	143	248	88	79	71	42	56	39	44	21	23	14	12	12	12	7	8	13	6	3	3	2	3	8	2	3	2	0	2	1	4	1	0	2	1	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	3548	1243	1157	412	2106	227	369	176	127	87	553	116	68	89	214	24	37	42	14	37	24	35	6	9	6	4	7	7	4	3	5	0	1	0	2	1	8	0	1	0	0	0	0	4	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	9168	4037	2599	1479	2797	745	704	451	382	275	748	219	184	153	330	80	84	76	39	65	40	57	20	28	17	9	15	8	10	9	11	7	4	5	1	4	10	1	3	2	1	3	1	3	1	2	2	1	0	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	3997	1405	1318	465	2453	199	388	198	141	82	657	135	101	106	296	18	45	53	14	44	30	46	5	9	7	2	8	6	5	3	3	1	2	0	1	2	10	0	1	0	1	1	0	3	0	1	2	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	9314	3991	2659	1517	3120	757	742	480	399	278	788	242	187	149	355	74	81	76	46	67	46	60	19	28	20	6	14	8	11	8	6	8	5	8	0	2	8	1	2	4	2	2	1	3	0	2	0	0	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	4309	1492	1420	472	2800	182	434	214	161	71	711	158	111	108	321	17	43	53	13	54	36	47	6	13	10	1	9	6	6	2	2	1	2	0	0	1	6	0	0	2	2	1	1	3	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	9244	3864	2706	1585	3132	726	750	521	373	292	718	268	210	157	377	71	97	70	46	63	73	66	23	31	22	4	10	12	12	7	6	7	2	6	2	1	5	0	1	3	2	1	1	1	1	2	3	1	1	3	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	4263	1411	1491	497	2809	180	426	244	149	79	633	184	133	112	339	17	53	51	11	48	57	53	6	15	15	2	5	7	6	1	1	1	1	0	0	1	2	0	0	2	2	1	1	1	0	1	3	1	1	2	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	9278	3836	2761	1556	3320	732	776	549	338	284	724	269	195	157	357	65	94	54	48	68	76	84	23	32	23	6	10	14	11	11	7	6	2	4	3	3	3	0	1	3	1	1	2	1	2	0	3	1	1	3	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	4311	1407	1545	498	2999	178	456	248	144	72	638	180	122	115	318	16	56	38	13	53	58	72	5	14	18	3	6	7	6	2	1	1	1	0	1	1	0	0	0	2	1	1	1	1	0	0	3	1	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	9335	3782	2763	1530	3305	738	748	550	342	279	767	261	211	168	350	66	105	58	40	58	79	66	22	25	25	10	12	16	11	8	6	2	2	2	5	2	2	0	1	4	2	1	2	1	2	0	3	1	1	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1
0.03	north10_active	80	4349	1380	1556	494	2983	179	443	256	141	75	677	179	140	124	309	15	61	38	15	43	56	53	4	8	17	5	6	10	5	1	1	0	2	1	3	0	0	0	0	4	2	1	0	1	0	0	3	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	9415	3859	2700	1484	3334	750	773	497	378	291	695	238	183	173	271	80	77	85	57	75	51	69	36	11	16	16	6	22	13	3	4	2	13	8	1	3	4	2	3	3	3	2	4	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	4313	1462	1475	465	3006	157	459	234	143	70	622	164	106	126	243	14	41	59	19	55	30	61	9	1	10	3	4	17	9	1	3	1	10	4	1	1	4	2	1	2	0	2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	9317	3794	2585	1517	2862	727	717	486	350	314	574	224	184	160	254	80	91	69	48	66	49	61	28	15	21	11	10	18	15	6	2	4	11	5	1	3	7	2	4	3	4	1	4	1	1	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	3995	1334	1360	465	2520	175	422	216	115	78	501	134	96	103	218	21	42	44	13	51	28	55	7	4	15	1	7	12	9	3	1	2	10	2	1	1	6	2	1	2	2	1	4	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
