label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44
0.03	north1_all	80	19135	3829	3375	1214	893	572	424	307	232	203	328	152	108	61	43	30	33	29	13	10	9	15	10	6	4	0	12	2	2	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	12017	1780	2044	537	429	277	198	163	116	120	201	97	55	41	19	16	25	17	7	5	4	13	8	0	3	0	7	0	1	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	19090	3823	3427	1198	873	576	404	305	227	198	308	137	109	76	41	42	42	20	14	7	6	14	8	8	1	1	9	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	12074	1808	2095	528	422	262	193	154	112	116	188	94	50	52	16	18	32	9	8	3	1	12	5	0	0	0	3	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0
0.03	north3_all	80	19107	3876	3497	1180	871	571	396	302	222	208	299	136	122	83	57	47	38	18	13	6	8	9	10	7	0	1	8	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0
0.03	north3_active	80	12002	1843	2131	541	435	255	193	158	115	118	182	96	68	49	31	28	25	7	8	3	3	7	5	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north4_all	80	19005	3801	3618	1193	858	562	406	309	216	225	280	140	119	83	58	43	42	19	10	8	8	8	10	8	2	1	9	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	11966	1800	2197	552	420	245	195	155	120	127	190	96	72	44	35	23	29	8	6	3	3	6	5	0	1	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north5_all	80	19349	3816	3669	1163	892	526	396	302	214	233	262	159	109	75	61	40	33	20	11	9	7	12	10	3	4	1	4	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	12160	1790	2215	530	423	242	190	150	118	134	184	109	72	36	37	27	20	10	5	6	4	7	7	0	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	19467	3804	3642	1177	917	546	410	292	235	222	276	144	103	71	59	40	37	21	12	14	5	10	8	2	4	2	3	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north6_active	80	12326	1807	2210	531	437	260	216	136	129	122	187	101	75	37	30	18	24	13	6	9	3	5	5	1	2	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north7_all	80	19322	3869	3618	1170	888	569	405	248	222	218	264	151	99	65	64	45	32	19	10	13	6	9	8	3	3	2	3	1	2	1	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0
0.03	north7_active	80	12161	1808	2219	529	418	271	217	114	116	119	192	98	69	41	32	20	19	13	3	9	3	4	4	1	2	2	3	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
0.03	north8_all	80	19184	3946	3576	1192	904	553	395	253	221	206	278	142	109	71	60	42	29	16	14	15	7	7	8	4	1	2	4	2	2	1	1	1	0	0	0	0	0	0	0	2	0	0	1	0	0
