label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50
0.03	north1_all	80	1277	470	300	683	431	305	88	248	47	29	30	21	41	32	9	11	7	9	13	4	5	17	4	3	2	1	1	2	2	0	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0
0.03	north1_active	80	672	215	147	456	265	212	54	177	26	13	13	10	27	21	3	3	5	4	11	1	5	8	1	3	2	0	1	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north2_all	80	1243	481	278	678	433	327	99	237	46	31	25	23	36	29	11	9	11	7	17	3	3	15	2	2	3	2	3	1	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0
0.03	north2_active	80	661	223	139	465	282	226	60	155	25	13	9	13	21	20	6	3	8	4	13	2	3	6	0	2	2	1	3	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
0.03	north3_all	80	1214	471	290	641	438	357	89	213	54	33	26	21	49	48	13	12	9	5	12	4	4	11	2	1	2	2	2	1	1	1	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	647	220	146	419	306	237	59	128	28	16	7	9	33	38	8	3	6	2	9	3	3	1	0	0	1	1	2	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1218	453	258	644	399	380	101	209	60	32	24	23	45	43	14	11	10	3	10	5	2	12	2	2	2	3	3	2	0	2	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0
0.03	north4_active	80	638	215	130	414	274	257	67	118	33	18	7	12	32	38	8	2	7	3	5	4	1	3	0	1	1	2	2	1	0	2	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north5_all	80	1213	479	258	604	374	334	100	229	64	29	27	22	48	43	17	12	7	3	10	5	2	6	5	2	1	2	1	3	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0
0.03	north5_active	80	637	233	121	379	250	208	60	136	39	14	9	11	35	36	10	4	5	3	5	3	0	2	0	1	1	2	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north6_all	80	1242	452	254	547	364	350	95	254	53	32	30	25	55	32	16	14	10	3	12	6	1	16	6	1	1	6	2	2	0	2	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	2	0	0
0.03	north6_active	80	650	216	119	326	239	227	58	150	32	15	16	16	43	20	9	6	5	2	5	3	0	4	2	1	1	5	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0
0.03	north7_all	80	1253	464	275	478	348	300	85	227	46	33	29	27	49	23	12	13	12	2	9	6	2	17	7	0	1	7	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0
0.03	north7_active	80	654	216	124	300	223	199	49	154	28	13	16	14	35	12	8	6	7	1	3	3	1	6	4	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north8_all	80	1218	436	267	430	327	275	79	220	46	31	29	26	65	17	9	17	15	4	11	4	3	14	6	1	2	6	8	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
0.03	north8_active	80	627	195	124	266	212	192	45	136	33	10	20	14	53	7	6	6	8	2	6	1	2	4	4	1	2	3	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_all	80	1195	431	255	418	308	270	92	203	50	29	33	26	47	21	9	21	17	4	10	5	5	10	3	1	2	5	7	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	612	194	120	260	196	190	50	129	31	10	22	11	37	13	5	6	11	2	7	2	3	5	2	1	1	3	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	1162	441	254	494	339	247	93	232	47	28	29	24	55	27	13	18	14	5	12	7	5	2	1	2	4	3	7	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	574	191	121	320	221	182	49	144	30	13	16	9	45	16	7	6	9	2	9	3	3	2	0	2	3	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	1263	419	270	529	388	425	90	241	42	27	27	20	32	26	19	15	10	9	15	5	2	6	2	2	3	0	3	7	1	2	0	1	1	3	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north11_active	80	657	185	124	325	259	288	59	164	21	10	16	7	12	20	7	6	4	4	7	1	1	0	0	0	2	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_all	80	1305	416	274	539	431	402	92	288	36	25	33	23	29	26	20	16	6	8	11	6	3	6	3	3	1	0	2	5	0	2	0	1	1	3	2	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north12_active	80	681	189	121	336	263	267	58	187	19	9	21	10	13	18	9	6	3	4	4	1	1	3	3	1	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north13_all	80	1336	434	283	569	434	387	101	275	44	33	35	22	57	25	15	18	10	5	16	6	4	5	5	2	1	0	1	1	0	1	0	0	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	695	198	126	356	277	264	56	169	23	13	24	9	38	16	8	7	3	2	12	2	2	5	5	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	1337	445	267	596	423	400	99	244	43	30	34	23	70	25	15	17	7	7	18	4	5	14	5	2	0	1	3	1	0	1	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north14_active	80	705	202	119	380	275	269	56	159	22	14	22	12	50	14	7	5	1	3	14	1	3	11	5	1	0	0	2	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	1336	459	251	615	399	362	95	231	47	33	28	24	73	29	18	13	6	9	16	9	5	14	4	1	0	1	2	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north15_active	80	697	199	118	397	279	233	57	159	25	14	15	15	50	18	6	5	1	3	10	4	3	11	3	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north16_all	80	1282	438	229	566	352	349	89	177	42	30	27	29	53	25	14	13	5	11	10	7	3	13	3	2	0	1	3	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north16_active	80	644	188	100	374	232	227	59	121	19	16	14	16	31	14	4	5	3	3	2	4	3	9	1	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north17_all	80	1235	447	246	483	324	308	84	160	47	30	24	31	39	28	14	7	5	8	7	7	3	7	4	2	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north17_active	80	612	184	104	320	201	200	53	104	22	16	13	16	16	14	5	5	4	1	1	3	3	6	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north18_all	80	1240	431	258	448	304	265	83	128	45	29	21	25	33	22	20	6	9	7	10	4	8	7	2	3	0	0	2	1	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
