label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137
0.03	north1_all	80	5496	2118	1005	735	1018	1011	317	585	513	593	283	206	235	172	119	123	170	82	78	88	49	65	50	42	58	54	35	39	42	28	29	24	36	82	19	11	22	18	20	21	25	15	46	14	37	8	13	13	6	16	7	23	10	7	5	11	0	11	5	12	4	3	2	4	3	4	4	0	5	5	7	2	0	2	1	1	0	0	1	1	2	3	1	0	2	0	0	0	1	0	0	0	0	0	0	2	0	2	0	1	0	1	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	3241	1128	455	378	606	648	136	395	334	377	176	112	129	99	64	62	106	36	45	50	20	28	25	16	32	37	16	19	26	14	15	13	25	51	9	6	15	10	9	13	17	7	30	9	27	4	10	2	1	11	3	20	3	5	1	5	0	8	3	7	2	1	2	4	1	3	2	0	5	3	6	0	0	0	0	0	0	0	1	1	2	0	1	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	5412	2149	1026	731	1018	1031	327	593	512	614	283	188	240	154	110	125	163	89	73	97	47	61	51	38	55	45	38	35	42	28	33	25	33	70	18	9	19	16	19	25	28	21	39	14	33	4	15	15	8	14	7	18	12	5	4	11	1	17	5	5	8	2	5	0	4	3	4	1	12	7	7	2	0	0	0	1	0	0	1	0	0	0	1	1	2	0	1	0	1	0	1	0	0	0	0	2	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	3194	1141	461	369	631	671	141	392	343	404	159	100	123	91	62	67	88	41	42	59	22	27	31	13	29	25	18	15	30	14	12	8	19	41	7	4	13	9	6	18	17	11	30	10	25	1	11	3	2	10	3	16	3	5	0	5	1	15	3	2	6	0	4	0	1	3	2	1	11	5	6	0	0	0	0	0	0	0	1	0	0	0	1	1	2	0	1	0	1	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	5496	2085	989	719	985	1026	320	547	504	618	305	182	255	161	109	120	167	84	73	119	47	52	51	41	49	40	40	31	49	29	33	20	32	44	15	11	23	17	20	31	33	15	34	16	32	6	15	18	7	8	9	6	7	5	2	11	3	14	5	6	6	4	5	2	3	1	3	1	11	7	6	2	1	0	0	1	0	0	3	0	0	4	2	1	1	2	1	0	0	0	1	0	0	6	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	3279	1143	446	356	628	655	147	367	332	409	168	99	133	92	57	60	94	38	39	75	21	25	33	14	28	20	20	12	39	18	15	7	17	24	7	6	14	9	8	25	17	8	22	12	26	2	9	8	3	6	5	5	0	5	0	10	2	12	3	3	5	2	4	0	0	1	1	1	9	5	5	0	0	0	0	0	0	0	1	0	0	3	2	1	1	1	1	0	0	0	1	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	5464	2074	1010	724	993	1077	301	544	502	593	345	193	255	166	114	114	167	76	77	113	57	57	51	47	41	46	40	26	55	27	32	18	28	42	12	13	25	13	12	29	29	13	36	14	30	5	20	15	5	8	14	5	5	1	4	10	3	17	2	9	10	6	4	4	2	3	2	3	10	8	2	2	1	0	0	2	0	0	3	0	0	6	1	2	1	2	1	0	1	0	1	1	0	7	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	3264	1148	452	360	632	720	141	350	324	380	204	98	142	92	59	60	101	32	40	73	30	32	32	22	21	20	24	9	41	16	17	4	10	23	4	5	15	6	7	22	13	6	24	10	18	3	10	9	2	5	9	5	0	1	1	9	2	16	1	7	6	3	3	1	0	1	1	1	8	5	1	1	0	0	0	1	0	0	1	0	0	5	1	1	1	1	1	0	0	0	1	0	0	7	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	5435	2087	996	702	994	1055	297	541	487	565	349	208	254	169	109	128	161	72	75	105	63	74	55	52	42	52	44	29	50	22	29	18	30	54	17	15	26	19	13	27	15	11	27	13	27	7	23	9	3	8	15	4	8	3	6	15	4	11	3	10	11	7	3	6	2	4	3	3	3	5	0	1	2	1	0	2	0	1	2	2	0	7	2	2	1	3	1	0	1	1	0	1	0	8	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	3213	1172	456	344	633	671	142	353	329	358	213	99	141	85	57	74	97	34	43	60	32	36	31	30	23	24	26	13	35	13	20	7	15	37	5	8	15	10	8	18	3	6	14	8	17	5	15	7	2	5	8	4	5	1	2	10	3	10	1	8	5	3	3	3	1	1	1	0	2	3	0	1	0	0	0	1	0	0	0	1	0	5	1	1	1	2	1	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	5349	2124	1013	703	1040	1017	306	561	470	561	326	226	235	174	106	119	178	59	72	103	58	82	52	51	44	56	40	29	41	18	27	23	33	62	13	19	21	23	11	23	9	10	17	9	33	6	16	10	2	9	13	5	7	5	8	15	2	13	4	13	9	4	4	6	1	7	3	4	2	3	0	2	1	3	0	2	1	1	1	2	0	6	2	1	1	2	2	0	1	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	1	0
0.03	north6_active	80	3047	1134	465	363	647	628	141	365	309	352	209	102	134	81	58	72	106	28	42	64	26	38	28	31	23	34	22	14	23	7	19	12	18	44	4	11	12	14	7	15	3	3	10	6	22	4	11	6	0	5	8	3	5	1	4	10	2	10	1	9	4	1	2	3	1	1	1	1	2	1	0	2	0	2	0	1	0	0	0	1	0	4	1	0	1	1	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	1	0
0.03	north7_all	80	5410	2116	1003	736	1041	979	327	584	478	519	321	203	214	170	93	109	170	62	75	107	53	76	53	50	41	55	39	35	39	22	23	26	39	76	16	19	23	24	14	28	14	7	14	7	33	7	17	7	2	17	11	7	8	4	6	11	3	10	2	11	8	3	3	3	3	10	5	2	5	3	0	1	2	3	3	2	1	4	1	2	1	4	1	1	1	2	2	0	0	1	1	0	0	2	0	0	0	1	0	0	0	0	1	0	3	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	0	1	0	0	1	0
