label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98
0.03	south23_active	80	2328	6118	467	883	599	341	884	108	102	426	57	159	400	48	29	15	115	34	57	16	19	14	112	25	7	97	4	3	44	11	25	11	5	13	3	3	5	4	2	23	4	7	3	1	1	3	3	2	8	7	8	2	1	1	5	0	0	1	4	1	4	1	0	0	0	0	1	0	0	0	0	0	8	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	5888	7671	1577	1469	1067	724	1163	406	341	613	215	266	506	143	113	91	160	82	92	65	47	43	135	43	35	138	28	31	58	22	27	22	14	21	6	11	14	11	6	27	9	6	3	4	4	3	3	3	7	7	4	5	1	5	6	2	0	2	0	1	4	1	1	0	0	0	1	0	0	0	0	0	8	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	2503	6771	518	938	657	377	952	118	122	501	43	164	440	56	27	17	118	38	63	16	17	15	121	25	6	128	7	8	53	10	24	12	7	19	3	3	10	8	1	25	7	2	1	0	1	3	3	2	6	7	4	2	0	4	5	0	0	1	0	1	4	1	0	0	0	0	1	0	0	0	0	0	8	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	5962	7706	1573	1433	1000	681	1081	391	363	643	221	268	439	133	111	95	154	77	93	75	46	47	173	42	33	142	29	28	54	18	21	17	14	22	10	10	10	14	9	27	10	4	5	3	3	2	3	3	10	9	4	3	0	11	8	4	0	2	0	0	4	0	1	0	1	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
0.03	south25_active	80	2559	6814	502	906	612	367	887	117	130	536	40	159	378	52	26	19	117	42	64	25	13	16	155	27	9	134	11	10	50	8	18	9	7	19	5	3	7	9	1	25	8	1	2	0	1	2	2	2	9	8	4	0	0	11	7	0	0	0	0	0	4	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0.03	south26_all	80	6036	7705	1612	1482	1007	664	1050	385	336	667	230	269	401	131	111	105	175	77	82	77	44	49	163	44	39	137	28	25	65	16	19	16	16	26	10	9	12	13	7	22	9	7	5	3	3	4	3	0	10	6	5	3	1	12	13	4	0	2	0	2	1	0	1	1	1	0	2	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0
0.03	south26_active	80	2553	6824	516	942	601	368	877	118	123	558	41	157	343	48	25	28	130	38	55	27	14	20	143	28	7	128	12	10	60	6	17	10	5	20	5	2	10	8	2	19	7	2	1	0	0	4	1	0	8	4	5	0	1	12	12	0	0	0	0	2	1	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
0.03	south27_all	80	6053	7699	1596	1486	982	698	1091	392	334	619	232	257	409	135	112	109	163	68	81	73	47	44	188	44	41	112	25	21	53	19	25	14	14	23	10	10	7	5	8	19	7	6	5	1	3	3	3	0	14	8	1	3	1	12	9	3	0	1	1	2	1	0	1	2	1	1	2	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0
0.03	south27_active	80	2561	6768	493	942	591	386	929	111	110	523	46	148	349	52	23	32	124	30	56	32	18	17	167	25	9	108	10	8	46	7	23	7	2	16	6	3	7	2	3	16	5	3	1	0	0	3	0	0	12	5	1	1	1	12	8	0	0	0	1	2	1	0	0	2	0	0	2	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
0.03	south28_all	80	5848	7292	1648	1507	964	699	1128	391	328	575	221	253	411	143	101	96	174	64	70	69	54	45	170	43	37	103	21	19	46	18	31	20	16	19	10	8	8	3	10	14	6	7	2	4	5	6	2	4	7	7	1	3	1	9	6	2	0	0	1	2	1	0	0	2	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0
