label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88
0.03	north1_all	80	2322	1219	1074	642	539	1104	219	171	270	119	118	90	92	67	113	100	37	99	38	29	29	27	49	21	20	22	17	9	28	8	11	7	10	29	11	8	9	7	3	12	1	3	1	4	2	2	1	2	1	7	0	2	1	0	1	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	1103	627	608	371	316	785	95	83	167	57	68	47	43	29	68	66	23	74	17	21	16	13	33	8	13	13	7	7	23	6	1	4	4	8	8	3	1	3	2	6	0	2	0	0	2	1	1	1	1	6	0	0	1	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	2330	1238	1139	659	534	1197	211	147	246	127	120	81	84	67	106	91	37	98	40	30	32	23	46	21	18	25	19	14	29	7	14	8	7	28	11	8	10	4	4	12	2	4	1	1	4	1	1	2	2	1	0	2	1	0	0	0	1	1	1	3	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0
0.03	north2_active	80	1081	647	669	377	305	847	93	73	143	64	69	41	38	28	58	59	24	72	19	22	22	11	22	10	11	16	10	9	19	4	7	5	1	6	7	4	4	0	2	6	2	2	0	0	4	0	1	2	1	1	0	1	1	0	0	0	0	1	0	2	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	2326	1230	1090	674	572	1194	197	153	261	122	104	82	85	62	82	95	34	94	38	39	35	19	48	24	23	18	19	12	28	7	12	5	4	10	11	16	9	3	3	17	3	3	0	2	5	1	5	2	2	1	0	2	0	1	0	0	1	2	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0
0.03	north3_active	80	1076	658	645	388	339	836	82	77	153	61	56	38	45	27	50	63	20	68	15	27	23	10	27	13	12	11	11	6	20	4	8	4	0	4	7	11	4	1	1	9	2	2	0	0	5	0	4	2	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	2320	1249	1089	672	571	1098	200	168	250	121	101	78	79	59	89	92	30	109	34	41	33	24	55	21	31	15	18	14	26	8	18	7	7	9	9	17	7	2	2	21	5	2	1	3	4	0	5	2	1	1	0	2	0	1	0	0	1	2	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north4_active	80	1051	680	638	383	318	765	90	85	138	59	54	32	46	25	52	61	16	74	9	26	21	11	37	10	22	10	9	8	18	3	10	4	4	4	1	13	4	1	0	13	4	1	0	1	4	0	4	2	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2328	1208	1056	658	528	972	199	164	234	114	103	83	78	50	76	90	39	103	29	37	38	27	54	14	29	13	19	11	22	9	18	4	6	10	8	16	7	4	2	24	7	4	1	3	2	1	4	0	0	1	1	1	0	1	0	0	1	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north5_active	80	1020	640	618	369	294	641	89	78	121	54	47	36	45	24	48	53	16	69	11	20	18	12	37	6	20	5	10	6	17	4	9	0	4	5	1	13	2	3	0	16	4	3	0	1	2	1	3	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	2303	1197	1015	646	487	840	215	166	218	108	99	79	75	56	75	91	36	98	30	31	41	25	49	11	31	17	14	11	22	10	15	5	8	8	6	14	11	5	0	17	7	4	2	2	2	3	3	1	0	1	1	0	0	2	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	1003	601	577	351	258	563	93	71	106	49	41	29	41	26	44	57	11	63	13	14	20	10	38	3	26	8	8	6	14	5	5	1	5	4	1	10	6	3	0	13	4	3	1	2	2	3	3	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	2290	1144	1025	609	486	771	204	160	220	120	96	82	74	43	69	84	33	99	35	28	34	28	43	11	28	15	15	9	20	9	14	5	6	4	1	10	14	5	0	15	6	4	1	3	1	4	1	1	0	0	1	0	1	2	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	990	557	569	334	256	500	89	59	115	54	40	34	37	16	39	50	9	69	20	16	17	14	31	5	22	6	7	3	13	4	8	1	1	2	1	5	6	3	0	13	3	3	1	2	1	4	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
