label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84
0.03	north1_all	80	1946	868	551	365	335	225	175	140	204	78	66	105	73	48	106	36	49	327	17	33	25	12	17	12	7	9	9	8	8	12	3	10	7	110	2	12	5	5	0	4	2	6	2	5	18	1	2	4	0	0	1	3	1	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	521	308	132	70	156	51	80	41	159	21	17	75	43	23	94	6	33	310	5	16	7	3	7	2	2	3	6	2	7	3	1	5	5	110	0	11	2	5	0	2	0	5	1	4	18	1	1	2	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1914	876	535	358	321	223	168	139	205	85	72	85	75	37	107	35	52	241	20	37	19	11	17	9	7	10	12	6	8	8	5	9	9	116	3	9	7	6	1	3	2	5	0	5	7	1	2	2	2	0	1	2	1	0	0	0	0	0	26	0	2	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0.03	north2_active	80	511	298	118	79	154	47	84	45	151	20	17	61	46	21	88	6	36	227	7	23	4	2	7	1	3	4	9	3	5	3	1	3	8	115	1	9	4	6	0	1	0	5	0	4	7	1	1	2	1	0	0	1	1	0	0	0	0	0	26	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0.03	north3_all	80	1905	901	515	368	305	218	167	129	207	100	84	86	83	36	109	35	52	260	23	29	19	13	19	12	9	10	10	7	7	6	8	8	11	106	4	4	4	15	1	6	0	2	1	1	2	1	0	2	3	0	0	1	1	0	0	0	0	0	26	1	3	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6
0.03	north3_active	80	480	310	115	76	149	54	80	35	153	24	20	69	53	22	89	9	34	248	8	18	4	1	9	1	5	3	9	3	4	2	1	2	11	105	1	4	3	15	0	3	0	2	1	0	2	1	0	2	1	0	0	0	1	0	0	0	0	0	26	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6
0.03	north4_all	80	1886	872	506	371	292	211	183	128	194	106	88	74	68	45	109	34	38	242	21	22	22	13	13	12	11	13	12	6	6	4	8	10	10	52	5	6	2	19	2	5	1	2	1	1	2	0	0	2	4	0	0	0	2	0	1	0	0	0	19	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6
0.03	north4_active	80	445	292	108	81	125	54	77	36	129	20	20	52	42	24	84	11	22	234	7	14	5	3	7	1	8	4	9	2	4	2	0	3	9	49	3	5	2	19	1	4	0	2	1	0	2	0	0	2	1	0	0	0	2	0	0	0	0	0	19	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6
0.03	north5_all	80	1887	850	518	354	296	231	176	127	185	104	92	70	78	49	120	36	33	204	16	15	22	17	14	20	11	13	7	7	3	4	6	9	9	32	6	4	0	19	2	5	2	2	1	0	3	0	1	0	4	0	1	0	2	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	6
0.03	north5_active	80	383	255	117	81	125	62	73	31	122	19	17	40	48	23	96	13	23	199	3	8	5	4	8	5	7	5	3	2	1	2	0	5	8	30	5	3	0	19	1	4	0	2	1	0	3	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	6
0.03	north6_all	80	1893	847	546	365	302	230	178	129	176	98	83	68	79	55	103	40	35	136	20	19	28	18	16	16	9	11	7	6	6	5	5	10	8	23	4	3	1	17	1	4	2	1	2	1	5	0	1	0	2	0	1	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
0.03	north6_active	80	368	249	121	89	117	55	71	33	113	15	18	39	47	28	76	12	24	127	3	11	8	4	7	4	4	3	2	2	3	3	0	5	6	21	4	2	1	17	1	3	0	1	1	1	5	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_all	80	1880	881	543	353	296	225	148	142	196	92	91	80	77	50	96	37	35	102	24	21	26	20	19	18	11	11	6	7	9	6	6	6	8	24	3	2	2	7	1	2	1	2	2	1	9	0	2	0	3	0	1	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
0.03	north7_active	80	376	250	117	92	106	52	54	34	132	19	25	44	40	21	66	7	26	91	6	12	8	5	8	5	4	5	2	3	4	2	0	3	6	23	3	2	1	7	1	2	0	2	0	1	9	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_all	80	1900	950	566	358	285	222	166	156	233	88	81	84	72	49	90	33	36	142	22	19	33	19	15	10	9	8	4	6	17	6	6	3	6	22	0	1	2	23	1	2	0	5	3	1	6	2	2	1	2	0	1	1	1	0	1	0	3	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	427	298	126	94	104	53	68	41	175	19	25	53	37	22	67	5	25	129	5	10	14	6	7	3	1	5	2	3	13	1	1	1	4	21	0	1	1	23	0	2	0	4	1	1	6	2	1	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	1935	911	558	345	278	223	167	154	231	95	83	112	72	40	106	21	51	236	28	23	26	18	13	14	13	5	7	10	15	7	4	2	7	30	0	0	3	28	2	2	2	5	3	2	8	2	2	1	3	0	1	2	0	0	1	0	3	4	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	496	287	118	80	110	47	61	39	174	17	25	79	40	18	89	3	34	224	7	11	11	6	8	4	2	5	3	2	11	1	1	1	4	29	0	0	1	28	0	2	0	4	2	2	8	2	1	0	1	0	0	0	0	0	0	0	3	3	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	1931	924	564	347	282	210	170	151	231	92	93	114	75	35	129	30	50	284	27	21	27	18	9	11	11	3	10	9	15	3	5	4	7	67	1	1	3	35	2	1	2	4	2	1	7	2	1	1	2	1	2	1	0	0	2	0	3	4	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	500	305	118	81	117	40	79	31	183	21	21	86	39	14	109	5	34	276	6	8	16	4	5	4	2	3	5	2	10	0	2	3	5	66	0	0	1	35	0	1	0	2	2	1	7	2	1	0	1	0	1	0	0	0	1	0	3	3	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	1916	897	550	372	291	233	160	104	175	99	78	117	59	61	111	43	41	255	24	29	25	14	17	12	8	14	16	9	14	9	8	4	9	39	4	7	6	21	4	1	1	8	6	5	0	2	0	0	2	0	1	0	0	0	1	0	1	0	2	1	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north11_active	80	416	304	110	98	133	54	75	23	128	23	14	84	25	24	88	6	18	245	6	17	5	3	6	2	5	9	9	2	11	3	2	3	5	37	1	5	5	20	1	1	1	7	4	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north12_all	80	1931	886	569	355	314	224	177	127	171	95	75	106	63	68	102	36	38	268	23	34	26	14	20	17	8	16	17	10	13	9	7	5	11	22	3	5	7	27	4	0	2	7	6	5	0	5	1	0	2	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0
0.03	north12_active	80	430	283	120	91	141	44	78	38	115	21	16	71	36	26	81	6	20	252	5	17	6	2	6	4	3	8	8	2	10	3	3	3	7	21	0	4	4	26	1	0	1	7	4	5	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north13_all	80	1950	909	570	380	336	207	189	132	171	104	77	105	64	59	91	35	26	284	24	42	23	18	18	20	6	19	15	4	15	9	6	5	13	22	1	6	5	33	4	0	1	8	0	7	7	4	2	0	0	0	0	1	0	1	1	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north13_active	80	462	309	117	89	151	41	79	41	115	27	20	73	39	21	73	6	16	267	5	23	5	2	8	4	1	9	5	2	14	4	2	3	8	20	0	4	1	32	2	0	0	8	0	7	7	2	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	1892	933	554	393	326	203	178	138	174	97	68	111	68	51	89	36	33	276	22	38	17	11	22	21	11	19	12	2	8	7	2	4	14	19	0	3	4	31	6	0	1	1	3	2	9	4	2	0	0	0	0	1	0	1	1	0	3	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north14_active	80	452	298	118	90	147	43	66	36	123	20	13	77	38	17	69	7	15	260	3	21	5	0	12	4	3	7	5	0	4	3	2	3	9	16	0	2	0	31	2	0	0	1	2	2	8	2	1	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	1869	934	546	375	302	207	177	138	171	95	70	121	55	43	97	38	34	213	15	36	19	11	15	20	11	13	11	5	12	7	3	4	14	30	1	5	4	9	5	1	1	1	4	2	9	0	6	0	0	0	0	2	0	1	0	1	4	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north15_active	80	425	289	120	80	124	43	68	32	117	20	9	84	26	13	79	8	15	199	2	20	6	0	10	5	5	5	6	0	8	3	2	2	10	28	0	2	1	9	1	1	0	1	3	2	8	0	5	0	0	0	0	1	0	1	0	1	3	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	1845	905	548	364	261	202	178	127	181	84	66	96	56	36	67	38	39	126	15	29	17	10	18	15	13	12	11	5	15	3	4	6	8	30	2	4	3	5	3	2	2	1	4	3	8	0	4	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	402	268	121	77	112	35	71	27	125	23	7	63	27	13	47	10	16	113	3	14	6	0	13	3	6	5	7	0	11	2	1	3	7	28	0	1	1	5	0	1	0	1	3	2	7	0	4	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	1855	898	561	338	290	208	202	140	185	78	75	97	72	34	81	35	33	188	15	28	19	11	18	15	11	10	11	9	15	2	6	7	8	27	4	6	2	8	2	5	3	0	4	3	1	2	4	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north17_active	80	423	294	119	71	130	38	92	29	129	18	11	60	41	13	64	9	17	180	3	12	5	0	14	2	6	5	7	1	13	1	1	4	7	27	1	2	1	8	0	2	0	0	4	2	0	0	4	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north18_all	80	1855	887	546	367	314	211	199	131	183	87	80	103	66	41	93	43	27	208	19	25	15	10	19	16	8	7	7	12	14	2	6	8	11	29	5	6	2	18	3	6	3	1	4	3	1	7	0	0	0	1	1	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north18_active	80	474	313	117	84	139	47	97	32	134	20	14	70	42	17	75	11	13	201	2	11	4	0	12	3	2	4	4	4	11	1	0	4	11	29	1	4	0	18	1	2	0	0	4	2	0	5	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north19_all	80	1921	913	544	384	323	216	186	138	184	98	101	111	70	47	117	36	33	331	24	39	19	11	20	12	10	6	4	14	9	4	7	7	11	41	4	5	1	28	4	6	2	3	4	4	4	7	2	0	0	1	1	2	0	0	2	1	10	0	1	0	0	4	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north19_active	80	516	335	110	94	150	51	94	37	141	20	17	81	43	18	102	8	19	326	6	23	3	1	9	2	2	4	1	6	7	2	0	3	9	41	1	3	0	28	1	1	0	2	4	2	3	5	1	0	0	1	0	2	0	0	0	1	10	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0
0.03	north20_all	80	1993	890	533	375	322	219	188	125	185	82	93	102	65	52	105	32	31	370	25	34	16	17	19	11	9	3	7	12	9	4	8	4	14	46	5	5	2	31	6	3	1	4	4	4	5	7	2	0	0	0	2	3	0	0	2	1	10	0	1	0	0	4	1	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north20_active	80	552	328	107	94	152	54	96	36	141	15	21	71	39	18	93	5	20	365	9	23	1	1	7	2	1	3	3	6	7	2	1	1	10	46	2	4	1	31	1	0	0	3	4	2	4	5	1	0	0	0	1	3	0	0	0	1	10	0	0	0	0	4	0	0	0	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0
0.03	south21_all	80	1882	943	519	384	284	210	198	138	204	93	76	113	54	57	132	52	38	319	18	17	30	18	11	11	8	16	5	7	15	9	8	15	9	32	2	5	4	8	5	1	1	4	8	20	4	2	1	0	3	3	0	1	1	2	0	3	12	1	3	0	0	0	0	0	1	1	1	1	0	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0
0.03	south21_active	80	502	339	110	90	142	60	99	47	166	27	16	77	30	36	108	11	23	309	5	11	11	3	3	3	3	10	1	3	12	7	3	14	9	30	1	2	0	8	0	1	0	3	8	19	4	1	0	0	2	3	0	0	0	2	0	1	12	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south22_all	80	1932	915	511	371	288	208	201	140	198	80	80	123	74	54	151	52	46	298	12	20	29	17	10	16	10	11	4	6	18	4	11	17	12	37	2	7	5	10	4	2	0	5	6	21	3	2	4	0	1	3	0	1	2	0	1	0	12	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
0.03	south22_active	80	514	353	97	79	145	59	97	41	162	23	21	96	40	32	128	13	27	288	3	10	11	3	5	5	4	7	1	1	14	3	3	13	10	35	1	3	0	10	0	2	0	4	6	20	3	1	3	0	1	3	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
