label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90
0.03	north1_all	80	4992	4292	1219	1736	789	1102	771	332	254	337	295	169	158	99	136	139	66	115	121	58	85	85	39	40	30	22	44	18	48	43	21	18	23	19	14	20	20	5	9	10	7	2	4	10	7	5	2	4	0	2	7	0	2	0	0	1	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north1_active	80	2523	2652	572	1110	396	700	468	152	126	207	172	86	77	44	81	72	27	59	71	33	50	51	22	23	15	9	26	12	32	20	13	13	9	14	9	10	11	4	4	8	5	0	1	7	3	3	2	3	0	0	7	0	2	0	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
0.03	north2_all	80	5005	4300	1257	1755	789	1081	787	340	262	357	277	174	153	105	128	144	79	117	109	67	83	91	30	45	28	17	37	26	51	35	20	17	22	18	18	12	17	6	8	9	6	5	4	11	5	2	0	4	0	2	5	0	2	1	0	1	0	0	1	0	3	0	1	0	0	0	3	0	0	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	2515	2667	568	1120	374	695	460	161	124	212	160	87	73	49	76	81	33	60	70	35	44	54	12	26	14	7	23	11	34	21	12	13	9	15	14	7	12	3	4	8	5	2	2	8	1	1	0	3	0	0	5	0	2	1	0	0	0	0	1	0	3	0	1	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	4916	4155	1221	1645	766	1032	727	335	267	327	269	172	142	99	131	138	82	120	113	65	74	77	32	47	21	21	31	24	61	41	20	17	23	20	23	18	12	7	4	11	8	7	3	10	3	4	3	3	0	2	8	1	2	5	0	1	1	0	1	3	2	0	0	1	5	2	0	0	0	1	0	3	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	2418	2560	526	1006	365	676	419	160	130	177	158	85	63	50	70	73	35	64	77	31	39	44	18	29	10	6	24	11	44	25	12	10	12	15	17	11	8	3	2	9	6	3	2	7	1	2	1	3	0	1	8	0	2	5	0	1	1	0	1	3	2	0	0	0	3	2	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	4867	3932	1210	1574	758	982	687	335	268	338	275	174	129	101	119	139	89	103	99	59	59	72	36	42	22	20	22	26	52	43	14	15	18	22	21	12	10	7	3	11	6	7	3	2	2	3	3	1	0	1	9	1	0	5	1	2	2	0	0	3	2	0	0	1	5	3	1	0	0	1	0	3	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2381	2404	533	931	362	627	395	154	133	180	155	88	54	56	67	79	39	54	65	30	28	40	20	23	10	7	14	12	40	22	7	10	10	17	14	6	3	2	2	8	3	3	2	1	1	1	1	1	0	1	8	0	0	5	1	1	1	0	0	3	2	0	0	0	3	3	1	0	0	1	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4762	3663	1192	1524	712	1004	620	350	255	317	276	168	145	109	117	120	79	100	105	52	51	68	41	38	24	19	25	25	46	48	12	15	22	18	18	16	9	7	2	10	6	4	6	2	3	3	4	1	0	2	4	1	0	5	1	2	2	1	0	5	0	0	0	2	5	3	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2279	2199	536	887	355	662	354	159	132	173	165	78	59	56	65	72	33	55	63	25	30	41	26	19	8	8	14	13	32	23	5	8	17	12	11	8	3	3	1	6	3	1	5	1	2	2	1	1	0	2	3	0	0	5	1	1	1	1	0	4	0	0	0	1	3	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
