label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51
0.03	north1_all	80	38345	15809	8861	5473	3781	4931	2732	1213	839	640	454	359	554	207	189	119	84	75	85	47	37	47	24	10	48	11	7	8	6	1	2	19	1	0	0	0	2	1	1	5	0	1	1	0	0	0	0	0	0	1	0	0
0.03	north1_active	80	7640	4235	3335	1953	1754	4027	2031	223	185	143	131	81	443	83	90	37	36	21	62	20	22	39	16	5	43	3	0	4	4	1	1	18	1	0	0	0	2	0	1	5	0	1	1	0	0	0	0	0	0	1	0	0
0.03	north2_all	80	38122	15783	8857	5466	3880	4880	2828	1198	845	641	443	361	568	217	192	105	88	84	77	49	33	51	24	13	43	12	8	13	9	0	3	14	3	0	0	0	0	1	0	5	0	1	1	0	0	0	0	0	0	1	0	0
0.03	north2_active	80	7619	4222	3354	1953	1836	4010	2175	222	204	147	125	95	469	82	94	27	40	17	58	17	20	43	16	6	39	2	1	5	7	0	0	14	1	0	0	0	0	0	0	5	0	1	1	0	0	0	0	0	0	1	0	0
0.03	north3_all	80	38291	15768	8885	5435	3872	4709	2951	1221	858	671	442	356	552	218	182	109	88	77	73	48	35	54	20	10	21	12	5	12	21	1	3	5	5	0	0	1	0	1	0	6	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north3_active	80	7612	4195	3347	1922	1804	3867	2278	226	196	169	124	94	451	89	90	26	40	18	54	17	22	45	15	3	17	2	1	4	19	0	0	5	3	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	1	0	0
0.03	north4_all	80	38062	15837	8862	5405	3878	4629	2995	1203	828	649	484	338	559	235	162	119	96	72	61	56	37	40	18	13	33	9	9	12	19	4	2	1	5	0	2	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	7428	4257	3310	1917	1790	3797	2306	228	182	167	127	89	458	92	80	31	48	17	41	23	26	33	13	3	30	1	1	5	15	1	0	1	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	38395	15854	8840	5384	3782	4688	3008	1159	822	646	474	331	534	264	172	124	101	75	60	62	50	38	18	12	27	8	9	11	21	6	1	2	4	1	2	1	0	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0
0.03	north5_active	80	7472	4306	3278	1904	1712	3850	2296	235	167	163	128	84	427	110	83	32	54	22	40	24	33	31	8	1	25	1	2	5	19	2	1	2	2	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
