label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119
0.03	north1_all	80	56483	12820	10420	8965	4959	4075	6088	3604	1852	1607	1263	1113	1966	755	867	566	576	449	378	429	670	354	236	344	300	205	344	122	349	128	132	101	82	158	98	61	63	81	53	44	36	57	35	29	28	31	19	19	20	21	29	15	19	37	11	9	17	23	5	4	8	3	4	2	4	5	2	6	4	5	3	4	3	3	0	1	0	1	0	1	1	0	0	2	0	1	0	0	3	0	0	2	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	47345	3920	6608	6930	2761	2505	5291	2747	907	730	449	393	1693	200	523	211	270	199	88	246	555	211	62	256	197	115	275	31	294	50	75	39	34	133	55	19	41	59	25	20	7	52	10	14	11	28	8	3	9	7	23	6	15	32	1	0	10	20	3	2	3	3	1	1	3	5	2	4	2	0	1	2	3	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	53160	12658	10167	8763	4795	3892	5606	3492	1837	1586	1232	1084	1833	719	817	558	580	447	359	436	641	295	238	346	284	193	294	126	305	106	134	92	75	166	97	63	56	79	36	45	37	58	36	35	26	31	18	18	23	18	25	11	23	37	11	7	13	18	6	7	7	4	3	2	4	3	6	4	3	3	5	4	3	2	0	0	1	1	2	0	1	0	0	1	0	1	0	0	4	1	0	2	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	43578	3656	6135	6587	2588	2310	4741	2604	833	688	410	353	1550	180	466	203	265	196	83	230	521	165	52	260	177	118	231	36	250	38	63	31	28	140	52	20	29	55	19	20	7	52	10	16	11	27	8	5	10	6	21	2	17	33	2	0	7	13	5	3	3	4	0	1	3	3	3	1	2	0	1	2	3	2	0	0	1	0	2	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	50276	12611	9651	8553	4738	3794	5316	3325	1777	1556	1234	1018	1748	745	818	560	569	477	359	440	577	297	231	337	268	213	288	127	273	112	128	102	80	164	92	60	67	83	27	49	43	53	36	34	23	30	22	22	20	14	19	11	17	48	9	7	13	19	7	6	3	7	6	4	3	0	7	3	4	5	5	2	2	2	0	0	2	4	2	0	1	0	0	4	0	3	0	0	1	1	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	40386	3456	5573	6241	2431	2164	4445	2412	781	659	381	320	1445	179	470	189	242	187	76	241	458	164	46	237	173	121	227	35	228	43	55	28	27	135	49	23	32	56	14	21	10	46	10	17	9	27	12	5	7	5	15	0	11	43	1	0	8	14	5	2	1	6	2	1	2	0	4	0	4	2	0	0	2	2	0	0	1	2	2	0	0	0	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	47648	12511	9466	8295	4544	3730	5075	3226	1761	1499	1259	991	1693	751	760	556	568	479	371	446	487	289	230	322	284	229	262	134	215	104	124	111	76	144	87	58	87	72	24	53	37	55	28	33	21	30	27	19	24	9	20	13	21	31	7	9	7	22	6	4	2	10	7	3	4	1	9	3	4	4	5	2	1	0	0	2	2	4	3	1	1	0	0	5	4	2	0	0	1	2	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	37380	3277	5334	5830	2254	2028	4202	2319	755	578	404	300	1364	155	421	175	236	196	84	243	349	151	41	214	172	128	205	34	173	47	52	37	23	118	52	17	42	50	8	17	9	41	9	16	8	23	13	8	10	2	15	1	14	26	1	1	2	15	2	1	1	7	2	0	1	0	6	1	3	2	0	0	0	0	0	2	1	2	3	1	0	0	0	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	49807	12570	9850	8606	4713	3868	5491	3296	1783	1472	1224	1028	1872	728	808	604	586	479	389	453	511	302	242	307	306	223	314	142	179	116	135	113	88	184	87	59	94	75	31	50	35	48	28	26	18	33	24	24	21	11	18	14	19	28	8	9	6	26	5	3	3	7	8	4	6	1	6	1	5	5	4	2	2	3	1	4	1	5	1	2	1	0	0	5	5	2	0	0	0	2	1	0	1	0	0	1	0	2	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	39906	3423	5741	6233	2473	2180	4667	2413	762	595	424	312	1542	180	460	206	255	195	94	250	378	150	57	202	191	117	258	43	139	48	73	42	28	158	51	14	51	55	14	12	10	31	9	12	6	25	9	9	9	2	13	2	15	24	2	1	3	21	0	1	1	4	5	0	3	0	5	1	4	2	0	0	1	2	1	4	0	3	1	1	0	0	0	3	5	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	53031	12651	10021	8957	4888	3957	5878	3438	1849	1533	1211	1048	1832	736	755	563	624	458	381	430	501	302	251	348	299	211	323	140	218	119	120	112	82	182	90	67	84	70	40	48	23	66	26	29	22	34	18	23	24	16	18	16	21	32	7	11	6	41	12	9	7	3	7	4	9	1	4	1	5	4	2	3	8	3	1	5	0	6	2	2	1	0	0	5	6	2	0	0	0	1	0	0	1	0	0	1	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	43298	3635	6117	6673	2693	2320	5066	2623	825	644	430	328	1532	213	425	208	278	186	85	236	380	150	62	239	181	107	267	47	174	56	68	54	28	161	58	16	48	50	17	12	8	47	7	11	7	23	6	9	8	2	10	2	18	30	2	1	3	36	6	5	4	1	4	0	3	0	4	1	4	1	0	1	6	2	1	5	0	3	1	1	0	0	0	3	5	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	56070	12626	10338	9316	5096	4113	6304	3520	1931	1572	1240	1043	1900	754	790	608	616	480	383	420	500	314	263	362	282	197	303	150	256	135	130	99	79	170	89	70	60	55	49	41	25	71	26	32	24	30	23	20	24	16	14	17	31	23	10	13	5	37	16	13	10	0	5	3	11	1	3	2	5	7	4	3	14	3	2	4	0	2	1	1	0	0	0	1	6	2	0	0	0	1	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	46729	3793	6428	7130	2933	2535	5522	2720	903	675	467	350	1605	223	465	228	282	208	82	255	385	166	63	268	163	104	246	56	201	65	77	46	31	151	56	17	37	39	24	11	10	51	4	14	7	21	8	10	5	2	10	3	26	23	3	2	2	34	12	5	6	0	4	0	3	1	3	2	4	1	2	1	12	2	1	4	0	1	0	0	0	0	0	0	5	2	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	57281	12507	10117	9628	5037	4206	6405	3517	1904	1598	1233	1078	1907	773	783	597	602	510	375	422	514	318	251	343	260	221	302	137	261	137	115	103	76	168	85	70	55	60	57	54	28	70	30	35	26	23	23	17	28	16	21	16	26	30	13	9	3	36	15	14	9	4	6	2	12	4	3	3	3	7	3	3	13	1	1	4	1	2	1	1	0	0	0	0	8	2	0	1	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north8_active	80	48079	3767	6413	7539	2898	2599	5608	2746	916	719	475	374	1615	237	476	223	279	233	73	266	402	196	53	253	153	125	244	49	204	68	61	50	35	148	51	22	32	40	34	26	8	52	8	16	7	14	8	7	9	3	14	2	23	30	3	1	2	30	12	5	5	3	5	0	4	3	2	2	3	3	2	1	11	1	0	1	0	1	0	0	0	0	0	0	7	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north9_all	80	58351	12580	10171	9694	4955	4184	6223	3641	1873	1546	1231	1106	1908	779	809	647	590	476	382	414	594	353	253	326	256	219	277	128	246	134	111	97	73	205	81	63	53	81	59	56	30	54	35	41	26	23	26	20	25	12	28	16	20	30	13	9	5	25	20	12	10	6	3	1	11	5	3	5	5	7	3	1	9	0	2	4	1	2	1	0	0	2	1	0	7	2	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north9_active	80	49294	3819	6447	7583	2813	2625	5436	2873	940	687	477	391	1628	235	499	244	297	227	83	270	481	224	64	233	157	130	220	49	192	69	65	45	36	181	50	20	30	58	37	31	11	37	7	22	8	16	6	8	10	3	17	2	18	28	3	2	3	19	19	4	5	5	1	1	3	3	2	4	3	3	2	0	8	0	1	1	0	0	0	0	0	2	0	0	7	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north10_all	80	58062	12511	10235	9598	4856	4180	6230	3672	1804	1531	1219	1107	1950	755	833	632	618	471	390	423	613	391	246	347	235	215	279	125	274	127	108	104	61	235	93	56	50	89	57	52	36	59	37	32	27	31	25	25	26	13	26	18	6	22	9	6	7	21	16	5	9	8	2	1	7	7	2	4	4	6	4	0	3	0	1	10	1	2	0	1	0	3	1	1	7	0	2	4	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north10_active	80	48983	3760	6532	7517	2732	2604	5460	2886	886	678	447	372	1672	230	526	234	315	229	86	274	496	246	66	257	149	134	227	45	222	56	63	45	25	210	67	21	29	68	33	29	12	43	9	18	8	26	8	10	12	4	13	3	5	19	3	1	4	17	16	2	2	7	1	1	3	3	1	3	1	4	2	0	2	0	1	7	0	1	0	0	0	2	0	1	7	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
0.03	north11_all	80	57524	12663	10443	9613	4884	4163	5769	3685	1861	1531	1329	1083	2067	787	855	576	552	529	434	433	619	368	264	408	332	252	299	134	266	128	100	95	87	171	83	68	62	88	58	47	31	106	30	27	30	50	26	18	22	19	13	18	33	15	18	9	7	37	13	7	3	14	6	3	4	2	4	4	4	2	2	2	0	6	2	2	0	2	2	2	1	4	1	3	6	0	0	1	1	0	1	1	0	1	0	3	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	2	0	0	1	0	0	0
0.03	north11_active	80	48417	4021	6758	7557	2760	2550	5011	2890	872	740	431	364	1755	238	517	205	254	274	82	248	470	243	65	296	228	148	237	45	218	62	60	43	36	144	54	31	33	61	24	18	11	100	4	14	11	32	9	9	4	4	9	5	26	11	2	4	3	34	10	2	1	9	3	0	2	0	2	2	1	0	0	0	0	5	0	0	0	1	2	1	1	3	1	3	6	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0
0.03	north12_all	80	57205	12632	10241	9538	4900	4150	5986	3675	1955	1519	1292	1045	2164	818	869	558	578	523	439	432	672	379	255	342	305	243	301	152	268	140	94	77	84	144	67	60	72	74	61	49	30	100	28	30	27	40	36	18	23	19	15	16	32	15	16	8	5	18	10	6	5	17	5	0	5	1	3	5	2	5	1	2	0	14	1	1	1	1	3	1	1	2	3	3	6	0	0	1	1	3	1	0	0	1	0	3	0	0	0	0	1	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north12_active	80	48170	3966	6578	7444	2794	2564	5259	2892	945	704	432	347	1846	248	539	198	268	257	93	260	525	248	68	225	203	133	246	46	224	63	57	35	35	122	39	22	43	54	27	20	12	91	5	14	7	22	13	9	3	2	7	5	27	11	2	4	2	16	7	1	2	12	2	0	1	0	2	2	1	0	0	0	0	13	0	0	0	1	2	1	1	2	3	3	6	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north13_all	80	56508	12522	10282	9477	4840	4099	5975	3718	1966	1539	1262	1063	2179	814	836	564	540	479	412	432	641	376	245	311	286	228	291	144	277	140	83	69	79	176	80	66	84	79	71	50	25	77	24	37	35	38	33	22	20	16	18	16	41	22	15	8	4	16	12	5	8	15	3	2	8	2	3	5	1	4	3	1	2	10	2	0	1	1	3	1	3	2	3	0	5	0	0	1	0	3	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north13_active	80	47392	3896	6507	7355	2774	2493	5214	2871	936	682	462	352	1855	254	518	189	237	229	91	264	513	227	61	207	189	129	244	47	233	60	45	33	38	159	51	23	54	61	33	21	11	66	7	17	13	21	12	9	4	2	10	6	25	19	3	2	2	13	9	0	1	11	1	1	2	2	2	2	0	0	1	0	2	9	0	0	0	0	2	1	1	2	3	0	5	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
0.03	north14_all	80	55824	12374	10125	9417	4771	4096	6084	3611	1940	1558	1281	1043	2095	822	784	573	541	466	406	414	618	360	253	291	273	202	311	164	290	124	93	82	69	155	69	53	76	80	69	41	29	78	24	36	38	21	36	25	18	17	16	14	38	20	13	5	7	27	12	3	8	9	3	3	9	2	2	7	1	3	3	0	2	9	3	0	1	1	2	0	6	2	3	0	3	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	46657	3828	6333	7289	2716	2457	5305	2741	911	677	476	347	1783	254	467	191	240	216	104	248	501	211	60	187	178	113	252	50	243	44	48	41	29	135	44	16	55	63	34	19	12	64	6	17	14	9	15	10	6	4	10	4	23	18	3	0	2	25	9	0	1	7	1	1	4	2	2	3	0	0	1	0	2	9	0	0	0	0	0	0	2	2	3	0	3	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	54983	12509	10204	9377	4867	4046	6129	3619	1937	1598	1296	1074	1982	793	781	561	555	464	407	404	564	358	235	327	259	201	344	145	264	120	116	83	73	171	67	57	80	86	69	43	40	57	27	33	37	22	28	31	18	15	17	11	37	23	7	7	8	27	13	3	8	10	7	3	8	3	4	6	1	3	4	0	2	1	2	1	1	1	2	1	5	0	2	0	1	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north15_active	80	45840	3847	6338	7259	2727	2447	5323	2743	873	681	490	375	1680	244	463	182	245	214	104	247	440	221	52	235	162	111	287	45	217	48	65	40	25	142	41	20	57	65	39	19	14	46	8	13	18	10	13	14	7	3	12	3	21	19	2	0	3	25	10	0	0	8	5	1	4	3	1	4	0	0	1	0	2	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	55145	12640	10186	9311	4831	4066	6413	3675	1893	1602	1306	1100	1962	776	816	565	558	458	417	393	537	353	247	349	258	207	362	153	250	125	141	98	71	186	79	58	76	83	62	42	46	61	22	32	35	20	21	29	18	15	29	19	34	19	6	7	7	29	15	4	5	12	12	3	6	4	7	6	4	3	3	4	2	0	1	1	2	1	2	1	4	1	1	5	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north16_active	80	46019	3924	6363	7195	2696	2436	5592	2811	849	715	456	378	1683	232	490	198	263	217	99	238	418	228	55	250	162	119	302	41	208	51	77	48	23	150	52	16	50	61	38	19	15	49	6	12	15	10	7	11	8	5	21	6	21	16	3	0	2	26	12	1	0	10	7	0	3	3	4	5	1	0	0	4	2	0	0	0	2	1	0	0	1	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	56730	12798	10324	9324	4888	4065	6463	3787	1870	1568	1320	1095	2006	803	815	568	601	463	419	455	551	360	230	350	251	241	423	141	246	126	137	94	94	179	87	65	74	79	59	48	51	59	26	35	31	26	23	21	14	15	35	20	31	16	8	10	8	30	12	8	6	10	12	5	3	3	7	5	4	3	2	6	2	1	0	1	2	2	1	1	1	1	1	5	0	0	2	0	2	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north17_active	80	47558	4097	6514	7243	2794	2512	5665	2967	864	724	485	389	1761	245	498	205	300	231	105	287	422	234	55	245	163	147	371	44	201	56	79	45	42	147	56	21	52	59	34	21	18	45	7	15	12	13	11	8	6	4	26	5	25	13	5	1	3	28	8	4	1	8	8	1	1	1	4	4	1	0	1	4	1	0	0	0	2	2	0	0	1	1	0	5	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
