label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127
0.03	north1_all	80	46495	10816	8972	6674	3499	4140	2982	2160	2831	1165	1849	1765	856	936	1417	787	693	457	464	359	396	439	340	193	374	177	291	129	117	156	110	225	117	107	73	109	74	43	34	68	62	65	31	51	30	49	18	23	27	15	37	18	16	12	6	15	6	9	12	7	6	8	5	5	4	1	9	2	1	2	1	3	4	1	1	5	1	0	1	1	3	1	2	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	28395	4967	4841	3658	1588	2317	1660	1067	1729	522	1101	1105	408	507	836	448	420	218	242	197	226	272	203	94	229	76	191	59	54	87	63	131	67	52	37	60	36	15	20	36	41	48	17	32	9	33	6	8	8	8	28	14	10	10	4	8	3	7	8	0	4	5	2	2	2	0	6	1	1	1	1	3	3	0	1	3	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	44734	10763	8652	6402	3463	4010	2915	2099	2631	1189	1695	1609	860	873	1398	782	689	443	459	360	368	423	351	185	378	167	282	128	111	161	103	195	123	89	69	102	88	51	39	68	54	61	34	42	21	53	17	22	25	10	27	12	18	13	6	11	5	12	17	9	7	4	7	6	2	2	9	4	1	3	1	3	2	1	1	3	1	0	3	1	4	2	2	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north2_active	80	26962	4993	4623	3448	1566	2213	1606	1030	1607	534	992	996	417	467	827	469	394	207	239	191	197	262	205	93	239	68	181	59	51	91	56	98	63	47	29	64	44	22	23	31	36	43	16	27	6	35	8	8	8	5	20	8	12	10	3	7	4	10	10	0	6	2	3	4	2	1	6	3	1	2	1	3	1	0	1	3	0	0	2	1	2	1	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_all	80	43178	10973	8411	6185	3478	3816	2881	2078	2570	1210	1658	1629	854	883	1362	769	635	431	416	338	362	426	331	181	371	165	280	136	107	176	105	214	143	65	70	87	89	52	44	66	46	56	36	53	21	41	16	22	24	6	21	16	18	14	7	12	6	10	18	13	11	7	8	7	4	3	9	6	2	2	1	8	2	1	0	0	2	0	3	1	3	1	2	1	0	1	1	0	1	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
0.03	north3_active	80	26061	5044	4418	3299	1534	2103	1525	1028	1530	540	991	1010	422	450	828	475	364	202	215	179	189	272	192	91	234	73	162	62	42	105	53	111	69	32	30	53	43	24	25	37	32	35	19	35	7	26	7	10	8	3	14	10	13	7	4	10	4	6	11	4	9	3	4	4	2	2	6	5	1	1	0	8	1	0	0	0	1	0	2	1	2	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_all	80	42805	10954	8304	6153	3482	3781	2843	2060	2514	1244	1646	1612	839	909	1298	784	622	414	416	327	351	399	316	176	382	157	274	138	115	167	89	212	157	73	67	93	66	51	41	67	37	56	42	41	21	36	18	20	25	8	31	14	16	17	7	16	7	12	20	8	9	11	11	9	4	3	4	6	3	3	1	7	2	1	0	0	1	3	2	0	1	1	3	1	0	1	0	0	1	4	0	0	2	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
0.03	north4_active	80	25692	4992	4312	3308	1601	2097	1504	1025	1483	576	981	989	428	486	796	460	351	185	212	175	181	237	187	74	248	75	147	59	52	88	45	114	76	34	27	66	32	26	22	38	26	24	23	26	11	22	10	7	12	6	23	7	12	9	3	14	5	6	13	4	8	6	8	6	1	2	4	6	0	2	0	5	1	0	0	0	1	3	2	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	42840	10897	8269	6119	3474	3799	2840	2120	2640	1240	1643	1646	864	920	1283	782	640	411	402	371	328	385	281	168	398	151	262	128	97	161	97	188	156	74	72	97	65	51	47	82	42	52	38	38	25	34	20	18	28	11	32	13	12	16	7	16	8	12	14	10	9	8	6	8	5	3	5	8	5	3	2	12	6	1	0	2	3	4	1	2	2	1	2	1	1	1	2	0	1	4	1	0	2	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	25693	4990	4284	3378	1565	2078	1474	1070	1625	600	971	1012	434	488	811	439	377	182	201	188	167	239	160	73	257	71	144	57	45	85	45	117	75	36	36	73	28	23	22	50	33	24	22	20	12	21	12	5	15	7	24	7	8	7	2	14	4	5	11	5	7	5	5	6	2	1	4	6	1	2	1	10	4	0	0	1	1	3	1	2	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
