label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121
0.03	north1_all	80	47601	13067	11197	4697	4211	3719	4500	4224	1610	2564	1075	1437	1013	694	583	773	470	635	808	682	437	266	284	267	235	304	298	162	116	95	115	88	148	102	59	76	104	43	51	53	49	22	60	48	36	30	23	19	28	11	8	19	30	20	7	7	15	8	8	10	3	7	4	8	3	6	4	2	4	2	3	2	2	0	0	2	1	2	0	1	0	0	2	1	0	2	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north1_active	80	29388	6718	6431	2183	2141	2043	2752	2700	798	1535	502	823	535	317	277	455	227	412	516	426	248	141	167	143	128	189	211	78	63	50	55	44	80	58	18	31	54	21	25	35	26	15	41	26	20	18	12	10	16	6	3	14	17	17	4	5	7	4	5	4	1	5	2	3	1	3	2	1	3	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	48415	13134	11263	4683	4219	3821	4636	4169	1660	2527	1076	1367	1021	631	581	747	481	591	788	693	442	266	283	282	237	317	267	173	119	95	114	87	158	94	63	80	113	47	48	51	48	26	63	48	41	33	22	21	22	10	11	22	23	29	13	5	15	6	7	10	6	5	2	10	4	5	2	4	3	2	2	4	3	1	0	2	1	0	2	0	1	2	1	0	0	2	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	0
0.03	north2_active	80	30093	6783	6577	2116	2151	2108	2912	2534	820	1481	501	789	538	295	276	438	218	378	491	453	251	133	166	152	118	208	178	83	63	43	48	44	77	49	21	33	70	25	24	31	25	17	39	24	23	23	10	11	10	4	6	15	9	23	6	3	5	3	5	5	2	4	1	6	1	3	1	2	2	0	1	1	1	1	0	0	0	0	2	0	1	2	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	48531	13201	11241	4650	4367	3844	4685	4211	1703	2637	1015	1388	994	636	583	746	507	610	715	690	447	274	303	263	226	312	257	181	123	98	116	97	123	87	61	91	110	51	47	52	46	26	57	42	40	32	17	32	21	16	15	20	23	31	16	4	16	6	5	23	7	4	4	22	4	6	3	4	3	4	2	4	1	1	0	1	1	0	2	0	2	2	1	1	0	1	0	3	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	30065	6904	6662	2091	2251	2110	3053	2565	852	1569	490	798	523	286	277	404	236	381	451	419	265	149	179	133	122	202	164	95	64	43	53	55	61	56	22	43	73	26	27	30	26	15	40	22	24	25	6	23	11	7	7	11	8	22	7	2	6	3	3	17	3	4	2	16	1	3	0	2	2	0	1	1	0	1	0	0	0	0	2	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	48815	13189	11427	4686	4305	3842	4658	4305	1702	2786	995	1440	970	631	599	806	547	661	709	682	399	287	290	242	228	295	260	157	117	101	114	102	125	103	63	89	95	52	40	66	42	32	43	37	43	31	16	33	21	18	22	21	23	32	20	6	11	7	4	21	6	4	7	26	4	4	4	3	3	2	3	3	9	1	1	2	1	0	2	1	2	2	0	1	1	2	0	3	0	0	0	0	4	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	30194	6912	6815	2106	2235	2078	3002	2673	851	1705	459	840	513	283	291	434	251	389	437	411	231	155	170	121	120	190	159	86	59	41	55	54	64	66	24	42	59	26	20	40	22	13	25	19	21	20	7	22	8	10	10	10	11	23	9	2	7	3	2	18	2	3	1	21	2	1	1	2	2	0	1	0	2	1	1	0	1	0	2	1	1	2	0	0	0	1	0	3	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	49120	13172	11454	4570	4356	3829	4562	4126	1694	2833	999	1476	1004	639	602	802	529	645	741	693	383	273	288	235	219	280	294	151	118	103	116	97	122	102	66	94	78	48	53	72	50	40	45	34	45	27	18	39	17	13	23	22	21	26	17	8	10	8	8	27	8	3	10	23	6	3	6	1	2	2	3	2	8	2	2	1	1	1	1	3	1	3	0	1	2	1	0	3	0	2	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	30164	6807	6775	2045	2297	2070	2915	2674	846	1703	467	871	534	279	294	415	251	362	474	410	221	144	164	123	119	161	165	81	58	46	62	53	59	63	27	53	46	27	31	48	21	15	29	20	21	15	10	27	9	8	11	13	11	15	7	3	5	4	2	23	4	2	3	19	3	1	3	1	2	0	1	0	2	2	1	0	1	1	0	3	0	2	0	0	0	1	0	2	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
