label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124
0.03	north1_all	80	55468	12784	7898	7052	7270	3218	2583	2183	2342	2232	2151	1953	903	818	711	939	669	509	413	350	353	677	259	214	228	174	162	159	103	114	93	98	84	174	97	131	65	80	58	61	41	44	33	60	44	25	17	29	20	24	19	44	28	10	12	18	11	12	5	13	12	6	2	14	5	13	8	1	3	4	1	6	7	2	0	1	2	10	1	2	4	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	2	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0
0.03	north1_active	80	46357	4570	2748	4367	5734	1152	695	970	1517	1591	1696	1592	325	392	220	684	410	141	150	150	184	583	68	71	99	44	39	72	30	56	16	35	16	145	72	105	34	56	33	47	12	32	18	53	29	13	11	14	13	18	5	42	21	0	6	11	1	6	1	10	3	2	1	11	5	12	6	0	2	4	0	5	5	0	0	0	1	9	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	58449	12843	7955	7151	7807	3238	2552	2258	2386	2305	2133	2108	918	848	696	902	697	515	417	364	378	659	267	230	236	196	168	169	105	123	92	89	98	174	112	145	51	99	49	77	31	40	34	65	30	24	22	33	20	32	22	33	34	15	12	17	11	10	7	10	10	6	3	10	7	12	6	9	6	7	1	6	5	3	2	3	3	9	1	4	5	2	1	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0
0.03	north2_active	80	49651	4805	2945	4603	6231	1165	713	1037	1592	1701	1673	1778	340	430	224	665	422	138	174	156	217	563	60	78	106	56	45	80	30	63	21	27	24	148	83	123	29	77	28	64	13	27	21	58	18	12	16	14	15	24	8	33	19	2	8	13	2	7	3	8	2	1	2	7	5	11	3	7	4	6	0	5	3	0	1	3	2	9	1	0	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	58175	12887	8003	7095	7838	3255	2502	2267	2442	2368	2182	2015	917	884	689	837	686	494	409	357	356	777	252	228	222	178	164	182	119	134	99	88	99	132	110	169	57	92	63	79	41	51	31	52	43	32	25	30	25	34	20	31	32	14	11	14	8	8	6	9	8	7	3	8	2	12	3	10	12	7	0	5	2	2	3	3	1	7	1	4	2	2	1	0	0	0	0	0	2	2	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	49234	4866	2948	4580	6290	1182	691	1044	1642	1755	1745	1693	335	439	205	605	417	132	172	158	200	685	58	76	99	58	39	82	29	70	26	26	23	107	83	144	31	66	37	64	18	32	20	45	25	19	19	15	19	26	7	30	17	2	8	10	2	6	2	6	1	1	2	7	0	10	0	7	8	6	0	5	1	0	1	3	1	6	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	58021	12895	8178	7001	7883	3326	2471	2332	2389	2337	2230	2200	897	893	674	852	663	479	427	366	364	754	237	233	221	164	154	184	127	121	100	85	83	117	105	185	59	116	61	69	46	57	34	56	50	32	27	20	27	28	16	18	36	20	14	12	7	7	7	12	5	7	2	9	15	14	3	11	9	5	0	4	3	2	5	3	1	6	2	4	2	4	0	0	3	0	0	0	1	2	0	1	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	48946	4861	3007	4491	6342	1247	648	1087	1581	1732	1778	1858	329	434	195	602	391	141	180	163	184	654	49	82	99	62	40	91	26	62	30	22	21	100	76	162	33	88	33	55	19	33	23	48	33	19	23	8	21	23	4	16	21	2	8	7	2	4	4	9	1	1	1	7	12	12	1	9	6	4	0	4	2	1	2	3	1	5	1	1	1	2	0	0	3	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	57361	12977	8198	7033	7800	3326	2489	2315	2359	2319	2307	2217	890	864	667	916	691	479	430	366	365	784	227	226	201	147	164	174	139	118	99	90	78	120	87	208	62	95	60	74	47	48	30	44	51	30	28	16	24	15	19	21	28	16	16	13	9	4	6	10	7	5	3	12	14	8	4	7	11	6	1	1	1	2	3	3	3	1	2	3	2	2	0	0	3	0	3	1	0	0	0	1	1	0	0	3	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	48400	4943	2968	4405	6257	1239	638	1085	1550	1728	1813	1880	346	405	217	687	447	136	180	165	177	691	47	81	89	47	41	93	35	66	22	27	15	108	56	185	39	76	32	56	19	29	17	36	33	17	23	6	17	13	5	16	24	1	11	7	2	1	4	8	4	0	1	9	12	4	3	5	9	5	0	1	1	1	1	3	1	0	0	1	0	1	0	0	3	0	3	1	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
