label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	north1_all	80	35497	27768	9606	3773	2601	3891	2679	1225	650	1144	660	510	476	224	134	120	59	77	67	34	37	12	22	14	9	13	15	2	6	2	2	2	3	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	18301	17581	5367	1675	1221	2376	1608	673	296	691	427	306	296	137	65	72	26	49	45	15	27	4	10	7	5	10	9	1	3	0	1	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	34678	26629	9411	3901	2580	3666	2542	1203	659	1155	667	482	495	215	125	129	57	60	64	37	40	13	16	15	11	10	13	1	11	3	1	3	3	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0
0.03	north2_active	80	17735	16795	5223	1746	1211	2214	1572	657	295	744	399	308	303	129	71	71	24	29	44	17	28	5	8	6	6	9	8	0	7	1	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	33656	25369	8892	4029	2495	3472	2589	1130	629	1044	633	446	445	199	124	133	70	44	70	36	41	13	17	12	9	11	11	5	10	3	3	4	3	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north3_active	80	16922	15727	4846	1810	1158	2082	1550	602	273	652	361	272	278	135	66	73	30	18	47	18	28	5	9	4	5	8	4	3	7	1	2	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	33084	24261	8601	4055	2470	3239	2415	1120	598	1004	555	438	371	211	117	128	65	43	45	41	40	16	16	10	10	8	8	4	10	3	3	3	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0
0.03	north4_active	80	16471	14834	4574	1818	1095	1962	1447	617	252	625	307	266	210	135	56	69	30	16	22	21	27	5	8	4	4	5	4	3	8	1	3	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	32874	24338	8560	4024	2450	3200	2426	1142	603	1015	541	447	353	192	123	128	63	36	41	34	44	15	17	10	8	9	5	4	3	0	4	2	2	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north5_active	80	16295	14852	4552	1813	1068	1937	1469	622	256	597	324	287	224	124	56	72	27	14	17	19	29	3	8	4	2	5	2	3	1	0	4	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north6_all	80	33107	24425	8622	3920	2548	3209	2645	1125	595	1056	548	428	395	187	127	106	56	43	39	35	42	22	17	8	10	10	8	5	4	0	2	1	0	1	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0
0.03	north6_active	80	16597	15010	4577	1805	1137	1963	1698	627	258	603	328	262	270	111	58	69	26	17	18	19	25	8	8	5	4	6	4	2	3	0	2	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north7_all	80	33728	25779	8973	3836	2623	3495	2660	1118	617	1048	546	477	455	237	128	99	45	38	45	41	45	19	19	10	14	5	9	4	5	3	3	0	10	1	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0
0.03	north7_active	80	17171	15887	4946	1743	1219	2078	1718	622	258	605	343	291	314	140	63	62	24	15	23	24	29	9	10	5	8	4	6	2	4	3	3	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
