label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53
0.03	north1_all	80	34620	11869	8696	4748	6513	4491	2749	2673	893	909	825	797	340	247	471	203	128	144	74	66	95	25	41	28	26	29	9	12	17	7	3	7	2	4	2	1	9	1	4	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0
0.03	north1_active	80	17993	5292	4583	2302	3955	2743	1591	1583	438	510	429	495	196	116	303	122	63	83	34	34	67	8	15	13	12	19	5	6	12	5	2	6	1	1	1	1	9	1	3	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	34132	11951	8548	4662	6455	4447	2662	2532	865	850	786	725	348	229	488	174	114	133	75	50	83	27	33	30	20	31	10	16	18	8	2	8	3	3	2	0	0	0	5	0	3	0	0	0	2	1	0	1	0	0	0	0	0	0
0.03	north2_active	80	17559	5367	4413	2235	3975	2646	1515	1547	436	462	405	434	185	101	333	102	52	80	32	20	52	10	12	12	10	21	3	7	13	6	1	7	1	2	2	0	0	0	4	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	33707	12092	8434	4605	6228	4422	2595	2514	885	831	795	709	333	244	496	155	102	121	86	64	67	31	32	23	14	40	9	13	16	11	2	6	3	4	1	4	3	1	3	0	3	1	0	0	2	0	1	2	0	0	0	0	0	0
0.03	north3_active	80	17313	5519	4308	2172	3858	2698	1489	1541	446	451	450	421	155	107	347	87	50	76	40	24	44	14	10	11	5	25	1	4	10	8	0	5	0	4	1	3	0	1	2	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0
0.03	north4_all	80	34804	12101	8633	4676	6568	4661	2757	2582	888	845	819	746	348	240	479	176	113	132	98	57	84	35	38	24	14	38	13	13	14	11	4	4	4	4	1	4	3	1	2	0	2	1	0	0	2	0	1	2	0	0	0	0	1	0
0.03	north4_active	80	18032	5525	4478	2225	4112	2845	1604	1611	432	462	475	461	152	104	335	91	58	89	50	21	51	20	13	11	6	16	6	4	8	7	2	2	1	4	1	3	0	1	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0
0.03	north5_all	80	36024	12091	8972	4806	6868	4873	2918	2740	921	900	868	832	375	258	579	190	109	128	99	73	85	42	40	24	16	34	11	11	12	7	7	3	4	3	0	12	4	1	0	0	1	1	0	0	0	0	1	2	0	0	0	0	1	0
0.03	north5_active	80	18879	5538	4809	2343	4408	3102	1706	1744	453	524	537	520	168	114	392	93	56	90	55	34	50	21	17	14	5	14	7	4	2	4	4	1	1	3	0	10	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north6_all	80	36739	11873	9099	4851	7170	5073	2920	2843	955	931	875	866	385	246	579	215	122	149	104	67	80	43	38	25	21	30	11	10	18	7	7	5	4	2	1	13	5	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0
0.03	north6_active	80	19281	5380	4941	2435	4657	3163	1717	1817	467	538	535	539	180	110	392	100	59	98	62	36	49	23	17	16	9	17	7	6	8	4	5	1	2	1	0	10	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	35697	11770	8782	4710	6917	4723	2717	2730	950	942	800	872	384	246	525	205	119	156	111	73	65	40	34	24	19	27	11	11	18	5	7	4	4	1	2	17	8	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
0.03	north7_active	80	18460	5364	4794	2325	4497	2964	1600	1753	458	547	504	534	185	108	349	90	53	98	66	38	39	23	15	13	9	15	4	11	9	3	4	1	1	0	0	11	7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	34681	11926	8537	4577	6485	4530	2552	2561	897	871	754	849	364	221	448	203	133	168	108	58	56	33	34	24	17	25	10	9	16	6	4	6	3	5	5	11	9	2	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0
0.03	north8_active	80	17777	5451	4508	2197	4086	2715	1486	1608	427	462	430	501	183	103	288	91	57	96	63	25	35	16	13	9	9	18	3	9	11	3	2	3	1	3	2	4	7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_all	80	33564	12098	8435	4487	6221	4307	2524	2348	874	855	747	799	370	229	366	169	120	165	106	49	59	29	38	22	15	25	12	11	13	6	5	8	4	8	4	11	13	1	0	1	0	0	2	0	1	1	2	0	0	0	0	0	0	0
