label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83
0.03	north1_all	80	66282	14247	8580	8620	4324	4627	3383	3345	1525	1581	1840	816	675	643	441	476	357	353	402	399	246	214	155	155	171	74	78	60	86	47	48	71	32	36	37	28	17	7	16	8	6	13	10	8	3	10	1	10	5	1	2	6	1	0	1	1	2	1	1	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north1_active	80	55728	4719	2875	6051	1916	3344	2346	2687	549	1072	1503	190	235	380	144	315	188	236	294	339	184	138	86	117	133	23	24	23	70	32	33	55	16	8	23	17	7	0	2	4	1	8	1	4	2	5	0	10	1	0	1	3	0	0	1	0	2	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	66516	14278	8493	8569	4371	4566	3404	3328	1545	1560	1862	843	661	647	438	505	361	369	431	425	244	204	159	147	137	73	66	57	89	44	55	46	29	28	29	24	17	7	13	8	5	12	11	23	2	6	2	11	1	0	1	4	0	0	1	1	1	1	1	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north2_active	80	55865	4726	2816	6011	1906	3283	2381	2711	547	1027	1530	198	219	382	144	341	198	262	316	353	189	126	92	116	101	22	23	22	73	28	38	34	12	7	21	21	7	0	1	2	1	6	0	19	1	5	0	11	0	0	1	2	0	0	1	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_all	80	66399	14274	8411	8519	4388	4528	3439	3171	1520	1502	1829	832	654	701	469	527	345	367	419	394	269	199	152	149	187	70	63	64	66	53	55	46	32	24	26	28	18	5	13	8	7	12	12	19	4	5	2	8	3	1	3	1	11	1	1	0	1	1	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north3_active	80	55692	4723	2824	5992	1912	3272	2394	2550	538	987	1485	190	198	415	147	358	185	257	314	327	214	122	89	117	147	23	20	23	48	33	43	34	15	5	18	20	8	0	2	2	3	6	2	17	1	5	0	7	0	0	1	1	10	0	1	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_all	80	64808	14394	8338	8418	4449	4496	3411	3204	1467	1512	1738	799	650	695	460	545	330	357	422	361	287	210	151	146	198	78	63	68	60	56	71	35	32	17	25	33	13	10	11	8	10	9	10	18	3	4	2	13	3	2	4	0	12	2	1	1	1	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north4_active	80	53969	4681	2746	5894	1921	3218	2326	2561	515	955	1382	184	204	409	140	351	175	238	327	292	222	131	99	108	155	19	15	25	43	39	54	24	17	4	17	23	6	1	4	1	2	4	3	17	0	2	0	11	0	1	0	0	11	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_all	80	63167	14311	8331	8300	4355	4437	3285	3182	1452	1534	1636	762	653	694	474	501	328	392	379	304	307	201	158	150	218	87	62	71	59	59	70	36	29	15	29	27	17	13	12	8	12	11	9	14	7	5	0	11	2	2	4	1	12	3	2	1	2	4	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	52154	4496	2651	5734	1849	3091	2204	2485	489	937	1277	201	199	405	129	317	171	244	299	236	235	125	95	103	177	24	17	27	39	34	48	24	16	4	21	17	6	2	4	2	2	4	5	11	1	2	0	8	0	1	0	1	11	0	1	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	61107	14254	8252	8003	4313	4241	3229	3175	1403	1504	1548	738	669	664	473	505	340	384	355	342	271	207	177	147	197	88	66	66	65	62	67	36	29	21	32	26	16	15	11	8	12	8	9	3	7	3	1	12	3	3	3	1	3	3	1	1	2	4	1	1	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	49948	4304	2542	5421	1777	2898	2097	2488	433	887	1189	201	201	378	124	289	160	243	269	273	204	139	105	99	161	29	13	29	45	34	48	26	17	5	23	17	3	2	3	4	0	4	6	0	1	0	0	10	3	1	1	1	3	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	60629	14052	8257	7976	4294	4312	3181	3176	1427	1522	1479	758	665	631	462	470	339	354	319	384	267	200	172	157	185	91	56	72	73	67	72	33	30	25	26	24	19	16	10	13	13	10	9	12	8	3	1	18	3	3	3	6	4	2	1	0	1	4	2	1	3	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north7_active	80	49306	4212	2477	5347	1734	2922	2035	2476	432	886	1150	206	187	352	134	271	164	212	232	318	194	132	94	108	159	37	10	33	50	39	52	25	15	6	20	17	4	5	3	6	1	2	6	8	2	1	0	16	3	0	1	6	4	0	0	0	1	4	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north8_all	80	62588	14040	8376	7998	4338	4376	3347	3316	1428	1544	1534	765	663	647	463	465	377	333	319	454	273	231	198	163	161	93	54	68	85	67	61	45	31	29	22	27	29	13	11	16	8	10	6	12	7	3	4	11	4	3	3	6	3	1	0	0	2	0	2	0	3	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north8_active	80	51616	4384	2583	5476	1767	2993	2222	2648	456	964	1194	190	191	361	156	268	173	199	226	381	210	158	112	109	139	33	5	30	61	42	43	37	15	8	16	18	10	4	6	6	1	1	4	10	2	1	1	11	3	0	1	6	3	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north9_all	80	64814	14241	8402	8157	4282	4457	3446	3276	1476	1555	1719	799	637	633	445	460	353	322	346	469	278	244	188	173	165	103	61	66	95	57	56	48	32	22	23	22	29	11	9	17	8	10	6	12	4	3	3	10	6	4	2	5	4	2	2	0	1	0	1	0	3	5	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
0.03	north9_active	80	54015	4573	2711	5630	1815	3087	2354	2616	491	1021	1375	186	178	368	148	284	171	186	243	404	209	166	109	123	144	34	13	24	66	39	39	39	15	7	17	14	13	5	6	3	3	4	2	11	1	1	1	10	4	1	0	5	2	1	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north10_all	80	66728	14387	8554	8450	4285	4513	3491	3298	1509	1612	1756	782	645	659	449	470	352	333	379	524	294	252	181	167	173	100	62	68	99	61	47	49	35	20	24	20	32	13	12	21	6	9	6	13	2	2	3	2	4	4	2	1	5	5	3	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	56070	4816	2879	5933	1870	3203	2441	2655	524	1060	1426	172	188	404	153	295	172	186	271	452	223	164	104	113	147	28	14	25	74	39	35	38	17	6	17	12	15	5	6	5	4	4	2	12	0	0	1	2	2	1	1	1	3	3	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	66132	14566	8655	8536	4410	4524	3395	3561	1472	1573	1794	783	693	677	483	500	377	404	297	448	315	225	170	127	160	72	78	62	81	48	37	39	19	27	28	27	18	13	11	6	12	8	6	18	8	1	4	12	1	0	3	5	7	1	1	2	3	0	1	2	1	4	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north11_active	80	55551	4763	2960	6161	1972	3268	2366	2901	535	1002	1466	169	225	395	159	319	196	257	205	360	249	151	106	89	128	20	24	18	52	27	26	30	10	9	11	16	2	2	3	2	4	3	2	17	6	0	1	11	1	0	0	3	4	1	1	0	2	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north12_all	80	66356	14609	8623	8796	4330	4482	3363	3568	1468	1524	1901	779	647	718	482	471	383	346	356	432	326	210	158	137	164	72	74	71	84	55	38	46	21	28	28	25	14	15	11	7	9	12	3	16	6	2	4	8	1	0	2	6	3	1	1	2	1	0	1	2	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	55750	4778	2907	6355	1940	3230	2381	2893	528	952	1572	181	194	412	152	288	209	219	268	355	274	137	95	87	130	24	25	24	53	33	25	33	13	9	13	16	2	3	2	3	4	5	0	15	5	1	2	8	1	0	0	4	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	66440	14567	8602	8657	4271	4445	3277	3545	1493	1560	1839	778	637	705	487	451	349	349	371	419	321	225	145	163	168	75	67	69	80	54	44	50	21	28	30	35	12	17	10	7	9	10	6	16	6	2	4	6	1	2	1	4	4	3	2	1	2	0	2	2	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
