label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63
0.03	north1_all	80	34434	16449	14190	14074	8250	2464	3118	1809	2430	983	1376	832	573	314	255	256	160	164	186	93	233	67	66	42	66	43	47	19	47	11	23	4	45	10	17	6	13	7	3	4	2	1	4	1	2	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	17471	9660	11503	12692	7206	512	2421	1135	2083	539	1151	593	382	73	99	103	31	72	134	13	210	14	34	15	56	37	37	9	42	3	8	1	42	4	14	6	8	1	0	1	1	0	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	34165	16241	14127	13960	8292	2477	3164	1807	2393	991	1323	859	577	316	248	248	187	171	187	89	214	53	68	44	71	43	45	17	42	10	21	5	47	7	5	8	12	4	4	4	2	1	2	1	1	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north2_active	80	17305	9362	11424	12543	7260	543	2485	1119	2032	537	1095	611	387	67	104	102	33	69	132	13	191	11	30	15	57	33	30	11	36	2	8	2	42	2	2	8	7	1	0	1	2	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north3_all	80	33876	15711	13738	13313	7880	2458	3082	1711	2301	993	1338	853	558	312	266	221	199	167	179	99	169	53	78	48	65	49	38	18	40	10	23	5	38	6	4	9	14	4	6	1	2	1	1	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0
0.03	north3_active	80	16506	8671	10951	11849	6814	541	2346	1001	1923	496	1105	592	364	60	113	76	36	68	119	14	147	14	47	13	49	34	25	9	33	1	8	3	34	1	1	9	10	1	1	0	2	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north4_all	80	33233	15309	13293	12274	7517	2464	3077	1658	2053	990	1269	789	553	326	270	197	201	146	141	103	129	57	76	40	42	46	34	18	33	10	19	6	20	5	7	10	9	3	4	2	1	1	1	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
0.03	north4_active	80	15481	8124	10382	10748	6449	540	2269	919	1692	479	1024	527	350	60	100	65	35	54	80	11	106	14	54	11	23	31	22	10	24	2	4	4	16	1	4	10	6	2	1	0	1	1	1	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
0.03	north5_all	80	32722	14821	12741	11863	6994	2456	2842	1636	1944	962	1225	704	566	360	303	188	190	131	124	91	120	66	68	43	48	52	32	19	30	10	20	7	7	7	14	14	9	4	5	2	1	1	1	3	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	14502	7589	9681	10345	5907	504	2026	860	1565	465	985	453	321	71	95	51	37	45	63	9	97	17	50	14	28	34	21	11	24	2	4	3	6	0	8	14	7	3	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	32733	15024	12733	11956	6920	2466	2898	1632	1996	911	1191	679	555	357	287	195	186	141	117	88	129	78	63	50	45	44	37	22	49	12	12	8	9	9	15	15	11	7	4	3	4	0	1	4	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	14561	7848	9624	10398	5833	490	2121	881	1613	451	970	428	309	74	79	61	37	51	67	12	97	22	45	19	24	30	27	14	42	5	5	1	9	0	8	14	9	4	0	0	3	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	33301	15507	13376	12791	7325	2464	3099	1693	2188	902	1271	722	561	346	277	212	201	155	143	87	157	76	55	59	44	44	50	25	50	14	11	9	10	9	14	13	11	8	4	4	4	0	2	4	1	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	15499	8472	10366	11274	6227	508	2395	925	1809	472	1062	474	341	75	82	73	46	59	81	20	126	20	40	22	26	32	40	15	45	7	6	0	9	0	9	12	8	4	0	1	3	0	0	1	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	33967	15991	13731	13328	7622	2486	3185	1721	2489	929	1421	773	545	327	258	223	178	159	171	81	191	75	69	61	44	37	73	25	53	17	8	13	22	8	13	25	7	5	2	2	6	0	1	2	1	1	0	0	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	16581	9090	10788	11829	6562	502	2507	1004	2116	497	1209	536	352	70	89	77	46	65	102	19	157	22	46	24	24	28	68	17	46	7	3	2	20	0	8	24	4	2	0	1	5	0	0	1	1	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	34619	16396	14381	13859	8068	2440	3428	1775	2477	983	1421	787	561	313	267	222	173	150	178	84	190	72	69	46	53	47	68	24	43	19	8	13	19	5	11	26	7	2	2	1	2	2	1	2	0	1	0	1	3	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	17622	9585	11611	12423	7003	498	2730	1079	2112	550	1193	581	372	64	113	78	45	57	112	19	163	22	46	18	38	38	63	14	38	6	3	3	17	1	6	25	2	0	0	1	2	0	0	1	0	0	0	1	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	35033	16402	14449	13897	8254	2379	3352	1775	2370	1027	1450	815	569	321	282	234	164	157	204	87	153	72	88	42	46	43	59	21	57	21	6	16	23	7	9	27	6	0	3	1	3	2	0	0	0	2	0	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	17864	9657	11679	12466	7169	502	2679	1102	1997	575	1241	597	372	67	124	87	42	63	140	18	122	21	64	14	34	36	52	11	51	6	2	5	21	1	4	25	0	0	0	0	2	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	34705	16353	14237	14589	8548	2388	3194	1772	2373	984	1337	821	604	303	284	244	181	143	142	96	166	63	83	49	59	48	33	26	47	12	19	13	27	10	15	16	5	3	5	2	4	1	2	1	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north11_active	80	17588	9632	11558	13171	7490	493	2464	1087	2036	519	1114	609	375	70	116	95	35	58	85	17	127	18	58	19	38	34	28	10	39	2	6	2	23	3	11	15	4	1	1	1	3	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north12_all	80	34751	16261	13887	14382	8653	2443	3240	1755	2437	1014	1373	828	563	327	299	240	168	152	127	91	175	61	91	60	45	42	78	26	41	13	19	13	28	11	16	9	5	3	4	1	6	1	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
