label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67
0.03	north1_all	80	41525	12822	12910	5078	5955	3253	3531	1371	1060	1343	662	653	407	529	283	212	200	137	225	110	126	81	59	46	34	78	28	23	24	32	15	10	10	4	4	6	5	1	12	2	3	1	1	5	4	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	27083	2541	9801	1849	4586	2040	2835	331	306	1003	204	420	105	371	114	52	119	33	171	40	105	48	13	20	12	66	14	10	18	27	4	5	1	2	2	3	1	1	8	1	0	0	1	3	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	41397	12894	12788	5099	5980	3321	3525	1401	1067	1323	691	704	400	523	286	214	194	134	226	115	114	85	51	48	32	50	33	23	22	26	13	17	10	5	8	7	5	1	26	9	3	0	4	6	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
0.03	north2_active	80	26920	2543	9628	1840	4628	2057	2835	339	302	991	203	461	98	372	121	50	114	37	173	44	97	47	11	23	13	42	17	10	18	22	2	13	1	2	6	2	1	0	22	8	0	0	2	3	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	41452	12910	12837	5011	5874	3291	3627	1437	1096	1332	670	751	405	529	298	193	181	133	242	101	98	77	40	43	34	65	32	21	27	23	10	15	13	7	10	6	4	2	21	7	2	0	3	11	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
0.03	north3_active	80	26956	2552	9670	1795	4628	2044	2934	341	328	1021	206	516	107	391	133	49	98	38	181	37	83	44	10	15	18	47	17	7	22	19	1	14	2	2	9	1	2	1	19	7	0	0	1	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	43119	12894	13444	5115	6042	3467	3635	1435	1049	1416	662	853	399	568	322	183	183	122	254	104	111	82	39	55	42	60	34	21	39	14	7	15	11	6	12	6	4	7	20	8	3	0	4	8	6	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	1	0
0.03	north4_active	80	29007	2644	10459	1898	4809	2227	2961	337	342	1101	211	592	113	441	150	43	107	29	197	37	95	50	9	18	27	43	21	11	34	13	1	13	2	1	11	0	2	5	18	8	0	0	1	6	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	north5_all	80	44689	12944	14296	5187	6372	3566	3760	1394	1067	1468	656	900	414	608	326	184	191	123	255	104	120	70	40	54	52	79	29	23	53	14	8	16	12	6	6	6	3	12	3	1	1	0	5	10	6	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	1	0
0.03	north5_active	80	31264	2912	11421	2064	5179	2403	3139	297	385	1165	209	659	134	485	168	40	110	26	205	30	105	40	12	19	27	62	15	15	49	12	3	10	2	1	5	1	2	11	3	1	0	0	1	8	2	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	north6_all	80	46529	12996	15209	5240	6852	3705	4026	1362	1051	1562	673	903	407	652	308	184	195	124	235	107	156	75	50	61	48	104	35	25	61	12	9	11	14	5	5	4	3	13	4	1	1	0	3	4	5	0	0	1	1	1	0	1	0	0	1	0	1	0	0	0	2	0	0	3	0	0	0	0
0.03	north6_active	80	33681	3132	12477	2166	5677	2588	3425	278	374	1277	231	672	134	523	168	35	123	27	191	33	138	43	13	24	21	88	22	16	56	10	4	5	2	1	3	1	2	11	2	1	0	0	0	3	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0
0.03	north7_all	80	47270	12910	15802	5233	7183	3860	4044	1331	1072	1596	640	932	404	654	327	198	220	144	210	104	181	74	50	53	47	87	32	26	59	16	10	17	13	5	4	8	2	10	8	0	0	2	4	3	0	0	0	1	2	1	0	1	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0
0.03	north7_active	80	34640	3251	13104	2217	6067	2779	3450	260	391	1318	225	723	133	524	181	39	147	30	175	27	159	36	14	25	16	81	19	17	54	13	3	11	2	0	3	1	2	7	6	0	0	1	1	3	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	47479	12989	15760	5215	7217	3810	3932	1339	1034	1563	666	872	413	667	325	196	225	143	213	92	207	73	53	49	46	100	37	22	58	26	12	15	12	11	4	11	1	10	8	1	0	3	4	2	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0
0.03	north8_active	80	34744	3217	13094	2247	6099	2716	3318	262	378	1288	230	680	135	543	181	40	142	31	177	34	184	45	17	24	25	90	22	12	50	19	3	11	1	2	2	2	1	8	6	1	0	1	1	2	0	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	47271	12860	15906	5206	7199	3705	3906	1374	1068	1651	661	865	399	679	349	213	224	139	237	95	208	77	44	45	52	101	28	24	39	36	10	17	8	12	3	8	2	4	16	2	1	3	2	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north9_active	80	34514	3226	13266	2308	6115	2640	3271	276	405	1378	224	664	133	571	200	56	140	29	198	42	186	47	15	25	31	92	14	15	32	28	1	10	1	3	1	1	1	3	16	2	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	47333	12895	15580	5181	7194	3620	3961	1368	1086	1622	677	829	401	671	328	217	220	129	286	99	209	86	44	45	52	88	29	24	29	43	14	16	6	13	3	6	2	4	15	4	3	2	1	1	1	1	0	0	2	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north10_active	80	34561	3241	12972	2255	6063	2569	3316	272	415	1362	234	646	126	562	185	62	129	30	251	43	191	53	12	25	32	79	17	13	22	33	3	6	1	5	0	2	1	4	15	3	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	46703	12794	14899	5270	6983	3534	3902	1423	1032	1634	689	953	409	709	325	218	247	139	252	103	171	68	56	52	34	86	33	29	36	56	20	10	11	5	14	3	5	3	3	3	3	4	1	4	0	1	1	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	33713	3110	12164	2260	5801	2375	3268	287	360	1336	230	711	132	580	179	55	162	26	213	38	140	48	13	15	19	81	19	15	29	45	6	7	0	0	11	0	2	3	3	3	1	1	1	4	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	47507	12661	15302	5388	7088	3590	3800	1424	1022	1662	657	988	410	781	358	207	243	135	245	93	158	68	60	60	35	99	37	23	41	49	19	10	7	6	11	5	6	5	2	2	3	5	1	4	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	34642	3143	12701	2399	5946	2486	3189	284	371	1370	230	745	136	671	203	46	167	28	200	33	129	42	16	19	15	91	23	12	37	36	8	7	1	3	9	2	1	5	1	2	1	2	1	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	47296	12844	15286	5394	6964	3721	3865	1394	1007	1687	643	960	398	693	343	228	238	145	242	87	201	78	67	56	43	91	25	26	39	36	18	11	10	9	15	4	3	13	2	1	4	5	0	1	0	3	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	34452	3243	12703	2383	5836	2599	3285	295	374	1396	231	736	126	586	185	49	154	30	202	22	172	49	19	19	17	83	12	13	31	30	6	9	3	4	12	2	0	13	1	1	1	2	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	47145	12859	15689	5421	6866	3741	3841	1364	1029	1628	638	844	399	652	334	234	234	141	247	89	248	80	63	54	40	77	30	19	39	26	18	11	12	11	12	6	3	17	1	3	4	3	0	1	0	2	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	34464	3262	13054	2362	5762	2670	3271	285	381	1346	251	658	130	538	181	44	142	27	199	22	214	45	15	23	15	67	15	8	32	20	7	7	5	6	10	2	0	17	0	3	1	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	46889	12992	15431	5490	6787	3835	4043	1356	1050	1588	632	816	386	626	320	238	246	147	213	100	259	89	67	44	41	78	33	25	26	27	17	18	11	12	13	4	0	14	5	5	4	3	0	4	0	2	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	34410	3262	12770	2373	5678	2761	3466	282	395	1322	229	638	119	521	186	51	143	30	164	17	229	47	18	19	15	67	19	12	19	24	7	11	4	5	12	0	0	14	5	5	0	2	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
