label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48
0.03	north1_all	80	12899	9080	2911	1931	999	2074	447	1038	273	190	194	120	99	106	184	140	43	60	57	29	8	17	13	13	6	13	10	12	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	8208	7548	1802	1219	474	1848	124	919	106	83	120	35	43	77	163	127	23	51	45	23	2	7	2	7	3	12	9	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	12795	9173	2925	1887	1005	2067	460	1087	250	184	188	104	99	99	208	110	32	84	81	29	10	17	9	14	5	14	23	7	4	0	6	1	1	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	8091	7660	1785	1165	471	1857	133	978	100	84	119	33	49	73	193	97	19	73	70	25	1	7	2	8	1	14	22	7	1	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	12303	8576	2778	1820	947	1883	482	1032	239	187	174	89	108	103	189	108	34	106	82	36	12	17	7	10	5	18	18	7	5	0	7	1	1	0	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north3_active	80	7516	6988	1625	1083	416	1663	131	920	94	79	95	24	49	79	174	93	19	92	69	34	2	7	1	5	1	18	17	7	1	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north4_all	80	11790	7644	2671	1730	958	1630	474	946	255	194	170	88	104	106	161	94	30	103	74	27	13	12	7	7	5	19	17	5	5	0	6	1	2	0	2	0	2	0	0	0	1	0	0	0	1	0	0	0	0
0.03	north4_active	80	6803	6068	1509	963	375	1400	128	831	101	81	93	23	43	77	141	81	17	88	63	25	2	2	1	5	1	19	15	5	1	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_all	80	11404	6916	2591	1629	917	1413	455	822	265	208	159	96	91	93	142	97	33	87	58	38	13	16	10	7	5	7	14	6	5	0	7	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north5_active	80	6362	5317	1396	862	332	1152	109	695	100	86	87	22	34	59	122	82	16	71	46	32	3	1	3	4	2	7	12	5	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north6_all	80	11174	6732	2622	1585	950	1324	467	795	263	200	161	111	86	92	109	106	40	63	45	28	11	15	10	10	4	5	7	4	1	0	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	6022	5086	1389	817	330	1059	109	646	94	80	86	24	38	53	88	94	22	48	34	22	1	0	4	6	3	5	5	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	11622	7309	2796	1711	949	1514	454	916	245	195	172	125	80	102	127	107	39	71	48	32	11	16	13	16	4	8	7	7	3	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	6618	5638	1555	965	353	1268	99	757	86	81	92	24	39	66	107	99	22	56	38	25	3	2	4	7	2	8	6	5	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	12165	8102	2875	1774	949	1771	443	1007	262	192	209	132	96	109	135	105	43	76	41	35	17	8	8	19	4	11	4	8	3	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	7234	6463	1743	1053	388	1551	105	846	85	73	128	32	50	74	119	94	26	64	34	27	4	2	3	10	3	10	4	7	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	12522	8718	2986	1866	969	1945	435	1100	261	188	213	127	107	125	171	126	48	82	41	44	21	8	10	18	6	11	12	6	4	1	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north9_active	80	7768	7134	1895	1143	426	1749	101	950	84	73	139	31	53	93	156	118	28	69	35	37	4	3	2	10	5	10	12	6	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	12720	9130	2916	1834	962	2005	422	1111	256	191	194	128	120	107	181	141	55	108	42	56	22	9	7	17	4	8	15	5	4	0	2	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
0.03	north10_active	80	8050	7623	1848	1132	443	1807	106	988	91	88	125	38	58	82	163	131	30	93	32	48	3	2	1	15	4	7	15	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	12876	8852	2982	1872	923	1970	458	1079	272	194	209	119	93	108	143	108	46	80	92	60	12	10	11	5	6	6	3	4	2	2	2	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	8170	7327	1910	1163	386	1767	131	974	108	89	140	36	53	73	127	95	27	69	82	55	2	2	0	4	2	4	3	3	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	12782	8909	3014	1853	964	1990	463	1011	261	180	220	120	96	104	155	118	38	67	74	42	12	8	9	7	5	10	2	6	2	2	0	1	2	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_active	80	8160	7449	1922	1150	407	1772	126	906	104	88	144	31	57	71	139	110	16	58	62	38	2	2	1	5	1	9	1	4	2	0	0	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	12730	8894	2987	1830	1039	2134	444	982	262	203	204	118	108	109	149	123	39	64	68	43	15	13	9	12	5	9	2	8	2	1	0	1	3	3	0	1	2	2	3	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	8114	7443	1896	1146	463	1900	117	873	97	97	130	28	69	80	133	116	19	53	55	41	3	5	3	9	1	9	1	5	2	0	0	0	1	1	0	1	2	2	3	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	12655	8823	2969	1807	1049	2214	459	1018	247	216	183	109	102	107	126	131	42	73	62	43	14	14	9	13	7	9	7	7	2	0	0	1	3	3	0	0	5	1	3	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	8032	7408	1825	1117	510	1971	115	893	82	102	113	31	61	77	114	120	22	66	48	41	4	5	4	8	1	8	5	4	1	0	0	0	1	1	0	0	5	1	3	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	12536	8741	2956	1803	1076	2147	489	1097	263	228	182	105	104	107	140	121	56	73	44	44	14	15	11	11	6	8	10	5	2	0	1	1	2	2	1	0	3	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	7956	7362	1801	1097	528	1913	135	971	92	111	114	35	56	81	126	107	36	65	36	39	5	6	3	8	1	7	9	1	1	0	0	0	1	1	1	0	3	0	3	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	12606	8933	2990	1855	1031	2091	495	1143	253	224	197	101	92	121	150	104	49	77	34	55	17	12	9	8	7	12	20	4	1	1	3	1	1	0	1	4	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	7993	7460	1849	1104	493	1883	127	1023	90	108	123	35	42	87	133	92	33	71	27	46	7	5	3	6	3	11	18	1	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	12606	9064	2998	1866	1016	2134	467	1159	260	208	209	120	85	118	187	92	51	59	42	55	11	11	6	8	7	10	18	3	0	2	3	3	1	0	1	4	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north17_active	80	8031	7601	1892	1085	457	1931	125	1045	106	102	128	38	37	83	163	81	36	54	37	42	3	3	1	3	4	9	17	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	12516	9026	3051	1814	978	2068	445	1124	253	181	203	123	98	121	183	121	37	73	55	65	12	11	6	7	7	10	13	1	1	2	2	2	2	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north18_active	80	7953	7545	1905	1107	444	1854	117	1015	109	86	119	39	41	85	164	108	24	67	47	50	2	4	1	3	4	9	12	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	12344	8956	3000	1822	1005	2115	459	1111	249	185	195	124	110	111	182	149	34	77	61	74	8	10	5	7	3	8	5	5	2	4	0	3	2	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
0.03	north19_active	80	7816	7463	1873	1138	450	1873	136	1004	111	82	123	36	54	73	164	132	23	70	54	59	1	2	1	2	1	6	5	3	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	12428	8977	2913	1812	1025	2081	464	1080	251	201	191	121	117	113	151	145	35	84	65	60	7	8	6	7	5	8	5	5	2	2	0	4	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	north20_active	80	7857	7512	1825	1190	461	1823	129	972	104	91	114	32	61	77	133	130	23	76	59	50	0	2	1	1	1	6	5	4	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south21_all	80	13916	5277	5204	1721	1084	787	487	351	519	213	287	123	277	55	68	40	26	24	21	10	36	37	6	8	6	14	3	2	4	2	2	1	2	0	0	4	2	0	0	0	0	0	13	0	0	0	0	0	1
