label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121
0.03	north1_all	80	1917	840	735	868	505	258	240	196	213	142	199	146	86	83	53	70	50	79	93	39	80	28	26	48	27	26	31	30	27	16	19	11	12	15	22	9	20	6	11	17	7	3	29	5	16	10	5	10	2	3	3	4	3	0	2	2	4	7	2	2	3	5	1	1	4	0	1	1	1	1	1	3	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
0.03	north1_active	80	921	390	370	518	284	123	106	100	123	75	111	85	40	45	23	46	24	48	69	17	54	14	9	24	11	13	19	21	16	9	9	5	5	8	13	1	11	2	5	13	3	1	12	2	9	8	3	7	0	3	1	4	1	0	2	2	3	6	0	1	1	0	1	0	4	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	1921	851	700	884	519	273	227	181	211	134	208	126	69	72	47	74	47	76	110	36	87	27	25	42	22	28	28	25	31	15	24	11	14	18	22	14	19	9	8	16	7	3	33	7	16	11	5	9	2	3	3	2	4	0	1	3	3	4	2	3	3	4	1	0	2	1	2	0	0	0	0	3	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_active	80	894	398	362	556	290	127	112	94	113	67	124	71	36	35	19	49	18	41	83	14	57	10	11	21	6	13	17	17	18	9	14	5	6	10	16	2	8	2	4	12	4	2	15	4	7	10	2	7	0	3	1	2	2	0	1	2	2	3	0	2	1	0	1	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	1966	824	684	856	471	285	236	203	233	132	245	142	70	72	50	70	51	62	116	35	98	27	26	42	15	32	22	21	38	17	29	9	16	21	22	15	14	12	9	11	6	6	19	7	13	7	6	9	5	1	2	5	4	0	1	3	3	4	1	3	1	0	0	2	2	1	1	1	0	2	1	0	0	0	2	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	921	384	356	535	274	140	107	111	121	56	147	82	39	33	21	35	17	33	87	15	60	12	11	21	3	17	15	15	22	10	14	5	5	12	15	1	7	4	5	7	2	3	13	4	7	5	2	7	3	1	0	3	2	0	1	2	1	3	0	2	0	0	0	0	2	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	1939	814	670	885	497	278	231	197	231	132	236	128	69	74	53	86	52	80	108	37	83	32	29	48	15	29	19	26	35	13	25	10	15	21	30	14	16	10	7	6	5	7	16	9	11	8	7	12	5	1	3	3	3	1	1	3	2	5	1	4	3	0	1	2	0	1	2	1	0	2	1	0	0	0	2	0	0	1	2	2	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	890	376	361	534	276	127	116	104	128	59	140	74	39	32	18	37	18	42	80	14	48	8	15	27	3	13	11	15	19	6	14	6	5	16	21	2	10	3	3	3	2	3	12	6	6	7	1	11	4	1	0	1	2	0	0	2	0	4	0	3	0	0	1	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	1980	822	683	867	528	265	219	215	239	120	261	145	67	77	53	90	53	72	113	38	77	34	27	43	11	23	20	30	41	13	16	13	15	15	33	13	13	11	9	10	6	6	6	7	9	6	4	13	6	1	4	4	2	2	2	2	2	1	0	3	5	1	1	3	0	2	1	1	0	2	1	0	0	0	1	1	0	1	2	1	0	1	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	914	357	358	498	316	122	109	111	136	57	150	86	36	32	19	45	27	41	88	16	43	9	11	25	3	8	13	17	25	6	7	7	4	9	24	4	8	3	4	7	3	2	3	4	5	5	0	12	4	0	1	1	1	1	0	0	0	1	0	3	0	0	1	1	0	1	1	0	0	2	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
