label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128
0.03	north1_all	80	4640	2963	1348	4349	2865	675	653	493	384	369	265	649	342	202	484	405	96	450	185	72	95	71	79	64	46	186	121	37	31	22	84	57	38	37	46	16	17	61	19	33	11	20	12	12	11	4	6	12	3	7	14	9	7	6	5	5	1	3	2	2	2	20	6	5	3	1	6	1	1	6	2	0	0	4	0	0	0	1	0	1	1	1	3	0	1	0	0	0	1	0	2	0	0	0	0	2	0	1	0	0	2	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	1288	1865	496	4058	2641	315	424	298	222	220	88	575	262	80	443	370	41	424	163	27	49	14	44	27	17	174	96	12	4	13	75	45	17	24	42	9	9	57	17	28	7	13	8	8	4	0	3	5	1	4	9	3	4	4	2	4	0	2	1	0	1	20	4	5	1	1	3	0	0	6	0	0	0	3	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_all	80	4649	2912	1339	4361	2880	687	667	497	393	354	254	606	340	191	472	452	108	482	207	78	79	66	70	65	54	158	110	32	28	31	72	55	25	48	36	20	15	55	27	39	14	19	16	16	15	8	10	10	3	6	10	9	3	6	3	5	0	4	4	3	1	6	8	10	2	1	5	0	0	2	3	1	0	3	0	0	0	2	1	1	1	1	3	1	1	0	0	0	0	0	2	0	0	1	0	2	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1276	1846	507	4066	2642	340	445	299	227	227	85	526	260	73	429	405	50	453	169	23	38	10	40	25	29	148	87	10	5	16	60	43	10	33	31	9	5	51	23	31	9	11	7	9	7	0	6	5	1	3	4	2	1	4	0	3	0	2	1	2	0	5	7	9	1	1	4	0	0	2	1	0	0	3	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4626	2914	1333	4440	2713	674	679	488	415	364	266	572	344	191	538	431	114	508	207	86	78	71	83	60	59	180	100	31	26	30	72	60	17	53	27	20	14	46	30	20	13	19	18	13	10	9	12	10	4	5	9	5	3	9	3	9	0	2	2	4	1	8	6	10	1	2	4	0	0	2	3	1	0	5	0	0	0	1	1	0	0	1	3	1	2	4	1	0	0	0	1	0	0	1	0	2	0	2	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1297	1859	508	4136	2485	331	455	300	236	228	91	490	268	73	498	382	54	475	171	26	44	12	50	25	29	172	78	12	5	14	62	51	5	38	20	8	6	42	23	15	6	14	7	6	4	1	7	5	2	3	7	1	1	6	1	4	0	1	0	2	0	6	5	9	0	1	3	0	0	2	1	0	0	4	0	0	0	0	1	0	0	1	3	0	1	4	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4724	2897	1342	4317	2614	648	668	499	431	362	270	540	302	181	548	504	120	524	207	77	84	65	81	63	63	151	85	40	30	29	80	55	24	50	36	19	17	39	27	30	15	21	23	10	12	11	13	7	5	6	14	4	6	5	5	6	1	2	5	5	1	10	5	8	0	1	2	1	0	2	2	1	1	7	0	0	1	1	1	0	0	1	3	1	1	4	1	0	0	1	0	0	0	1	0	2	0	1	0	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1319	1894	501	4005	2384	316	456	300	238	228	101	472	218	72	506	451	59	490	172	21	46	8	48	27	30	142	67	17	6	12	67	49	7	38	29	7	6	30	19	24	7	16	9	3	4	2	7	4	1	3	12	1	3	3	1	2	0	0	2	2	1	8	3	7	0	0	1	0	0	2	1	0	0	4	0	0	1	0	1	0	0	1	3	0	1	4	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4783	3018	1410	4093	2518	669	671	486	437	350	251	572	295	171	575	477	123	518	195	72	79	63	79	56	63	144	95	47	31	35	83	56	23	35	37	26	21	47	33	20	14	19	20	9	13	13	11	7	5	7	19	4	6	4	3	9	1	2	6	5	2	12	6	11	1	1	1	1	1	5	1	0	1	6	0	0	2	2	2	2	0	2	0	0	1	5	1	0	0	1	1	0	0	0	0	4	0	1	0	1	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1333	1993	537	3803	2299	324	450	297	241	217	86	504	219	69	532	433	57	489	157	21	49	10	46	23	30	136	78	16	6	13	66	45	7	30	26	10	6	38	27	15	7	14	6	3	4	3	5	3	2	3	16	1	3	3	1	4	0	0	2	2	2	10	4	10	0	0	0	0	0	5	1	0	0	3	0	0	1	0	2	2	0	0	0	0	1	5	1	0	0	0	1	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
