label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128
0.03	north1_all	80	4644	2326	1673	2315	1966	562	377	328	620	307	234	345	305	214	208	201	125	90	89	147	163	67	71	94	158	105	102	73	35	71	25	50	57	67	43	32	37	32	19	15	15	22	5	9	14	7	5	9	4	12	1	8	5	2	4	10	7	12	3	2	13	6	4	1	6	2	2	1	1	1	0	2	1	1	1	0	0	1	4	2	4	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	2272	1182	917	1506	1298	264	181	137	376	161	117	191	192	120	125	133	61	39	44	93	106	40	47	56	98	55	79	51	23	52	8	29	44	40	23	27	29	18	9	10	6	15	4	5	7	2	2	4	3	9	1	3	3	1	2	7	3	8	0	1	11	4	2	1	2	0	2	1	1	1	0	0	1	0	1	0	0	1	4	0	4	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	4570	2289	1658	2251	1913	561	391	317	604	317	232	338	318	205	188	213	124	102	98	140	154	64	64	96	168	89	107	76	40	78	23	49	52	65	41	36	47	30	15	17	14	27	11	9	18	6	5	8	6	10	3	10	6	3	4	13	6	15	2	1	12	7	3	2	3	2	3	1	2	1	1	2	1	1	1	1	1	1	3	2	4	0	0	0	0	2	1	0	0	0	0	1	1	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	2213	1132	898	1481	1221	270	183	144	363	159	117	194	199	107	105	145	55	49	44	89	96	37	38	56	111	52	83	49	23	56	10	30	38	43	21	29	38	15	9	7	6	22	8	4	6	3	2	3	4	7	3	4	5	1	2	9	2	9	0	1	12	4	1	2	2	1	1	1	1	0	1	1	1	0	1	1	1	0	3	0	4	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	4472	2319	1704	2312	1882	561	389	308	616	320	266	339	337	209	175	207	113	105	91	135	160	67	64	86	170	100	80	84	35	86	22	43	45	53	44	22	43	26	14	14	14	31	9	8	23	6	7	7	9	11	5	5	5	3	4	13	7	27	2	2	2	3	2	1	4	2	4	1	1	2	4	3	1	1	0	1	1	1	3	2	4	0	0	0	0	2	1	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	2164	1173	929	1495	1226	278	169	136	363	168	134	201	223	111	96	139	52	51	47	88	103	32	36	47	122	57	62	62	22	62	9	27	32	34	26	12	36	15	8	6	6	27	4	1	9	3	2	2	6	8	4	2	3	1	2	10	3	18	0	2	1	1	1	1	2	1	2	1	0	0	4	1	1	0	0	1	1	0	3	0	4	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	4536	2242	1696	2261	1873	590	401	340	580	321	251	356	351	230	162	205	106	102	96	127	169	63	66	79	147	102	73	66	38	90	20	39	39	51	33	28	40	25	13	13	16	31	12	7	20	5	14	9	11	15	6	6	6	3	2	13	2	23	4	2	7	3	2	2	5	2	4	1	1	6	4	4	1	1	1	2	1	1	2	1	5	0	0	0	0	2	1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2227	1150	896	1492	1219	285	173	153	359	171	128	216	230	120	73	128	50	44	50	81	109	26	37	35	96	57	53	46	20	64	11	22	23	36	23	12	32	18	5	6	8	28	5	2	8	3	7	4	6	10	5	3	3	1	1	11	1	15	3	2	6	1	1	1	3	1	2	1	0	3	4	2	1	1	1	2	1	0	1	0	4	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4531	2252	1682	2302	1877	612	413	355	605	312	255	351	336	224	177	184	99	99	100	137	174	71	63	69	119	86	61	73	44	76	21	41	35	49	30	25	34	22	16	11	16	28	12	10	16	7	18	12	9	13	7	7	6	1	2	10	6	21	5	6	9	2	3	1	5	2	2	1	0	6	4	4	0	1	4	1	0	2	2	0	4	0	6	0	0	1	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2266	1177	886	1516	1214	308	180	160	384	174	131	224	209	132	78	108	56	42	57	85	112	28	36	28	80	40	35	49	25	55	9	23	16	38	22	12	22	17	5	7	6	20	6	6	8	4	8	5	4	9	6	5	3	0	1	7	4	15	3	4	8	1	2	0	2	1	2	1	0	3	3	2	0	1	4	1	0	0	1	0	3	0	6	0	0	1	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	4558	2278	1725	2422	1926	587	448	358	595	291	246	356	330	233	178	198	103	96	104	137	162	69	72	87	134	91	67	52	47	69	32	40	45	58	30	27	35	24	17	13	13	37	13	7	15	8	16	11	6	13	8	7	6	5	3	11	6	3	5	6	9	1	3	1	4	1	1	2	0	7	1	2	0	3	4	1	0	1	2	1	4	0	6	0	1	1	0	1	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	2252	1164	888	1630	1261	282	209	156	386	169	115	224	195	131	86	109	55	36	57	80	104	32	45	40	90	53	40	34	27	48	16	22	18	49	18	15	22	16	6	10	6	31	5	6	7	5	8	5	2	10	6	5	4	4	1	7	3	0	3	4	8	0	2	0	2	0	1	1	0	5	0	1	0	3	4	1	0	0	0	1	3	0	6	0	0	1	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	4553	2349	1670	2526	2038	563	465	348	624	280	266	341	312	233	184	206	102	92	100	133	152	62	64	88	139	80	70	67	45	69	31	38	42	70	37	28	33	24	21	8	14	29	10	8	12	10	14	12	4	6	8	7	5	7	9	17	10	2	3	7	9	1	4	0	3	0	0	3	0	4	1	1	0	2	3	0	0	3	2	1	1	1	6	0	1	0	0	1	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2240	1201	886	1738	1309	267	213	154	391	154	132	217	183	130	98	112	55	42	51	75	111	33	42	46	94	42	47	49	27	49	17	18	16	57	24	21	22	15	8	6	7	21	5	5	9	8	6	6	1	4	6	5	4	7	7	12	6	0	1	4	7	0	2	0	2	0	0	1	0	3	0	1	0	2	3	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	4506	2326	1679	2638	2029	575	466	335	582	270	249	312	288	248	178	205	99	92	103	136	147	60	57	87	152	86	86	60	32	69	33	36	49	74	41	30	28	30	15	14	14	25	7	5	11	12	10	8	4	3	9	7	2	11	11	22	9	6	1	5	5	0	3	0	2	0	0	4	1	2	0	0	1	2	3	0	1	5	3	1	3	1	0	0	1	0	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2233	1166	928	1786	1311	275	216	164	356	148	129	201	164	146	94	121	55	41	52	73	110	31	36	53	98	42	58	42	20	50	16	20	23	56	23	21	22	16	7	10	6	19	3	2	9	9	4	3	2	2	6	4	2	8	9	16	6	0	1	3	3	0	1	0	2	0	0	2	0	2	0	0	1	2	3	0	1	3	0	1	3	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	4467	2308	1631	2632	2095	586	469	343	583	292	250	284	282	232	186	197	111	98	99	128	146	54	51	81	143	90	92	78	26	67	32	30	44	56	38	31	30	28	17	13	22	19	5	6	9	8	10	7	5	7	8	6	5	10	16	27	7	7	4	3	5	0	2	2	5	0	2	4	1	3	2	1	1	0	0	0	1	5	5	1	3	1	0	0	4	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
