label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41
0.03	north1_all	80	13210	4139	2048	1004	764	422	524	619	221	97	114	60	45	25	28	34	24	12	9	9	8	3	5	4	3	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	1
0.03	north1_active	80	8007	2361	1105	504	391	201	325	377	130	43	74	28	25	11	10	20	9	7	4	3	5	1	3	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	13059	4216	2056	1006	765	412	508	609	231	95	117	53	33	27	27	35	23	10	6	6	5	5	5	3	2	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	1
0.03	north2_active	80	7858	2431	1109	519	383	189	313	362	142	42	69	22	21	14	9	19	8	6	3	2	2	3	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	13129	4339	2054	1032	805	411	494	586	220	101	119	49	38	30	30	33	27	11	4	8	5	5	6	4	1	1	3	3	0	0	0	2	2	1	0	0	1	0	0	0	1	1
0.03	north3_active	80	7908	2483	1120	514	394	189	303	368	126	41	65	23	21	17	10	22	14	8	1	2	3	2	3	1	0	0	3	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	13035	4295	1960	1029	829	423	510	574	215	111	117	49	36	34	31	33	25	5	4	7	3	4	3	5	1	2	3	2	1	0	0	2	2	0	0	0	0	0	0	0	1	0
0.03	north4_active	80	7883	2481	1048	519	421	192	322	371	113	48	65	20	19	21	11	19	14	4	1	1	2	2	2	3	0	1	3	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	12968	4175	1932	1018	804	435	484	565	208	114	123	50	51	34	30	38	22	8	8	8	3	3	3	8	0	2	6	2	3	0	0	1	2	0	0	0	0	0	0	0	1	0
0.03	north5_active	80	7889	2394	1005	498	417	198	306	357	119	53	66	26	25	22	13	20	12	5	4	3	2	2	2	5	0	1	6	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12450	3948	1882	985	768	414	456	523	210	112	106	48	49	37	25	37	23	8	9	6	4	3	4	9	0	1	6	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0
0.03	north6_active	80	7495	2197	975	480	390	190	289	307	125	54	61	23	23	23	12	22	11	3	6	2	2	1	2	5	0	1	6	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	11758	3817	1876	951	739	418	427	532	208	98	98	53	42	34	27	32	18	10	11	2	4	4	5	4	1	2	4	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0
0.03	north7_active	80	6965	2077	959	460	374	195	261	312	126	53	49	23	20	18	12	19	8	4	6	2	2	1	3	2	1	1	3	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	11205	3756	1866	983	739	413	435	472	191	97	94	53	38	43	23	26	17	9	11	7	2	4	4	3	2	1	2	0	3	0	1	0	0	0	2	0	0	0	0	0	0	0
0.03	north8_active	80	6466	2011	924	475	372	181	257	276	106	53	47	21	20	23	12	18	9	2	7	3	1	1	2	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_all	80	11143	3770	1846	979	756	418	436	483	179	89	93	59	37	42	20	25	23	10	11	6	3	4	2	2	3	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	6374	2022	899	476	381	177	267	304	93	49	46	24	17	22	10	16	13	5	7	1	3	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	11233	3773	1759	991	722	382	435	475	209	100	85	70	38	43	19	20	27	11	13	8	5	2	1	4	5	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	6381	2010	843	479	366	171	262	313	104	49	42	36	17	23	6	12	18	5	8	1	3	0	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	12963	4220	1964	1048	776	438	492	575	229	133	91	55	30	37	32	32	18	12	9	5	6	2	2	2	2	6	6	3	0	0	1	0	0	0	0	0	0	1	1	0	0	0
0.03	north11_active	80	7849	2377	1017	518	387	229	277	373	137	67	48	18	18	24	15	20	7	5	5	1	2	0	1	2	1	3	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	13037	4159	1903	1074	735	420	492	580	186	120	96	60	37	43	29	37	15	11	11	6	4	2	2	1	4	6	5	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0
0.03	north12_active	80	7829	2362	945	517	372	215	276	363	105	58	49	18	17	29	13	24	7	6	5	1	2	1	2	1	3	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_all	80	13026	4256	1840	1070	753	415	486	560	217	123	107	58	43	38	22	30	16	9	11	6	3	2	2	6	4	6	3	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0
0.03	north13_active	80	7882	2430	921	525	382	205	268	363	119	57	56	18	17	26	10	19	9	4	3	1	1	1	2	3	3	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	12751	4166	1850	1030	735	405	478	563	222	106	108	59	51	43	17	28	13	7	7	3	2	4	2	8	2	4	4	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	7708	2397	951	514	376	201	268	344	123	44	52	22	20	25	5	18	7	2	2	0	1	3	1	5	2	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	12165	4035	1851	970	711	411	457	511	229	102	105	57	41	43	16	30	17	10	9	1	2	5	3	8	0	4	1	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	7189	2289	983	486	359	199	257	315	128	42	55	22	17	23	5	16	10	5	6	0	0	3	1	5	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north16_all	80	11685	3868	1779	995	672	414	462	520	221	98	114	49	41	35	15	29	19	11	8	0	2	8	4	3	1	2	3	9	0	0	0	1	2	0	0	0	0	0	0	0	0	0
0.03	north16_active	80	6846	2155	965	480	326	194	264	314	126	42	63	23	16	15	5	13	11	7	7	0	0	5	2	3	0	2	3	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	11196	3736	1736	967	667	422	451	455	203	83	118	49	36	32	23	30	20	13	9	1	4	6	4	1	1	6	4	9	0	1	0	1	2	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	6499	2041	898	474	315	185	264	269	117	39	66	20	19	15	13	13	12	8	8	1	1	3	3	1	0	4	4	9	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	11240	3640	1731	976	653	435	432	518	202	89	111	48	40	25	22	32	21	12	11	2	7	5	4	1	2	8	5	8	0	1	0	1	1	0	0	0	0	0	0	0	0	0
0.03	north18_active	80	6469	1950	894	467	302	182	252	322	112	42	63	15	20	9	13	16	10	6	7	2	2	3	3	1	1	6	5	8	0	1	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	11146	3667	1768	945	675	417	431	525	195	92	100	43	47	32	22	29	20	9	10	5	7	6	3	5	3	9	6	7	0	2	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north19_active	80	6477	1974	913	457	319	176	254	332	103	42	52	13	23	14	11	17	9	2	6	2	3	3	1	5	1	6	5	7	0	2	0	1	0	0	1	0	0	0	0	0	0	0
0.03	north20_all	80	11155	3668	1786	946	728	384	387	553	184	104	94	41	45	30	23	32	23	9	8	5	9	3	3	4	2	6	3	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0
0.03	north20_active	80	6487	1958	930	468	341	168	228	356	103	48	44	15	25	16	10	18	9	2	2	1	3	2	1	4	1	4	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0
0.03	south21_all	80	12002	4070	1857	1032	703	426	436	539	210	118	111	76	42	36	38	33	26	20	6	7	3	6	3	7	1	4	5	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0
0.03	south21_active	80	7141	2230	982	536	348	192	249	349	116	59	55	38	19	23	15	24	14	8	2	4	2	0	1	2	1	3	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	12506	4260	1843	1050	723	456	490	605	218	117	105	72	38	40	39	39	22	17	7	11	4	8	2	8	0	0	5	4	1	0	0	1	1	0	1	1	0	0	0	0	0	0
0.03	south22_active	80	7518	2379	1004	550	352	225	286	380	134	56	53	33	14	21	19	30	11	5	3	6	2	2	2	3	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	12919	4298	1906	1066	760	432	489	690	242	121	100	64	50	42	39	34	19	14	10	11	5	6	3	7	1	1	3	4	1	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south23_active	80	7821	2365	1033	534	383	218	308	432	146	58	55	30	21	20	19	27	9	4	5	6	3	2	3	3	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	13051	4394	1950	1063	781	442	519	654	234	108	98	59	51	47	32	30	23	6	14	10	7	8	4	8	2	1	3	4	1	0	0	1	0	0	1	0	0	0	0	0	0	0
0.03	south24_active	80	7976	2416	1056	522	402	214	327	422	145	47	52	23	20	20	17	20	12	1	7	6	3	3	4	4	1	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	12970	4410	2010	1044	768	440	503	656	230	102	95	58	50	41	22	34	17	7	14	7	8	5	3	4	2	1	1	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	south25_active	80	7880	2418	1075	514	401	202	320	419	134	44	51	22	20	22	13	19	10	4	6	5	4	1	3	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	12973	4350	2007	1089	790	415	491	640	205	102	97	57	46	37	21	35	21	10	10	7	7	6	4	5	2	3	0	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0
