label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191
0.03	north1_all	80	2999	2096	885	719	910	803	868	263	233	260	144	175	227	127	342	176	105	92	173	178	142	152	169	56	120	95	72	67	57	27	22	64	38	41	19	17	17	18	40	30	27	30	18	20	10	9	13	28	9	13	10	9	24	11	3	12	9	29	9	9	8	6	5	2	4	1	7	4	4	8	10	10	1	3	1	9	2	2	5	5	3	3	5	3	4	10	5	1	0	10	5	3	3	1	1	1	2	1	1	2	1	0	0	1	0	6	2	1	0	1	8	4	0	0	1	1	1	0	0	0	0	0	0	2	1	0	0	1	2	2	0	0	0	3	0	1	1	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	1584	1262	440	368	547	497	567	131	106	170	62	99	160	61	234	109	52	51	106	118	90	89	126	33	85	54	49	35	26	13	13	44	24	27	12	9	5	9	21	20	14	18	10	14	4	4	6	25	4	6	6	5	14	4	1	5	5	21	6	6	5	3	3	1	3	0	4	2	1	3	3	4	0	0	1	8	2	2	3	4	2	1	4	3	3	9	3	0	0	7	4	1	2	1	0	0	2	0	1	2	0	0	0	1	0	6	2	1	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	3	0	0	1	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	2995	2073	912	722	908	797	938	257	234	245	158	177	237	130	317	182	102	105	170	142	144	147	168	69	145	96	82	83	52	34	27	76	40	34	20	16	22	20	46	33	20	29	14	18	8	11	17	29	8	12	11	11	19	12	6	13	7	19	12	8	7	6	5	6	6	2	5	6	3	7	12	10	1	6	2	10	2	4	6	17	3	1	5	3	2	9	7	0	0	10	6	8	2	1	0	1	2	1	1	4	1	0	0	1	1	10	1	3	0	0	8	4	0	1	0	1	1	0	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1	1	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	1591	1217	450	381	556	495	636	130	110	143	77	92	161	63	202	107	55	58	107	93	93	97	129	43	105	53	53	50	21	17	15	50	25	25	13	6	6	8	28	21	11	18	6	13	4	7	8	25	4	5	6	5	16	5	4	6	2	10	7	5	3	4	4	2	5	0	3	2	1	3	5	5	0	3	1	9	2	4	4	16	2	1	4	3	2	8	4	0	0	7	5	7	1	1	0	0	2	0	0	3	0	0	0	0	0	9	1	1	0	0	8	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2904	2050	945	686	905	822	892	218	224	237	167	166	221	128	314	206	105	105	171	131	132	142	135	78	173	98	69	89	49	29	26	87	41	35	26	17	30	21	43	29	26	15	17	21	15	12	16	27	9	15	8	8	15	10	8	14	6	8	11	8	6	7	6	6	7	2	7	6	5	7	10	6	3	6	2	7	3	8	3	16	3	2	3	1	2	5	6	1	2	6	4	8	1	0	0	0	1	1	2	4	1	0	1	1	1	10	1	3	0	0	10	4	0	2	1	0	2	0	3	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1529	1193	462	362	517	515	583	98	100	137	78	86	132	63	188	126	55	50	109	78	94	94	101	50	125	57	43	56	18	12	14	57	23	24	15	6	7	9	27	17	13	9	9	15	9	8	7	21	5	6	6	3	12	5	4	7	2	3	5	6	1	5	5	2	5	0	6	3	3	2	4	4	1	3	1	4	2	5	1	16	2	1	3	1	2	4	4	0	1	1	3	7	1	0	0	0	0	0	0	3	0	0	0	0	0	9	1	1	0	0	10	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2926	2006	948	697	931	874	903	235	238	221	174	153	235	136	314	211	123	114	163	131	129	144	123	84	187	103	71	75	36	27	27	80	45	23	27	14	36	26	30	27	39	15	20	18	14	16	15	27	12	14	7	12	16	7	9	8	5	6	8	8	4	4	5	8	15	3	7	4	3	4	9	6	5	6	6	7	3	9	5	17	3	1	2	1	3	6	5	2	2	3	5	8	0	0	0	0	1	0	2	3	0	1	1	2	2	4	1	2	1	0	4	3	0	3	1	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	1540	1155	459	366	567	567	595	106	103	117	85	70	136	64	194	132	70	55	103	84	88	93	93	51	135	69	45	46	15	11	13	54	24	10	14	7	13	9	19	16	23	10	10	13	8	9	6	19	8	8	4	4	12	5	4	4	1	4	2	6	1	3	5	4	5	0	7	2	2	1	5	3	3	3	3	4	2	6	3	17	2	0	1	0	2	5	3	0	1	0	3	8	0	0	0	0	0	0	0	2	0	0	0	0	1	3	1	0	1	0	4	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2927	2003	932	671	950	805	809	250	258	231	156	169	233	137	330	218	131	112	158	166	121	148	107	89	175	97	60	82	34	23	29	88	48	30	23	14	32	26	30	25	42	14	20	16	15	11	13	21	16	12	5	14	12	6	6	8	3	12	5	9	4	5	3	4	13	7	7	4	4	4	3	7	7	1	6	4	5	5	5	2	1	1	2	2	5	3	10	3	2	5	5	3	5	0	1	1	2	0	5	2	0	1	2	2	1	4	1	1	2	0	3	2	0	2	1	0	1	0	5	0	0	0	3	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	3	1	0	0	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	1517	1168	462	332	598	497	515	105	114	122	68	90	144	65	201	136	78	53	103	99	78	95	77	51	119	67	40	51	18	6	13	63	21	13	12	9	15	10	19	14	28	8	10	8	9	6	8	14	9	8	3	6	8	5	1	4	1	7	1	8	2	2	3	2	2	3	6	2	3	1	3	3	3	0	3	1	2	2	3	2	0	0	0	0	1	1	7	1	1	0	3	3	0	0	1	0	0	0	4	1	0	0	1	0	1	3	1	0	2	0	2	0	0	1	0	0	1	0	1	0	0	0	3	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
