label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54
0.03	north1_all	80	63474	20833	17408	5705	4156	4827	2200	1333	1025	747	568	440	633	348	206	157	226	94	67	94	54	38	39	15	16	9	17	11	5	9	4	2	4	5	1	2	1	3	0	1	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0
0.03	north1_active	80	47680	12753	14221	1968	1928	3981	1201	320	436	192	175	122	513	211	68	66	189	51	27	64	35	17	30	2	9	0	3	8	1	4	0	1	0	2	1	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	62998	20841	17626	5679	4256	5018	2243	1325	1010	737	553	428	633	335	214	151	200	108	59	86	49	27	44	16	16	8	14	6	6	8	3	1	4	5	2	3	1	2	0	1	1	1	0	2	4	0	1	0	0	0	0	0	0	0	0
0.03	north2_active	80	47272	12862	14473	1957	1978	4182	1185	329	416	186	178	126	511	218	81	63	166	57	22	59	27	10	34	2	10	2	4	4	2	4	0	0	0	3	2	1	0	2	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	62774	20935	17930	5748	4229	5193	2186	1313	1034	726	542	425	670	340	214	139	193	102	73	86	50	27	37	21	20	13	9	19	8	7	3	2	0	7	1	3	1	2	0	1	1	0	0	2	4	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	46964	12921	14815	2002	1978	4331	1149	309	429	176	176	113	545	216	85	64	157	58	32	65	20	6	26	2	15	5	3	17	2	4	1	1	0	4	1	1	0	2	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	62605	21007	17770	5765	4207	5157	2242	1297	1035	750	559	411	675	318	199	144	217	118	70	96	51	33	33	20	27	14	7	16	6	7	2	3	1	6	4	3	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	46612	13061	14689	1992	1987	4280	1218	304	414	173	177	113	548	218	70	65	190	56	34	76	17	10	27	1	23	5	3	15	3	3	1	1	0	3	4	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	62360	20792	17786	5696	4119	5123	2212	1302	1076	779	546	418	654	317	194	137	256	104	90	97	60	31	35	17	31	12	7	15	4	5	4	5	3	7	3	3	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	46275	12841	14715	1993	1997	4205	1204	316	443	181	177	101	527	217	60	65	229	48	38	76	28	9	27	3	28	4	2	15	2	2	2	3	1	3	3	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	62498	20717	17827	5718	4050	5192	2268	1302	1077	769	560	401	716	283	203	158	233	114	77	92	59	43	41	18	27	13	11	13	7	4	3	5	4	6	3	3	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	46280	12848	14681	1967	1929	4298	1253	304	432	189	178	96	598	186	57	83	204	50	33	70	31	23	32	6	24	4	3	13	5	1	1	3	2	2	3	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	62689	20603	17510	5766	4106	5305	2256	1303	1098	733	567	408	692	286	209	158	228	93	81	91	61	43	37	19	29	12	10	22	9	3	4	5	6	3	4	3	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	46621	12782	14306	1984	2001	4405	1224	317	451	168	176	89	569	194	61	88	193	41	38	71	29	24	26	9	27	4	2	17	5	1	2	2	2	1	3	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	62876	20691	17730	5801	4077	5246	2203	1257	1058	728	564	418	709	283	217	161	242	83	77	87	60	53	34	21	30	15	11	28	13	4	4	3	6	1	3	2	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	46805	12798	14538	1997	1988	4376	1208	304	432	175	172	99	577	184	69	91	195	42	46	63	35	22	22	9	26	4	3	21	6	2	3	2	3	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	62793	20606	17778	5716	4195	5190	2182	1284	1048	722	587	423	658	289	198	149	304	89	86	94	52	51	39	26	29	17	10	33	14	7	6	6	5	2	3	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_active	80	46977	12784	14654	1987	2083	4270	1215	320	442	185	186	99	533	193	66	80	255	50	48	55	29	18	24	7	26	5	3	18	6	5	5	4	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	62960	20568	17525	5679	4178	5046	2058	1292	1021	727	561	446	662	319	191	145	306	107	79	84	50	51	44	21	29	16	9	19	14	8	6	7	3	3	2	3	1	0	1	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0
0.03	north10_active	80	47103	12728	14432	1976	2032	4155	1157	326	445	194	170	102	534	200	73	78	252	65	41	41	34	17	29	6	21	3	5	8	5	5	5	6	1	2	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north11_all	80	63152	21085	17724	5850	4135	5208	2168	1352	1061	735	554	398	657	280	191	172	211	109	66	89	61	45	61	16	38	13	16	14	5	13	4	4	2	1	0	3	2	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
