label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54
0.03	north1_all	80	52200	33178	8849	5687	5708	2696	3841	2236	1759	747	573	421	350	282	279	145	148	93	79	69	47	70	80	28	15	20	22	9	4	13	8	13	5	4	7	4	0	1	3	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1	0
0.03	north1_active	80	33568	27550	2249	1684	4074	1029	3233	1686	1412	226	181	160	151	103	197	38	78	41	23	38	20	54	72	16	7	14	14	3	1	11	7	12	3	3	6	3	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
0.03	north2_all	80	52392	32540	8948	5560	5596	2682	3963	2341	1772	707	543	450	351	268	289	154	142	106	82	87	50	63	74	34	16	17	30	8	7	13	16	3	5	3	7	2	0	1	2	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	north2_active	80	33581	26772	2231	1637	3994	1010	3303	1822	1430	202	168	169	156	95	207	39	79	45	30	46	19	49	64	21	7	13	23	1	3	10	14	2	3	2	6	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
0.03	north3_all	80	50334	30496	9083	5491	5348	2691	3730	2190	1687	712	529	447	348	273	276	159	152	108	85	72	45	60	85	33	16	15	28	6	9	10	16	6	4	6	7	2	1	1	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
0.03	north3_active	80	30719	24374	2340	1497	3672	937	3074	1669	1310	181	160	150	153	92	193	37	88	37	34	34	16	48	77	19	9	9	21	0	4	9	13	5	2	4	6	1	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	48302	28511	9161	5512	5096	2698	3272	2098	1606	701	529	430	324	255	259	152	148	123	80	80	49	75	78	35	14	21	29	6	6	9	18	7	1	5	2	1	2	2	3	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	27928	22111	2363	1365	3325	862	2605	1569	1202	156	145	122	132	86	163	39	81	42	27	36	16	64	69	22	8	15	20	0	3	8	16	6	0	4	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	46035	26082	9168	5566	4972	2634	2963	1843	1520	721	536	408	336	246	241	162	144	110	64	59	42	64	63	34	17	21	14	6	5	8	11	7	2	4	1	0	2	2	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north5_active	80	24854	19532	2435	1267	3073	784	2244	1277	1079	157	119	117	118	66	135	42	74	35	19	23	13	52	56	21	6	13	7	0	2	4	9	4	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	45745	26010	9094	5547	4799	2591	2909	1823	1519	745	536	397	347	231	249	161	140	100	65	54	41	70	54	23	19	22	15	13	8	10	12	4	3	1	2	1	2	3	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	24459	19457	2425	1238	2940	755	2158	1254	1073	161	122	102	128	64	134	39	75	33	21	21	14	58	45	15	6	15	7	0	0	5	9	1	0	1	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	45504	26023	9008	5597	4770	2558	2914	1878	1566	725	535	381	337	246	237	160	140	96	65	49	47	75	39	25	17	20	21	15	10	9	11	4	4	1	2	1	3	2	1	1	0	1	0	0	2	0	0	0	0	0	1	1	1	0	0
0.03	north7_active	80	24278	19509	2418	1259	2996	760	2208	1289	1125	159	128	97	112	66	127	35	79	30	20	24	16	59	31	15	5	11	10	0	2	3	9	2	0	1	2	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north8_all	80	46021	27023	8921	5545	4880	2564	3083	1920	1581	732	568	398	333	261	235	158	148	92	72	49	49	70	43	15	19	20	19	16	11	8	2	3	3	1	4	2	2	2	1	1	0	1	0	1	2	0	0	0	0	0	1	1	1	0	0
0.03	north8_active	80	25181	20516	2448	1293	3123	773	2425	1337	1152	157	144	96	116	79	129	30	86	29	18	25	16	54	33	8	9	8	9	2	3	3	1	2	0	1	3	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north9_all	80	48123	28884	8922	5720	5121	2624	3374	2074	1707	706	597	405	351	282	268	154	145	94	73	62	53	58	41	19	23	30	19	16	8	6	1	7	4	6	3	3	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0
0.03	north9_active	80	28163	22630	2377	1467	3431	882	2764	1515	1282	186	156	108	131	97	166	32	83	36	18	37	17	39	33	10	12	18	10	2	3	2	0	5	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north10_all	80	50265	31421	8963	5703	5531	2640	3761	2123	1757	687	582	400	363	284	292	148	155	88	78	62	47	56	50	23	23	27	12	16	6	8	2	6	4	9	4	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0
