label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51
0.03	north1_all	80	47450	20910	10608	6083	3703	4604	2545	1172	1205	877	859	558	299	336	157	143	177	85	95	77	47	49	39	29	21	11	16	11	6	7	5	2	4	2	2	4	0	1	0	1	1	0	5	0	1	1	0	0	0	1	0	0
0.03	north1_active	80	26498	11833	5805	3228	1885	2927	1446	523	697	475	502	299	136	196	75	62	110	29	45	43	27	26	22	19	12	4	8	4	5	3	3	0	3	2	1	2	0	1	0	0	1	0	5	0	0	1	0	0	0	0	0	0
0.03	north2_all	80	47816	21051	10568	6177	3761	4539	2490	1171	1196	865	850	588	281	315	158	136	184	81	93	61	44	64	40	25	22	9	16	10	6	6	7	5	4	3	2	3	0	1	0	1	1	0	5	0	2	1	0	0	0	1	0	0
0.03	north2_active	80	26714	12058	5777	3232	1921	2827	1439	530	701	485	496	311	134	177	74	62	115	29	51	31	24	34	29	13	12	3	6	3	5	3	4	1	3	2	1	1	0	1	0	0	1	0	5	0	0	1	0	0	0	0	0	0
0.03	north3_all	80	47920	20925	10616	6127	3672	4526	2555	1156	1267	904	896	598	274	338	155	134	175	68	102	60	38	66	55	28	22	10	15	9	6	6	8	6	2	2	2	5	0	0	0	0	0	1	0	0	3	1	0	4	0	0	0	0
0.03	north3_active	80	26689	12005	5791	3234	1868	2841	1466	520	740	508	534	337	135	189	74	62	109	32	56	35	18	37	42	13	12	5	5	2	4	4	6	2	1	1	1	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
0.03	north4_all	80	47978	21044	10455	6202	3735	4575	2530	1162	1245	854	862	576	287	336	162	131	189	67	89	69	30	65	61	24	27	17	14	9	5	8	7	4	1	3	2	4	0	0	0	0	0	1	0	0	3	6	0	4	0	0	0	0
0.03	north4_active	80	26640	12005	5675	3263	1889	2833	1458	527	710	481	490	338	142	179	73	69	128	37	50	38	12	38	47	10	11	12	5	4	3	7	6	2	0	2	2	2	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0
0.03	north5_all	80	47833	20866	10421	6060	3717	4600	2487	1191	1242	878	828	565	285	348	150	130	175	63	85	74	38	63	50	25	31	25	11	9	6	6	14	3	4	1	2	5	0	0	2	0	4	1	1	0	1	6	0	4	0	0	0	0
0.03	north5_active	80	26544	11771	5647	3218	1877	2819	1446	545	697	507	477	323	142	190	73	66	116	40	49	40	14	35	33	12	11	16	4	6	4	5	13	1	4	1	2	3	0	0	2	0	3	1	1	0	0	6	0	0	0	0	0	0
