label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74
0.03	north1_all	80	25473	22373	17189	8687	5380	2628	4171	1376	1395	905	1223	605	544	359	304	248	478	179	207	253	105	107	216	63	90	79	35	35	52	22	15	22	12	31	13	12	12	4	23	17	0	5	2	6	2	4	1	4	6	1	0	1	1	0	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	11888	13730	11143	5277	3205	1376	2673	662	760	439	740	287	317	161	153	131	306	91	103	170	53	60	138	27	63	51	15	23	32	9	4	10	5	25	9	6	7	2	3	9	0	3	1	4	1	3	1	0	6	1	0	0	1	0	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	25572	22629	17458	8916	5368	2684	4083	1384	1419	928	1221	589	564	349	297	233	458	212	204	244	99	123	176	57	87	74	31	30	37	20	21	15	13	29	18	12	21	6	25	7	2	5	0	7	2	2	2	4	6	2	0	1	3	0	1	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	11985	13799	11268	5491	3178	1378	2654	674	774	464	760	271	342	161	145	124	307	105	115	152	44	68	128	23	64	47	13	19	29	7	4	7	4	24	12	5	6	2	4	3	2	3	0	4	0	1	2	0	6	1	0	0	1	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	25760	22853	17500	9074	5388	2675	4083	1363	1424	914	1270	575	592	342	312	239	447	234	212	225	108	128	164	42	107	83	35	38	47	18	16	10	16	34	18	12	24	6	32	5	2	4	0	4	4	2	3	1	6	2	0	1	2	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	12027	13975	11360	5711	3255	1378	2649	691	774	460	763	268	335	160	153	118	303	122	119	129	56	75	118	16	73	58	14	23	40	7	3	4	5	24	11	6	7	1	7	2	2	3	0	2	1	1	2	0	6	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	25670	22875	17219	9063	5421	2693	3989	1377	1427	929	1265	568	536	360	331	235	433	245	206	232	107	116	156	46	105	81	26	35	46	19	19	8	15	29	21	10	33	6	12	8	3	2	1	2	4	1	4	0	8	3	0	1	2	0	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	12024	14000	11035	5800	3278	1363	2586	682	759	477	752	285	288	177	154	112	284	122	112	140	48	64	111	20	63	58	14	18	36	8	5	4	5	20	12	4	13	0	5	6	2	2	1	1	1	0	3	0	8	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	25743	23125	17251	9105	5358	2710	3975	1374	1432	903	1278	582	536	378	361	240	480	234	226	252	114	96	169	47	108	114	25	39	43	25	18	10	16	20	21	8	27	8	9	9	3	5	1	1	2	1	3	0	2	1	7	0	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	12175	14220	10966	5841	3332	1375	2540	675	758	450	749	291	257	188	184	113	324	122	114	146	52	50	115	21	69	91	14	16	28	9	8	5	6	10	11	5	13	4	4	6	1	4	1	0	1	0	2	0	2	1	7	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
