label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75
0.03	north1_all	80	41747	25071	10772	5007	7590	2775	2132	2138	1197	1007	759	617	698	536	307	311	431	193	250	145	230	184	96	81	78	56	45	49	38	49	30	12	16	26	15	13	17	14	3	3	5	9	4	5	5	0	1	3	1	2	4	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	28884	20560	7171	1463	6422	1130	994	1510	339	480	180	136	419	318	66	135	345	48	192	90	185	130	32	18	53	33	18	33	8	39	17	8	4	22	3	6	5	0	1	1	1	0	4	4	0	0	0	2	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	42553	25612	11051	5048	7718	2735	2193	2188	1250	1077	748	630	702	551	298	326	425	197	238	150	234	177	102	84	77	51	60	55	40	61	28	15	12	21	21	9	17	14	5	2	5	8	5	5	0	9	1	4	1	1	8	2	0	1	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	29442	21154	7423	1502	6557	1154	1026	1523	359	528	168	142	439	344	70	155	340	54	191	94	188	123	33	20	52	31	24	44	8	50	15	9	1	17	6	4	5	2	5	0	2	0	5	5	0	7	0	2	0	0	6	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	43729	26605	11342	5130	8016	2714	2219	2303	1255	1120	744	627	736	541	283	348	490	201	268	176	247	159	91	79	73	59	66	58	39	57	20	20	13	16	23	10	16	14	8	2	7	5	7	2	1	11	1	7	4	1	11	3	0	0	2	1	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	30939	22286	7922	1658	6898	1205	1100	1662	371	555	188	139	490	343	64	185	405	49	223	113	194	106	28	19	46	42	29	47	10	49	8	14	1	14	9	8	4	2	5	0	2	0	6	2	0	9	0	5	4	0	10	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	45592	27684	11676	5100	8311	2792	2301	2398	1259	1159	741	625	684	558	295	349	542	198	339	202	256	151	81	79	87	69	75	57	37	56	23	25	9	33	20	12	18	11	8	3	8	2	5	2	1	12	3	7	4	0	8	2	0	0	2	2	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	33109	23460	8409	1746	7214	1280	1251	1758	390	561	190	147	481	361	72	188	454	49	291	135	196	112	17	21	66	53	39	45	13	51	10	16	2	29	9	9	10	2	4	1	3	0	4	2	0	10	2	4	4	0	8	0	0	0	1	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	47147	28662	11876	5073	8751	2779	2349	2493	1242	1141	771	622	678	574	309	367	592	203	346	207	302	152	73	75	86	79	60	58	36	58	26	29	7	37	16	15	15	10	7	13	8	4	7	4	3	8	3	4	5	1	4	1	0	0	1	1	14	0	1	0	0	0	0	1	0	0	0	0	10	0	0	0	1	0	0	0
0.03	north5_active	80	34824	24545	8669	1811	7635	1277	1331	1878	394	575	219	143	476	377	69	204	503	46	292	148	232	119	21	20	59	64	36	45	12	50	15	18	2	31	8	11	6	1	2	11	4	1	6	3	1	7	2	3	5	1	4	0	0	0	0	1	13	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
0.03	north6_all	80	47209	28551	11845	5065	8764	2785	2426	2560	1245	1109	774	619	651	599	334	323	593	201	339	207	304	136	80	71	85	84	57	56	37	44	35	23	11	41	6	9	16	8	7	28	6	3	8	6	4	1	2	2	5	2	5	1	0	0	0	1	14	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0
0.03	north6_active	80	35035	24379	8668	1767	7652	1265	1376	1953	401	559	206	148	466	384	70	164	512	47	273	145	238	109	17	17	60	64	39	40	13	36	24	14	4	36	3	6	8	2	2	26	4	1	7	5	1	1	2	1	5	1	5	0	0	0	0	1	13	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
0.03	north7_all	80	47210	28962	12144	5141	8998	2885	2481	2589	1211	1072	764	619	691	620	333	280	612	198	308	196	271	140	89	65	86	99	56	53	30	46	35	23	9	47	4	15	12	7	5	31	6	3	5	8	4	3	2	1	1	2	3	1	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0
0.03	north7_active	80	35245	24664	8956	1781	7864	1318	1358	1996	377	557	216	142	472	424	69	144	531	43	240	137	229	106	22	18	64	81	34	36	8	39	25	16	2	43	2	13	5	2	2	26	4	1	5	7	1	2	2	0	1	1	3	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
0.03	north8_all	80	47075	28951	12101	5154	8929	2931	2473	2548	1212	1078	719	615	712	634	327	275	614	203	325	193	211	121	97	55	91	99	58	56	24	40	30	31	15	34	5	24	7	7	4	29	6	4	5	5	2	3	1	1	2	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	north8_active	80	35127	24677	8933	1776	7790	1366	1339	1933	379	544	219	136	482	437	75	135	540	41	256	129	171	86	24	16	70	79	34	37	7	34	21	23	3	28	3	22	3	2	2	23	3	0	5	5	0	2	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
