label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78
0.03	north1_all	80	24144	16564	6359	7704	5371	5474	4962	2107	984	788	1462	547	437	659	554	426	189	235	146	130	218	136	62	98	44	44	41	29	26	45	17	21	31	23	14	14	8	14	4	10	2	2	3	5	5	1	3	2	0	0	0	0	3	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north1_active	80	11061	9505	2977	4479	3297	3455	3100	1245	459	336	901	262	208	389	326	246	80	126	75	69	140	85	27	68	18	24	16	13	12	32	7	11	13	13	6	9	5	6	2	7	1	0	2	1	4	1	2	1	0	0	0	0	3	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north2_all	80	24289	16683	6331	7589	5237	5436	5033	2198	1042	775	1453	552	464	660	538	444	191	237	149	119	163	148	72	87	43	42	37	28	28	40	19	21	29	20	13	10	15	11	5	7	3	3	4	4	1	1	3	3	0	0	0	0	7	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north2_active	80	11098	9556	2956	4497	3214	3444	3212	1286	501	332	893	265	218	407	324	253	84	145	75	58	104	97	29	52	12	21	14	11	11	27	5	11	15	12	6	6	12	7	2	4	2	1	2	0	0	1	2	3	0	0	0	0	6	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north3_all	80	24218	16707	6408	7549	5181	5632	5161	2217	1040	784	1447	523	464	667	527	412	179	262	139	114	202	138	71	86	43	33	33	27	31	35	18	34	22	16	16	12	19	6	4	7	2	4	4	3	1	5	3	3	0	0	0	0	7	1	3	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north3_active	80	11023	9523	3047	4530	3173	3525	3334	1264	517	342	913	253	220	424	299	243	73	156	71	49	146	82	28	45	19	14	16	9	15	20	4	14	12	9	9	9	14	4	2	4	2	3	2	0	0	4	2	3	0	0	0	0	6	1	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0.03	north4_all	80	24202	16694	6571	7569	5225	5390	5206	2271	1046	747	1514	502	483	659	478	402	177	261	147	118	244	133	71	91	52	29	40	27	31	21	20	39	38	18	15	12	21	7	6	2	3	4	4	3	2	5	3	7	0	0	0	1	8	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	11059	9529	3157	4565	3179	3358	3367	1335	526	323	932	239	217	436	256	251	77	151	66	48	171	72	26	48	19	10	24	11	16	8	6	16	15	10	8	9	13	5	2	0	2	4	1	0	1	4	2	7	0	0	0	1	6	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	24202	16764	6633	7535	5198	5627	5245	2177	1008	766	1549	499	464	621	466	407	185	261	136	131	280	127	69	88	56	37	41	28	29	18	22	43	49	15	16	13	22	7	7	3	3	4	3	4	10	21	2	6	1	0	0	1	3	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	11060	9664	3157	4581	3119	3549	3351	1277	511	335	974	248	216	378	256	264	75	153	55	49	198	66	23	49	27	17	23	13	13	4	7	22	24	9	7	6	12	3	3	0	2	4	1	1	9	20	1	6	1	0	0	1	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	24117	16781	6668	7493	5382	5535	4982	2134	1020	800	1506	531	454	624	461	383	192	226	145	140	315	128	64	82	47	41	50	28	28	18	24	40	53	15	14	11	17	6	7	4	3	4	3	4	20	32	0	5	3	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	11107	9579	3129	4557	3231	3406	3227	1277	518	346	932	263	211	369	261	244	74	132	61	69	219	69	24	51	20	18	28	15	13	8	5	20	26	10	6	4	7	2	3	1	2	4	0	1	15	32	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	24208	16911	6600	7453	5526	5649	5046	2090	1070	815	1494	557	429	615	450	397	193	225	138	135	299	132	63	104	39	40	44	36	27	26	25	29	38	17	8	10	13	7	6	3	1	3	1	5	19	28	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north7_active	80	11130	9647	3105	4497	3394	3560	3256	1268	527	358	922	286	207	357	265	248	77	130	60	67	190	78	24	60	14	17	20	20	10	11	6	17	26	14	1	3	6	2	2	1	1	3	0	3	15	28	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north8_all	80	24128	16905	6526	7341	5506	5463	5095	2088	1071	817	1392	581	443	609	467	418	189	228	139	136	305	132	71	102	35	31	43	30	28	27	22	25	24	14	4	15	14	7	3	2	3	2	3	5	12	16	2	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north8_active	80	11065	9664	3059	4363	3309	3454	3249	1257	553	359	839	290	226	369	292	256	77	123	64	71	189	81	29	52	9	12	20	15	11	15	5	12	15	10	1	6	5	3	0	2	2	2	1	2	7	14	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north9_all	80	24123	16851	6459	7419	5483	5303	5368	2149	1087	802	1365	567	428	597	502	430	197	227	132	147	307	133	66	99	32	29	33	28	27	29	19	30	23	17	6	10	12	10	4	4	2	2	2	4	2	5	2	0	3	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
