label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74
0.03	north1_all	80	50099	17095	7406	9593	5909	2684	4157	1594	1210	1098	1267	1188	617	404	428	575	259	210	216	168	102	121	70	83	46	51	48	30	34	34	19	14	20	15	14	11	6	13	6	1	5	18	2	3	4	5	1	2	1	0	1	5	3	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	38722	10907	2190	7782	4429	846	3524	311	290	565	985	971	368	94	259	485	145	43	130	84	42	75	23	40	13	11	29	8	19	22	13	9	14	4	7	4	2	10	2	1	0	17	0	2	1	1	0	0	0	0	0	4	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	50054	17198	7522	9741	5946	2658	4085	1567	1232	1089	1309	1257	663	369	389	567	286	195	204	166	114	143	67	79	42	50	52	31	23	38	23	20	25	11	18	12	5	11	9	25	4	13	2	5	4	6	0	3	0	0	1	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	38618	11089	2282	7880	4505	833	3419	302	304	555	995	1047	387	89	224	452	162	42	118	84	36	87	16	41	10	8	35	9	14	21	14	15	19	2	7	4	3	9	4	25	0	11	1	3	2	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	49153	16843	7499	9671	5699	2554	3795	1545	1206	1082	1388	1191	653	356	389	555	296	188	191	170	104	152	81	85	46	51	51	31	21	29	32	14	26	8	24	14	5	8	9	25	4	6	1	3	4	5	0	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	37508	10642	2207	7737	4231	801	3096	300	293	543	1064	989	374	84	223	444	174	43	101	81	32	99	24	49	9	10	36	7	11	12	21	10	17	1	13	5	3	7	3	25	0	5	1	2	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	47469	16284	7612	9263	5477	2547	3666	1528	1221	1056	1357	1198	636	379	408	541	279	175	183	173	114	136	79	89	50	47	50	32	26	24	32	13	23	8	19	13	7	5	6	30	3	7	4	4	3	5	0	3	0	1	1	2	1	0	0	0	0	1	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	1	0
0.03	north4_active	80	35282	9960	2076	7277	3938	747	2881	339	272	509	1009	1006	356	89	231	422	158	44	79	76	34	85	24	54	10	15	37	8	14	12	21	9	15	2	9	2	3	5	3	30	0	5	2	3	3	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	47546	16432	7673	8998	5361	2560	3661	1505	1203	1034	1401	1217	614	400	434	545	283	202	188	171	108	132	80	85	61	46	45	27	35	33	34	3	24	10	18	14	7	2	4	31	5	3	5	5	3	5	0	3	0	2	0	2	1	0	0	0	2	0	0	0	0	1	0	0	15	1	1	0	0	0	0	1	1	1	0
0.03	north5_active	80	35307	9982	2008	7056	3777	744	2903	334	271	486	1071	998	343	94	238	440	151	43	90	80	28	73	35	50	14	13	31	8	23	15	24	1	13	3	8	2	2	2	1	28	1	2	2	4	3	1	0	2	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	1	1	0	0
