label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63
0.03	south30_active	80	10356	4939	1876	1409	527	745	288	992	201	113	349	153	104	13	133	39	45	128	34	23	16	5	58	46	8	8	13	5	13	6	4	0	0	9	2	1	0	2	3	1	1	0	1	0	0	1	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	3	0	0
0.03	south31_all	80	13553	6425	2878	1968	1163	938	630	1016	339	267	430	191	162	111	208	74	59	117	56	35	28	26	65	47	16	16	7	4	12	10	1	4	1	12	1	1	4	0	3	0	2	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1
0.03	south31_active	80	9808	4851	1822	1366	585	631	327	871	160	100	321	143	101	35	170	40	38	99	26	23	14	2	54	41	5	6	5	2	6	6	0	4	1	11	1	0	2	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	13222	6190	2838	1969	1134	941	614	1004	353	265	368	206	168	117	204	57	50	119	47	37	30	22	39	63	13	14	5	11	12	11	2	5	1	9	1	0	2	0	5	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
0.03	south32_active	80	9363	4578	1743	1350	566	624	316	868	166	104	259	147	104	35	162	28	32	99	20	22	15	4	32	58	5	6	2	6	10	8	1	4	1	9	1	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	13149	6134	2827	1988	1134	1001	638	1045	372	272	374	241	152	125	200	57	63	92	48	46	38	17	59	71	16	11	11	15	10	7	6	9	1	10	1	0	2	0	2	2	0	3	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	2	0	0	0	0	0
0.03	south33_active	80	9374	4543	1755	1350	546	683	314	903	175	114	280	172	97	36	159	25	37	73	24	23	16	3	53	68	8	5	8	7	7	5	5	7	1	10	1	0	1	0	2	1	0	3	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0
0.03	south34_all	80	13091	6087	2826	2015	1124	1040	599	1128	385	288	365	269	159	128	198	60	58	100	56	36	33	18	77	57	18	14	15	13	12	4	7	8	1	5	0	0	3	1	3	2	1	3	0	0	5	0	0	0	0	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0
0.03	south34_active	80	9427	4571	1776	1366	533	706	302	987	186	127	277	186	104	29	156	26	29	82	30	16	15	4	70	53	11	10	12	6	10	3	6	6	1	4	0	0	2	1	2	1	1	3	0	0	5	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0
0.03	south35_all	80	13646	6423	2824	2113	1126	1051	581	1142	381	275	406	272	170	111	194	70	65	127	49	35	33	21	80	60	19	14	23	10	15	4	13	6	1	9	1	0	3	1	5	2	2	4	0	1	5	1	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0
0.03	south35_active	80	10112	4970	1852	1464	554	721	294	1020	204	129	335	195	110	24	158	38	34	111	26	14	14	7	73	54	12	10	21	4	13	3	12	4	1	7	1	0	2	1	4	1	1	3	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0
0.03	south36_all	80	13779	6433	2806	2123	1122	1058	620	1141	347	267	427	270	191	109	187	73	53	146	45	29	32	22	78	35	14	17	17	9	16	5	11	4	2	11	1	3	1	1	3	1	3	3	1	1	5	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
0.03	south36_active	80	10210	4976	1862	1464	565	729	301	1025	191	117	358	180	125	26	150	38	33	128	23	11	19	5	72	28	9	11	15	6	13	3	10	1	1	9	1	3	1	1	2	0	1	2	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south37_all	80	13799	6478	2804	2104	1142	1047	633	1152	340	253	435	253	197	111	175	83	58	152	45	26	31	31	54	43	15	18	27	8	18	9	12	4	3	12	3	4	1	2	3	0	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south37_active	80	10253	5035	1874	1458	598	704	308	1037	192	96	367	174	134	25	140	43	35	137	25	13	16	5	47	35	11	11	24	6	12	5	11	0	1	10	1	3	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south38_all	80	13811	6401	2958	2030	1153	1062	641	1192	370	259	392	246	190	110	192	73	54	125	52	35	27	25	57	67	12	20	20	8	9	8	6	6	6	6	4	7	2	2	3	1	2	1	2	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south38_active	80	10246	4977	1958	1418	585	724	309	1063	199	102	326	174	126	28	160	39	29	111	28	18	15	3	53	62	10	13	17	6	4	4	5	1	2	6	1	4	1	2	3	1	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south39_all	80	13644	6437	2998	2012	1173	1054	657	1162	392	258	385	239	166	119	189	71	65	128	51	41	28	26	56	68	13	20	24	8	9	11	4	5	4	6	4	6	3	3	3	2	1	0	3	3	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	10109	5006	1930	1423	606	712	319	1015	191	100	318	170	117	30	153	37	36	112	32	21	14	4	50	64	10	12	18	5	3	7	2	1	1	5	1	3	1	3	3	1	0	0	2	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	13654	6410	2996	2012	1115	1040	643	1119	408	262	399	241	157	109	193	76	64	110	52	47	27	24	47	53	14	16	17	5	7	9	3	7	5	9	3	5	3	3	4	2	0	0	3	3	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	10083	4960	1901	1429	554	695	332	981	191	104	328	174	106	28	152	44	31	96	31	21	10	2	42	49	10	10	12	2	5	7	1	1	1	8	2	3	1	3	4	1	0	0	2	1	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
