label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35
0.03	north1_all	80	173	73	124	43	23	15	21	20	11	2	5	5	8	5	5	1	3	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north1_active	80	78	36	84	30	12	9	16	11	8	1	4	3	7	1	5	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	181	80	116	33	25	10	19	26	13	4	4	1	12	5	5	1	4	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north2_active	80	85	38	87	22	15	7	12	12	7	4	2	0	9	2	4	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	188	72	109	28	22	9	15	30	14	3	5	2	11	6	5	1	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north3_active	80	83	34	79	20	15	7	9	15	8	3	2	2	8	2	4	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	184	77	102	30	23	10	12	25	13	6	4	2	13	5	1	2	3	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3
0.03	north4_active	80	81	39	57	14	17	7	7	12	6	4	1	2	10	2	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	170	75	114	39	23	12	14	18	11	6	3	3	10	4	5	3	2	1	1	1	2	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	76	43	68	21	16	5	10	9	8	2	1	2	10	1	3	0	2	1	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	158	75	104	37	17	15	15	12	15	7	4	2	9	4	5	4	1	1	0	2	2	1	1	0	0	2	0	0	1	0	0	1	0	0	0	0
0.03	north6_active	80	80	42	59	20	12	7	8	10	13	3	1	1	8	1	3	0	1	1	0	0	1	1	1	0	0	2	0	0	1	0	0	1	0	0	0	0
0.03	north7_all	80	156	66	111	35	21	16	11	17	14	7	5	4	6	1	7	4	6	2	1	2	3	0	1	1	0	2	0	0	1	0	0	1	0	0	0	0
0.03	north7_active	80	89	35	70	21	14	6	5	14	12	3	2	2	5	0	5	0	3	2	1	0	2	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0
0.03	north8_all	80	164	70	106	35	17	16	8	19	16	8	8	6	6	0	6	1	8	1	1	1	2	0	1	1	0	2	0	0	1	0	0	1	0	0	0	0
0.03	north8_active	80	93	32	72	25	10	7	1	14	14	4	3	4	5	0	4	0	5	1	1	0	1	0	1	0	0	2	0	0	1	0	0	1	0	0	0	0
0.03	north9_all	80	166	77	101	30	19	19	9	19	15	8	10	5	7	0	5	0	9	1	2	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north9_active	80	92	35	59	22	10	7	1	15	13	5	3	3	6	0	5	0	5	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north10_all	80	171	70	95	29	16	18	10	20	19	9	7	5	3	0	4	1	7	1	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	84	34	55	20	9	8	2	15	18	6	1	3	2	0	4	1	6	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	172	66	107	47	21	9	11	14	15	4	14	3	6	1	5	0	3	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north11_active	80	83	33	76	22	14	3	6	10	9	2	4	1	2	0	4	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north12_all	80	154	68	109	44	22	9	9	14	19	4	14	3	4	2	5	1	4	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north12_active	80	79	32	74	20	11	4	5	11	11	2	12	3	2	1	4	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north13_all	80	144	65	125	38	21	15	11	12	16	4	11	4	14	2	6	1	4	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north13_active	80	76	33	90	19	11	6	6	9	9	2	9	3	12	1	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	149	69	124	35	20	13	11	18	14	1	18	5	13	3	3	1	1	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north14_active	80	80	35	82	18	10	6	8	13	7	0	15	4	12	2	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north15_all	80	139	79	140	34	16	14	10	19	13	5	19	3	12	3	2	1	2	3	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north15_active	80	72	42	95	22	9	6	7	12	5	3	12	2	11	2	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
