label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55
0.03	north1_all	80	34172	14190	17099	4811	3964	4315	3052	2584	874	666	546	441	296	303	208	380	102	98	187	65	52	94	26	16	14	10	8	8	3	3	4	5	2	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
0.03	north1_active	80	10851	4566	14498	1031	2470	3524	2476	2191	275	290	216	256	136	210	109	346	33	28	172	38	25	86	17	6	2	4	3	4	2	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	34047	14146	16852	4837	4072	4283	3008	2706	874	681	528	448	310	313	216	387	87	85	153	65	53	111	27	21	12	9	14	10	4	3	3	5	3	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
0.03	north2_active	80	10780	4606	14268	1068	2490	3500	2414	2286	282	271	210	287	139	207	121	350	31	25	140	42	27	103	18	6	3	5	5	5	2	1	0	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_all	80	33893	14002	16911	4886	4129	4143	2975	2645	851	701	527	464	328	305	243	326	93	79	173	58	53	98	34	18	11	13	15	11	5	5	3	0	6	3	0	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0
0.03	north3_active	80	10824	4553	14345	1083	2467	3363	2405	2255	263	267	212	286	152	189	139	289	31	24	158	34	29	87	23	5	3	9	3	6	2	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_all	80	33836	14239	17113	4845	4195	4148	2950	2661	861	672	519	450	318	297	236	355	95	82	160	63	47	95	41	17	10	10	14	9	3	8	2	0	7	3	0	3	0	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	10924	4628	14516	1047	2527	3323	2359	2276	279	251	194	273	163	187	128	312	29	22	141	31	27	86	33	3	2	7	3	3	0	4	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	33765	14178	17028	4797	4160	4101	2964	2780	889	651	546	465	332	263	220	426	97	72	163	62	49	101	42	22	13	14	16	9	7	9	2	2	6	4	0	1	0	3	3	1	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
0.03	north5_active	80	10892	4605	14468	1056	2517	3278	2350	2408	278	266	207	261	176	170	116	380	27	14	139	33	33	91	32	5	2	9	6	3	4	5	0	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north6_all	80	33802	14400	16988	4741	4241	4069	2916	2671	868	652	535	456	296	283	232	407	93	74	160	67	55	123	38	19	17	12	15	6	9	9	1	2	5	4	0	2	0	3	3	1	2	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0
0.03	north6_active	80	10957	4630	14317	1023	2641	3286	2318	2303	259	279	205	252	156	199	118	363	22	18	138	36	39	117	28	5	2	3	5	2	6	3	0	2	1	1	0	2	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north7_all	80	33996	14110	16696	4803	4284	4156	3005	2539	881	655	502	450	292	307	238	389	92	78	173	63	58	136	45	16	16	17	13	5	10	12	2	4	2	3	0	1	0	3	2	1	2	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0
0.03	north7_active	80	10881	4491	14014	1075	2683	3368	2424	2180	259	277	201	250	147	218	122	348	23	17	149	43	42	127	36	3	1	5	4	2	8	5	0	4	1	1	0	1	0	2	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0
0.03	north8_all	80	34062	14125	17066	4826	4252	4228	2993	2414	867	683	497	455	286	337	238	383	85	76	194	62	70	150	36	12	20	23	11	10	11	11	3	5	3	2	0	2	0	2	1	2	2	1	0	0	0	0	0	33	0	0	1	0	0	0	0	0
0.03	north8_active	80	10816	4451	14326	1074	2661	3469	2404	2046	260	290	196	262	155	235	141	351	21	22	176	41	47	138	26	5	2	11	1	7	6	3	0	4	1	1	0	2	0	1	0	2	0	1	0	0	0	0	0	33	0	0	0	0	0	0	0	0
0.03	north9_all	80	34118	14027	16933	4863	4125	4494	2982	2512	890	718	474	461	257	320	222	401	103	79	180	60	61	145	35	13	17	25	7	9	8	14	3	3	3	2	0	5	0	1	1	3	0	0	0	0	0	0	0	30	1	0	1	0	0	0	0	0
0.03	north9_active	80	10777	4537	14260	1094	2514	3709	2349	2143	283	299	176	278	143	219	132	372	32	23	162	36	36	131	23	3	2	14	0	6	3	6	0	2	0	1	0	5	0	0	1	2	0	0	0	0	0	0	0	30	1	0	0	0	0	0	0	0
0.03	north10_all	80	34103	14129	17069	4865	4145	4382	3011	2525	882	697	498	463	290	310	200	435	113	71	184	67	65	120	24	20	19	22	8	11	6	11	5	8	2	1	1	5	1	0	1	2	1	0	0	0	0	0	0	30	1	0	0	0	0	0	0	0
0.03	north10_active	80	10803	4599	14428	1057	2535	3620	2380	2150	286	285	178	279	170	204	111	395	37	17	160	43	35	106	8	4	2	14	1	7	1	4	0	6	0	1	1	5	0	0	1	1	1	0	0	0	0	0	0	30	1	0	0	0	0	0	0	0
0.03	north11_all	80	34267	14235	17007	4919	4088	4464	3057	2718	810	688	484	510	311	302	196	386	109	81	167	61	49	51	26	8	10	28	14	15	8	3	4	7	3	3	1	1	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
