label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50
0.03	north13_active	80	39420	5661	4040	3530	1249	922	1991	1228	1004	464	604	280	342	216	133	122	124	24	66	61	67	15	56	10	14	6	5	2	2	8	1	6	1	2	0	1	1	0	3	0	1	0	0	0	0	0	0	3	1	2	0
0.03	north14_all	80	63080	12487	7840	6176	2739	1965	3120	2087	1609	815	901	445	584	331	209	199	178	58	109	87	96	30	99	20	20	13	10	5	7	9	1	4	1	3	4	5	1	0	1	0	2	0	0	0	0	0	0	3	1	2	0
0.03	north14_active	80	39487	5657	3963	3550	1257	917	2003	1243	960	457	545	267	366	186	118	128	107	29	57	58	69	12	56	13	15	8	3	2	3	7	0	2	0	3	2	2	0	0	1	0	1	0	0	0	0	0	0	3	0	2	0
0.03	north15_all	80	62973	12511	7692	6235	2711	1965	3034	1956	1638	800	946	473	580	317	195	220	168	57	119	90	91	34	106	17	19	11	10	7	7	3	1	3	2	3	4	3	2	0	1	0	2	0	0	1	0	0	0	0	1	2	0
0.03	north15_active	80	39431	5679	3816	3597	1214	886	1991	1176	994	448	543	295	354	180	104	139	107	29	75	53	58	15	65	9	13	9	5	4	3	1	0	2	1	3	2	1	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0
0.03	north16_all	80	62960	12495	7702	6310	2795	1993	3091	1951	1602	792	901	496	543	323	201	243	161	65	96	99	88	27	77	18	13	15	13	12	10	3	4	2	4	4	3	3	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0
0.03	north16_active	80	39239	5774	3874	3630	1263	891	1972	1183	994	453	543	292	351	191	112	154	103	34	56	63	53	16	50	11	8	10	8	5	4	1	2	1	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north17_all	80	62909	12414	7764	6278	2770	1986	3097	1988	1639	805	1018	520	616	335	195	235	160	72	94	93	82	28	54	18	14	15	11	10	5	4	5	2	3	1	0	2	3	1	0	0	1	0	0	1	0	1	0	0	0	0	0
0.03	north17_active	80	39056	5728	3905	3587	1241	871	1936	1218	1053	455	631	298	406	192	109	149	100	32	65	57	47	16	43	12	8	10	8	6	2	2	3	1	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	63385	12455	7912	6306	2774	2028	3208	2153	1626	828	1030	527	564	320	183	224	148	73	101	87	97	26	24	14	14	23	13	10	7	3	6	6	2	1	1	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0
