label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61
0.03	north1_all	80	35906	16192	9408	8997	3953	8115	2415	1676	1927	1325	719	562	1067	737	557	398	190	153	162	117	78	44	90	52	30	44	62	39	15	14	27	17	6	16	9	3	8	1	3	2	4	6	0	7	0	1	4	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	6927	5421	3842	6428	1008	7269	1199	703	1369	923	250	145	900	594	467	275	37	27	78	61	25	9	63	30	7	35	56	31	6	4	23	5	1	13	6	0	5	0	0	1	1	2	0	7	0	1	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	36013	16010	9395	8852	3987	8488	2416	1681	1789	1360	733	588	1041	730	579	378	199	140	148	125	86	44	91	52	30	57	58	36	20	12	22	14	3	17	6	2	7	1	1	5	4	3	0	9	0	1	4	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	6918	5329	3786	6302	1004	7599	1227	698	1248	969	264	154	861	605	484	264	37	24	69	63	26	8	70	29	10	46	52	26	10	2	18	3	1	15	3	0	5	0	1	4	1	0	0	9	0	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	35864	16010	9476	8846	3984	8255	2390	1715	1771	1369	755	564	955	714	606	391	197	145	136	123	86	44	76	58	27	56	58	38	14	13	19	15	3	16	6	6	4	4	1	7	3	2	1	8	0	0	4	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	6893	5415	3873	6289	1020	7367	1200	719	1231	951	266	143	788	581	514	270	45	29	67	61	20	6	60	19	10	47	53	24	8	2	14	4	1	13	3	1	0	1	1	4	1	1	0	8	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	35779	15796	9663	8988	3962	8040	2373	1718	1828	1369	726	536	891	780	636	356	198	150	146	127	97	53	74	62	33	67	59	25	20	13	14	10	5	12	2	8	5	4	4	7	1	2	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	6885	5340	3989	6417	967	7177	1170	747	1301	945	246	134	738	656	530	241	48	39	85	62	29	7	61	21	11	54	54	15	11	1	12	5	3	10	0	1	2	1	1	4	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	35828	15732	9690	8876	3890	7952	2334	1697	1869	1398	736	513	902	785	605	362	177	152	141	131	101	58	71	62	33	85	78	21	17	13	23	9	6	11	27	8	6	4	3	5	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	6991	5405	4050	6381	969	7083	1171	727	1336	953	245	130	754	646	496	244	44	39	85	65	32	8	55	25	9	72	74	11	9	3	21	4	3	9	24	1	4	1	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	35813	15697	9738	8889	3802	7827	2383	1719	1888	1348	717	532	878	827	600	335	165	156	153	128	106	67	64	55	37	81	91	28	17	19	37	5	5	11	27	6	6	4	4	13	0	2	3	19	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	6894	5323	4056	6392	944	7008	1177	769	1341	913	239	146	745	674	487	218	31	43	93	59	34	7	48	26	7	66	87	20	10	8	33	4	3	9	24	1	5	1	0	12	0	1	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	35797	15820	9550	8949	3870	7701	2387	1678	1800	1388	722	569	877	789	553	318	171	146	171	124	95	75	74	52	37	79	87	31	18	17	48	4	3	7	28	2	4	2	5	18	1	2	3	21	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	6889	5304	3955	6455	1009	6857	1164	737	1291	961	267	159	725	658	436	204	36	44	98	70	32	11	56	25	7	66	82	22	11	8	45	2	2	5	25	1	4	1	4	18	1	1	0	19	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	35741	15809	9469	9010	3906	7616	2482	1684	1729	1420	715	568	896	743	563	351	194	164	165	102	85	73	77	41	35	67	99	41	16	14	55	8	3	6	9	6	5	2	6	17	1	3	2	21	2	1	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0
