label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64
0.03	north1_all	80	37393	15688	9699	6594	7401	2481	1876	2443	1056	987	1422	509	546	305	544	223	191	245	245	146	92	98	71	33	67	69	22	22	42	12	18	22	8	21	7	3	11	12	5	4	14	4	1	4	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	19064	7926	4991	3555	4618	1120	910	1450	469	505	868	236	296	134	363	104	105	156	140	76	47	49	37	17	45	33	10	7	14	4	10	10	3	17	3	2	7	8	0	3	5	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	37608	15769	9769	6619	7452	2411	1857	2441	1029	986	1399	525	521	290	565	235	189	226	251	151	91	113	76	34	64	60	34	20	35	22	15	15	9	26	7	6	12	11	2	4	7	4	0	2	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	19200	7947	5069	3552	4652	1058	899	1469	440	487	892	234	277	123	393	113	101	142	157	81	42	59	39	19	42	26	18	7	14	12	11	7	5	16	3	4	7	9	0	3	5	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	37825	15890	9810	6733	7549	2419	1827	2559	1042	925	1565	510	553	304	593	214	186	228	218	144	85	106	71	37	54	86	49	17	33	25	15	9	4	31	4	7	8	5	3	3	14	2	0	1	6	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	19354	7979	5115	3634	4757	1096	873	1560	446	447	1065	241	317	140	412	98	105	136	139	77	38	62	41	19	35	36	30	6	14	17	10	5	3	16	2	6	3	3	2	0	12	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	37647	15936	9818	6568	7585	2410	1851	2566	1035	865	1612	486	533	299	601	204	184	201	203	136	94	108	73	44	56	58	52	16	32	25	16	14	5	19	4	7	5	8	4	4	9	1	0	1	6	2	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	19226	7968	5157	3572	4785	1102	890	1520	456	421	1121	227	307	153	407	88	96	128	133	72	43	75	38	24	37	24	32	6	13	18	13	11	3	7	2	4	1	6	2	2	9	0	0	0	2	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	37591	16006	9903	6523	7752	2452	1843	2625	1055	872	1585	513	536	318	551	213	176	220	195	122	102	103	72	47	65	82	49	17	48	20	13	15	4	9	4	6	7	7	7	4	9	2	0	1	2	2	5	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	19302	8007	5214	3546	4925	1152	908	1537	475	410	1032	244	299	158	359	89	91	133	125	61	50	71	35	28	39	42	32	6	29	12	10	11	1	4	3	2	5	5	4	2	9	0	0	0	0	2	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	37725	15831	9914	6444	7894	2430	1895	2601	1026	914	1423	522	564	316	590	215	167	242	206	125	96	77	68	50	66	64	40	17	48	9	11	20	7	7	3	7	6	9	8	2	10	3	1	1	3	0	4	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north6_active	80	19383	7906	5205	3468	4929	1110	942	1482	467	456	867	247	320	157	360	96	79	160	136	60	49	54	36	33	43	43	22	6	29	4	9	17	4	6	3	2	5	5	2	2	10	1	0	0	1	0	3	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_all	80	37885	15997	9863	6418	7825	2433	1917	2674	1036	951	1401	526	572	306	589	189	199	249	241	110	84	70	72	42	75	62	31	20	58	15	13	10	10	5	7	7	6	8	10	1	1	3	1	0	2	0	3	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north7_active	80	19474	7999	5091	3359	4940	1105	938	1544	470	488	828	239	317	128	361	87	106	157	169	49	40	41	36	23	52	42	10	6	35	8	10	9	5	5	6	3	6	4	5	0	1	1	0	0	1	0	3	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_all	80	37986	15919	9802	6432	7755	2403	1900	2630	1053	999	1390	501	563	301	610	179	217	268	283	113	85	93	75	38	76	77	31	17	39	16	9	14	13	10	7	6	7	5	6	1	1	3	1	0	2	0	0	3	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north8_active	80	19358	7926	5063	3418	4877	1111	917	1604	486	522	839	227	318	122	395	83	110	160	217	44	37	66	46	22	54	51	10	7	17	9	6	12	8	9	6	4	7	1	3	0	1	1	0	0	1	0	0	3	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
0.03	north9_all	80	37925	15914	9795	6489	7821	2416	1898	2632	1029	1008	1382	516	526	339	604	177	233	247	287	106	72	100	89	36	85	77	31	21	42	15	17	12	13	14	8	7	7	3	8	1	1	0	2	1	2	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	19325	7985	5031	3517	4891	1095	892	1633	481	526	855	231	272	143	395	86	128	151	203	50	32	70	58	21	61	55	12	7	21	9	15	10	6	10	5	5	6	2	8	0	1	0	2	1	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	37577	15800	9720	6479	7646	2431	1925	2666	1041	976	1348	520	531	329	540	191	231	259	277	109	69	127	97	40	89	74	30	23	51	14	23	12	14	16	10	7	9	4	5	1	1	0	2	3	0	0	1	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	19150	7957	5017	3572	4717	1090	915	1702	499	506	824	236	277	143	354	85	126	165	175	59	35	95	59	20	65	52	11	7	36	8	17	8	7	11	7	5	7	2	5	0	1	0	2	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
