label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64
0.03	north1_all	80	46485	21254	10319	9446	3935	5172	2876	1878	1565	1627	1853	631	495	955	644	275	195	160	126	116	72	63	50	49	32	65	16	69	28	27	23	11	9	13	3	6	2	5	7	6	1	2	5	1	3	1	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	1
0.03	north1_active	80	27926	13524	5342	7042	901	4037	1890	1041	986	1259	1600	238	217	833	568	89	66	53	37	66	14	31	15	7	11	36	6	64	18	24	15	5	2	10	1	4	2	1	1	6	0	1	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	46714	21156	10382	9326	3932	5145	2909	1907	1566	1555	1926	624	478	1022	643	254	186	175	132	115	62	67	50	45	34	57	15	64	25	31	22	14	9	9	7	5	2	5	5	3	2	1	2	2	5	1	1	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north2_active	80	28059	13512	5407	6969	903	4037	1924	1025	996	1196	1676	228	218	904	567	80	60	65	37	69	17	33	17	11	12	31	3	59	14	27	13	9	2	8	0	3	2	2	1	3	1	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	46418	21017	10429	9307	3903	5231	2921	1913	1600	1576	1879	607	470	970	633	244	188	156	147	119	67	60	51	48	41	49	13	49	20	23	18	8	8	6	9	11	3	6	5	3	3	0	2	2	9	1	1	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	27755	13507	5448	7042	890	4142	1943	1004	993	1210	1641	206	203	858	551	86	61	59	35	72	20	27	13	16	16	25	2	43	10	20	10	6	2	4	0	8	3	3	1	2	1	0	2	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	46258	21004	10426	9127	3911	5186	2948	1884	1682	1523	1767	567	438	981	585	240	179	146	155	134	68	65	54	45	48	43	12	56	16	14	22	7	8	8	7	10	5	4	6	3	4	2	1	2	6	1	1	0	3	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	27663	13533	5456	6892	889	4140	1942	988	1060	1143	1491	203	189	880	494	72	59	66	35	66	14	29	13	19	22	29	4	48	9	12	13	6	3	6	0	9	3	2	1	2	1	0	1	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	45767	21032	10273	9234	3921	4980	2903	1860	1632	1524	1759	548	442	976	581	228	186	156	145	142	83	67	55	45	36	43	15	54	10	14	30	5	7	11	6	12	7	4	5	3	2	3	1	2	6	1	0	0	3	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	27500	13531	5280	6929	894	3897	1887	990	1030	1155	1500	185	180	874	483	68	54	67	29	71	14	26	14	21	20	26	4	43	5	11	22	3	3	7	0	10	5	1	0	2	0	0	0	1	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
