label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64
0.03	north1_all	80	56670	15507	12800	7926	4976	2636	2915	2514	1220	1424	1264	509	393	419	426	219	180	138	146	93	110	53	92	42	38	30	34	23	14	9	20	16	14	6	7	7	2	11	2	1	1	2	2	2	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	33943	7612	7542	4558	2807	1194	1693	1523	591	826	784	215	193	224	253	91	82	65	81	37	54	21	58	25	30	20	18	8	7	2	14	8	7	4	4	5	2	5	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	56335	15538	12843	7961	5010	2626	2906	2533	1245	1397	1200	509	422	437	427	222	187	145	146	91	102	55	88	46	45	33	31	29	17	11	23	17	16	6	6	7	1	6	2	2	3	1	3	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	33892	7599	7542	4665	2843	1201	1673	1505	618	823	749	217	204	222	253	82	86	73	85	39	52	18	51	24	33	20	15	10	7	4	13	9	6	3	3	5	1	0	1	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	58326	15786	13445	8183	5225	2671	3069	2621	1287	1534	1212	495	430	445	419	218	186	150	150	93	97	50	108	46	49	38	31	29	19	16	25	13	20	9	5	5	2	3	3	1	3	1	2	2	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north3_active	80	35218	7803	8020	4902	3016	1251	1770	1601	638	902	740	218	212	222	248	85	92	74	81	30	59	20	61	17	31	18	16	12	7	7	14	5	13	7	3	3	2	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	59952	16141	13624	8434	5363	2682	3055	2777	1304	1599	1324	506	450	488	440	215	184	155	168	96	107	56	116	50	54	36	27	27	17	16	20	9	19	6	5	4	3	2	4	1	2	2	2	1	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north4_active	80	36619	8101	8031	5026	3090	1241	1795	1781	663	981	830	226	223	239	280	92	89	77	94	30	56	24	68	17	34	17	16	12	8	8	13	4	11	5	2	2	1	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	62577	16464	13950	8696	5585	2608	3177	2913	1300	1618	1430	516	428	523	474	221	190	133	168	97	104	56	108	51	59	39	26	25	13	27	18	11	13	5	5	4	5	7	3	2	2	2	1	1	1	1	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north5_active	80	38677	8428	8407	5232	3278	1239	1900	1895	679	996	873	238	208	288	309	97	97	59	90	29	58	27	58	20	36	20	15	11	6	19	12	4	10	5	2	3	1	6	0	2	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
