label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30
0.03	north1_all	80	572	210	167	86	37	35	16	11	15	7	16	7	5	0	4	3	2	0	1	12	2	0	0	1	1	0	0	0	0	0	0
0.03	north1_active	80	317	102	98	36	14	21	8	4	11	4	14	2	2	0	1	1	0	0	1	12	1	0	0	1	1	0	0	0	0	0	0
0.03	north2_all	80	579	225	174	74	38	36	30	12	15	5	20	7	4	3	10	3	3	0	1	10	1	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	324	123	103	33	15	23	18	3	11	4	17	2	3	1	4	1	1	0	1	10	1	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	617	259	170	67	34	41	32	15	22	4	37	4	3	5	9	3	1	0	2	12	2	0	1	0	0	0	0	1	0	0	0
0.03	north3_active	80	339	139	94	31	15	28	22	4	13	4	29	2	2	2	3	1	1	0	2	12	2	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	633	273	149	74	36	36	24	16	19	8	31	2	4	7	6	1	1	0	2	6	1	0	1	0	0	0	0	1	0	0	0
0.03	north4_active	80	345	145	66	35	16	24	20	6	10	7	24	1	1	3	3	0	1	0	2	6	1	0	1	0	0	0	0	0	0	0	0
0.03	north5_all	80	630	246	164	78	40	38	26	13	18	11	32	3	4	5	3	0	1	0	1	3	1	0	1	0	0	1	0	0	0	0	0
0.03	north5_active	80	345	137	82	35	21	24	17	5	10	9	24	1	0	2	0	0	1	0	1	3	1	0	1	0	0	1	0	0	0	0	0
0.03	north6_all	80	608	265	174	75	44	42	16	10	14	13	27	4	4	4	0	0	0	0	0	6	0	0	1	0	0	1	0	0	0	0	0
0.03	north6_active	80	342	156	93	33	23	27	8	4	9	9	18	2	0	1	0	0	0	0	0	6	0	0	1	0	0	1	0	0	0	0	0
0.03	north7_all	80	562	243	174	61	48	48	22	8	14	12	27	2	3	2	1	0	0	1	0	6	1	0	0	0	0	1	1	0	0	0	0
0.03	north7_active	80	310	140	98	18	25	30	11	5	9	7	17	1	0	0	1	0	0	1	0	6	1	0	0	0	0	1	0	0	0	0	0
0.03	north8_all	80	585	242	165	56	35	41	21	8	21	9	21	3	4	3	1	0	0	1	1	6	3	0	0	0	0	0	1	0	0	0	0
0.03	north8_active	80	307	137	91	16	21	24	12	4	13	6	12	2	1	1	1	0	0	1	1	6	3	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	563	231	161	51	32	35	18	9	15	7	16	3	4	4	1	0	3	1	1	6	3	0	0	0	0	0	1	0	0	0	0
0.03	north9_active	80	283	117	84	14	18	22	10	4	8	5	10	1	2	2	1	0	2	1	1	6	3	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	540	236	161	55	31	31	21	11	13	8	15	4	5	3	1	1	4	0	1	0	2	0	0	0	0	0	0	0	0	0	1
0.03	north10_active	80	279	136	83	22	15	17	11	6	7	5	11	2	3	3	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	667	259	175	77	35	40	32	11	14	12	30	4	0	1	4	1	0	2	0	0	0	4	2	0	0	0	0	0	0	0	0
0.03	north11_active	80	384	135	107	42	16	17	22	4	11	6	22	3	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north12_all	80	635	246	172	68	37	33	36	6	16	10	17	4	0	1	3	3	0	1	2	0	0	5	2	0	0	0	0	0	0	0	0
0.03	north12_active	80	348	123	107	38	19	10	24	3	13	6	9	4	0	0	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
