label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30
0.03	north13_all	80	625	229	176	69	39	35	28	9	19	8	19	5	2	4	5	3	0	0	2	0	0	5	2	0	0	0	0	0	0	0	0
0.03	north13_active	80	333	117	107	32	20	14	17	6	15	3	10	4	1	0	5	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
0.03	north14_all	80	627	242	189	60	37	34	32	8	24	6	15	4	4	4	4	3	0	1	2	1	1	5	2	0	0	0	0	0	0	0	0
0.03	north14_active	80	340	121	104	25	17	18	16	5	18	3	5	2	2	1	2	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0
0.03	north15_all	80	603	239	176	62	29	44	32	12	23	5	11	4	5	5	4	0	0	1	1	1	1	1	4	0	0	0	0	0	0	0	0
0.03	north15_active	80	321	116	101	29	13	27	16	9	14	2	6	2	2	1	2	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0
0.03	north16_all	80	584	236	181	65	31	42	32	10	22	10	15	4	8	2	3	0	0	1	0	6	1	0	4	0	0	0	0	0	0	0	0
0.03	north16_active	80	335	112	98	41	12	27	18	6	12	4	12	2	4	1	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0
0.03	north17_all	80	563	246	168	77	35	41	24	9	15	9	16	2	5	3	3	0	0	2	0	7	0	0	4	0	0	0	0	0	0	0	0
0.03	north17_active	80	310	115	96	47	14	25	15	5	6	5	15	2	2	2	1	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	0
0.03	north18_all	80	535	237	162	77	39	32	23	12	11	10	17	5	5	2	3	0	1	2	0	6	0	1	4	0	0	0	0	0	0	0	0
0.03	north18_active	80	280	120	91	46	15	18	10	5	5	6	15	3	2	2	2	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0
0.03	north19_all	80	548	218	152	81	36	32	23	12	8	5	22	4	3	3	3	0	1	2	0	8	0	1	2	0	0	0	0	0	0	0	0
0.03	north19_active	80	280	112	82	45	13	14	11	5	1	4	17	2	1	2	2	0	0	1	0	7	0	1	2	0	0	0	0	0	0	0	0
0.03	north20_all	80	573	220	139	76	41	33	24	14	7	7	9	4	3	2	2	0	1	1	2	7	0	1	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	289	117	73	44	15	18	11	6	1	5	5	2	1	1	2	0	0	0	2	7	0	1	1	0	0	0	0	0	0	0	0
0.03	south21_all	80	574	216	145	69	30	30	24	9	12	10	26	3	1	0	1	0	0	3	1	0	0	2	1	0	0	0	0	0	0	0	0
0.03	south21_active	80	254	116	90	32	13	15	12	6	7	6	14	2	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	566	245	148	71	31	22	27	12	12	9	28	2	4	0	2	1	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	267	138	97	32	12	9	16	6	8	6	12	1	3	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	587	256	148	65	35	28	25	11	15	11	23	4	3	0	1	2	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	279	138	96	27	14	12	13	6	12	8	9	2	2	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	571	250	140	62	34	30	27	12	17	7	18	4	4	0	2	3	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0
0.03	south24_active	80	296	132	86	27	9	11	13	8	12	3	10	2	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south25_all	80	566	250	148	66	33	31	29	14	22	7	16	7	3	3	2	2	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south25_active	80	296	134	84	29	14	15	13	6	14	4	13	5	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	south26_all	80	597	227	142	63	32	31	27	15	20	7	15	9	3	3	4	1	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0
0.03	south26_active	80	316	117	83	29	16	18	13	8	15	4	10	7	1	1	3	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0
0.03	south27_all	80	605	233	149	67	34	30	27	16	13	5	24	9	3	4	4	1	2	1	1	3	0	0	2	0	0	0	0	0	0	0	0
0.03	south27_active	80	311	124	90	31	20	20	17	8	10	4	17	7	2	1	3	0	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0
0.03	south28_all	80	617	216	153	67	35	31	26	11	12	3	27	8	2	2	3	0	1	2	1	4	0	0	1	0	1	0	0	0	0	0	0
0.03	south28_active	80	316	107	93	36	18	20	20	7	11	3	20	7	2	1	3	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0
0.03	south29_all	80	598	232	161	71	38	37	22	12	15	8	23	4	4	3	5	0	1	2	1	2	0	0	1	0	1	0	0	0	0	0	0
0.03	south29_active	80	323	123	102	41	20	23	18	9	14	4	19	3	2	2	5	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south30_all	80	594	251	155	81	42	34	22	14	12	10	31	3	4	2	5	1	1	3	0	1	0	0	1	0	1	0	0	0	0	0	0
0.03	south30_active	80	343	147	96	41	24	21	18	9	11	6	20	3	2	2	5	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	south31_all	80	670	235	191	69	43	31	30	15	21	4	12	7	1	3	2	0	1	1	1	6	0	2	1	0	1	0	0	0	0	0	0
0.03	south31_active	80	347	118	103	34	22	12	19	4	16	1	5	6	0	1	1	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0
0.03	south32_all	80	633	226	186	71	45	32	24	14	19	6	8	8	1	2	3	0	1	1	1	12	0	2	1	0	0	0	0	0	0	0	0
0.03	south32_active	80	323	111	106	31	20	16	15	5	13	4	3	6	0	0	1	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	584	237	185	74	52	32	23	12	15	12	2	5	3	1	2	0	2	0	1	12	0	0	2	0	0	0	0	0	1	0	0
0.03	south33_active	80	293	114	104	28	22	16	13	6	6	9	0	3	1	0	1	0	1	0	0	7	0	0	1	0	0	0	0	0	0	0	0
0.03	south34_all	80	565	214	160	76	56	29	14	15	18	16	3	4	4	0	2	0	2	0	0	6	0	0	1	0	0	0	0	0	1	0	0
0.03	south34_active	80	288	102	100	26	26	10	7	8	11	12	2	2	1	0	1	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0
0.03	south35_all	80	561	218	157	65	47	30	15	17	19	14	6	4	5	0	4	0	2	0	0	5	0	0	1	0	0	0	0	0	1	0	0
0.03	south35_active	80	289	103	104	28	25	12	7	11	11	11	3	3	2	0	2	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0
0.03	south36_all	80	561	197	160	63	41	28	20	21	19	11	19	3	5	0	10	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south36_active	80	316	93	106	29	24	12	8	10	11	7	16	2	2	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south37_all	80	580	202	170	61	44	27	25	21	18	6	23	5	6	1	9	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south37_active	80	330	95	104	29	20	11	11	10	8	2	18	3	3	0	7	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south38_all	80	581	216	196	60	40	34	29	22	19	5	25	5	4	2	6	0	5	2	0	8	0	0	0	0	0	0	0	0	0	1	0
0.03	south38_active	80	332	118	111	30	16	17	14	8	12	1	21	3	2	0	6	0	2	2	0	6	0	0	0	0	0	0	0	0	0	1	0
0.03	south39_all	80	605	216	199	57	38	27	34	19	20	7	20	5	6	3	0	0	5	4	0	9	0	0	0	0	0	0	0	0	0	0	0
0.03	south39_active	80	346	132	109	28	15	13	16	5	8	2	16	2	3	0	0	0	3	2	0	6	0	0	0	0	0	0	0	0	0	0	0
0.03	south40_all	80	628	244	207	65	37	29	24	14	25	9	19	3	2	6	0	1	3	2	0	10	0	1	0	0	0	0	0	0	0	0	0
0.03	south40_active	80	361	153	126	36	16	17	12	4	15	3	14	1	1	2	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0
