label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44
0.03	north1_all	80	9111	4122	2406	1229	821	582	581	306	232	180	149	128	75	56	38	27	30	17	17	19	9	12	10	6	8	5	1	1	1	0	2	0	1	0	0	0	1	1	0	1	0	0	0	0	0
0.03	north1_active	80	3518	2069	1310	463	206	143	393	83	63	44	62	85	27	17	17	8	11	3	7	8	0	2	2	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9225	4069	2433	1221	828	609	585	293	259	193	141	138	70	59	33	35	31	14	24	17	10	5	16	3	9	6	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0
0.03	north2_active	80	3579	2044	1347	449	213	151	413	89	72	47	63	100	22	24	15	9	12	3	7	6	0	1	3	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9100	4949	2867	1356	823	631	799	290	279	199	169	157	76	60	41	51	33	13	20	16	9	8	14	5	8	6	2	2	2	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	3176	3006	1850	615	252	185	629	96	90	55	86	113	32	34	19	20	9	5	6	9	1	3	2	1	3	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9096	5762	3579	1506	856	635	1004	303	272	222	162	207	81	74	52	65	37	22	24	16	11	6	14	5	4	4	1	2	2	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_active	80	2775	3978	2664	809	316	220	852	109	99	76	85	162	37	47	31	32	13	9	7	9	2	3	3	1	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8891	6576	4346	1650	837	608	1320	323	271	224	170	272	86	90	62	69	32	22	22	14	13	8	11	7	2	3	3	2	3	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	2343	4984	3521	998	347	235	1180	117	111	86	90	230	54	56	41	42	11	10	6	8	3	4	3	4	2	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	8887	6789	4602	1695	863	602	1445	305	286	215	169	358	96	97	74	55	33	32	16	22	15	7	10	5	1	4	5	3	2	0	2	1	0	1	1	0	1	0	0	0	0	0	0	0	0
0.03	north6_active	80	2198	5275	3825	1078	383	235	1329	107	130	90	91	317	65	63	53	32	16	16	5	12	6	3	3	4	1	2	5	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	8753	6777	4567	1706	903	595	1478	299	269	201	178	387	108	98	64	49	27	30	19	17	15	9	9	7	2	4	8	2	2	1	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	2189	5290	3768	1087	388	223	1352	103	126	80	97	345	73	58	42	30	13	16	9	7	8	3	3	6	2	2	8	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	8652	6815	4456	1682	925	629	1497	304	290	192	181	384	108	96	61	50	28	26	16	16	15	6	16	5	2	4	9	1	3	1	0	2	4	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	2172	5340	3660	1087	397	246	1360	111	145	73	100	344	72	58	43	29	10	14	9	6	9	2	5	4	2	2	9	1	2	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	8611	6889	4404	1666	979	676	1539	319	284	196	186	371	113	97	70	47	24	25	21	17	12	7	14	10	3	3	6	2	2	1	1	1	5	1	1	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	2109	5457	3618	1072	403	278	1397	130	154	75	107	341	72	58	52	26	6	14	12	9	7	3	4	9	2	1	6	0	1	0	1	1	4	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	8625	6743	4506	1702	946	667	1497	298	289	197	186	350	120	96	78	44	24	22	18	21	15	9	12	9	2	4	7	3	2	0	2	0	6	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north10_active	80	2091	5373	3730	1099	402	276	1353	126	149	71	116	318	78	67	59	21	5	8	8	15	6	4	4	7	1	1	6	0	2	0	2	0	5	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	8880	6274	4058	1600	877	617	1179	303	257	161	167	277	95	116	75	44	32	21	6	24	17	7	9	17	4	5	0	3	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north11_active	80	2392	4688	3180	950	337	224	1039	83	119	49	93	236	57	75	46	23	9	10	1	13	5	0	7	14	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north12_all	80	8767	6765	4401	1629	878	641	1328	286	255	171	164	272	98	115	67	39	35	19	8	22	12	8	10	16	3	3	3	2	2	2	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0
0.03	north12_active	80	2119	5251	3607	1019	363	239	1207	93	122	58	93	238	63	83	42	20	13	12	1	15	5	0	6	14	0	1	3	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north13_all	80	8725	6681	4420	1681	896	631	1419	302	230	169	189	272	93	107	63	43	35	20	5	20	12	11	10	13	2	2	5	2	3	2	0	4	2	0	0	1	1	0	0	0	0	0	0	0	0
0.03	north13_active	80	2100	5245	3682	1065	384	253	1293	112	112	60	116	245	61	73	43	25	11	11	1	16	4	2	6	11	0	0	5	0	1	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north14_all	80	8713	6662	4371	1731	913	630	1484	312	224	177	192	301	90	99	63	43	32	14	12	17	11	8	10	12	2	1	7	4	2	1	0	5	2	0	0	1	1	0	1	0	0	0	0	0	0
0.03	north14_active	80	2109	5214	3624	1104	399	263	1341	123	101	57	117	270	53	73	46	25	10	8	2	15	3	2	7	10	0	0	5	1	1	0	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north15_all	80	8707	6624	4300	1653	939	610	1515	323	234	168	204	275	100	92	65	43	28	18	13	27	13	10	13	9	3	2	6	2	2	1	0	7	2	0	0	0	1	0	1	0	0	0	0	0	0
0.03	north15_active	80	2118	5197	3526	1036	405	266	1374	125	112	53	125	242	60	64	43	31	8	9	3	20	3	3	8	7	1	0	4	1	1	0	0	6	1	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north16_all	80	8624	6375	4068	1560	892	605	1240	333	241	170	179	270	99	92	61	40	31	25	19	25	12	9	10	10	5	4	3	3	1	1	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north16_active	80	2116	4862	3196	917	360	253	1091	127	114	52	102	233	53	62	40	22	8	11	4	17	1	2	4	6	3	1	0	1	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0
0.03	north17_all	80	8586	6166	3763	1505	889	594	1117	327	255	197	177	227	100	80	57	34	33	24	20	19	14	10	12	5	8	6	3	3	1	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north17_active	80	2149	4554	2887	840	336	229	959	117	127	59	101	191	51	47	34	18	8	10	5	11	2	4	3	2	4	3	1	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north18_all	80	8693	5669	3423	1477	844	606	1001	320	245	182	168	250	92	75	47	37	36	24	16	18	15	10	7	8	9	6	4	4	1	2	1	5	0	0	0	1	0	0	0	0	0	0	0	0	1
0.03	north18_active	80	2242	3991	2522	785	296	209	841	113	108	57	91	210	44	47	28	18	7	9	4	9	3	5	1	4	4	3	3	0	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north19_all	80	8696	5510	3453	1510	896	629	981	301	248	183	160	240	91	86	54	44	34	18	11	16	11	7	7	7	8	2	4	5	1	2	2	8	0	0	0	0	0	0	0	1	0	1	0	0	1
