label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136
0.03	north1_all	80	2194	1234	1026	591	455	960	422	172	193	170	110	410	119	90	146	110	57	134	86	71	42	25	37	26	27	26	31	27	29	27	23	25	55	13	14	20	9	16	35	14	13	8	14	10	26	19	12	15	13	6	8	3	3	11	1	4	14	1	4	1	9	1	5	0	14	4	3	6	2	3	3	2	6	0	1	4	0	2	0	1	2	2	0	0	0	1	2	2	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0
0.03	north1_active	80	1095	663	604	336	247	651	267	82	108	99	56	279	62	45	91	58	24	76	52	39	24	14	22	15	13	15	14	13	13	15	14	13	37	5	8	11	3	9	25	6	5	3	6	6	20	4	4	13	5	4	4	2	0	8	1	0	11	0	0	1	6	0	3	0	7	3	2	6	1	1	1	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0
0.03	north2_all	80	2142	1228	1039	573	441	994	392	167	202	191	110	421	97	96	133	100	50	137	83	68	41	30	32	26	30	22	27	28	24	26	34	22	70	11	11	15	9	14	30	16	12	7	20	11	20	30	9	16	13	4	8	3	3	6	2	2	18	2	2	3	9	1	3	2	16	4	3	6	2	3	2	2	1	0	1	4	1	2	0	0	1	1	0	0	0	3	1	4	0	0	0	2	0	2	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
0.03	north2_active	80	1073	684	620	323	249	676	233	81	124	111	53	285	48	49	79	50	17	73	51	41	18	16	19	12	12	11	12	13	11	12	26	12	53	5	8	10	4	7	19	8	6	4	11	4	17	13	3	13	4	2	6	2	0	5	2	0	17	0	0	3	6	0	2	1	8	2	2	6	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
0.03	north3_all	80	2144	1262	1019	598	448	923	381	174	217	181	110	386	111	84	135	109	56	139	68	62	42	36	41	28	35	23	31	27	29	25	34	24	58	11	9	11	8	13	28	14	17	4	14	10	15	19	11	15	14	6	4	4	4	3	5	1	17	3	1	4	13	1	3	2	18	3	2	5	1	2	2	2	2	0	2	2	1	2	0	0	1	0	0	0	0	3	1	5	1	0	1	2	0	2	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1072	716	596	341	255	631	239	81	125	102	58	285	66	37	73	61	25	85	42	40	16	18	23	13	14	9	15	12	12	12	26	12	41	5	5	6	6	6	19	9	11	2	9	2	14	12	5	13	9	5	3	2	1	3	4	0	17	0	0	4	12	0	2	1	8	1	2	5	1	1	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	1	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2117	1304	1035	562	443	959	420	176	210	164	108	375	118	75	111	128	71	156	63	49	40	41	38	23	35	26	32	35	23	17	34	19	51	14	12	12	10	11	40	13	27	11	11	12	11	20	9	11	16	9	4	5	3	5	4	2	25	4	0	5	12	4	2	2	20	2	2	7	1	1	3	1	3	0	3	0	1	2	1	1	1	1	0	0	0	3	0	6	1	0	1	0	0	3	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1079	772	620	319	247	651	271	77	128	87	46	290	64	29	52	79	39	114	42	33	18	20	21	10	15	11	19	17	9	6	27	9	34	7	6	5	8	3	31	8	13	3	8	4	10	16	6	8	8	7	2	3	1	4	3	1	24	1	0	5	12	1	2	1	10	1	2	7	1	0	2	1	3	0	2	0	0	0	0	0	0	1	0	0	0	2	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2098	1297	1025	553	461	952	420	187	214	163	110	378	128	74	120	133	69	144	71	56	48	45	45	28	32	28	31	38	26	19	33	19	45	12	8	14	13	11	36	10	37	12	9	9	11	23	11	12	13	10	4	7	2	5	6	4	20	5	0	6	14	7	2	1	6	4	2	4	2	0	2	0	3	1	2	4	1	1	2	1	1	1	0	0	0	1	0	4	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1066	749	614	311	253	626	280	83	112	96	47	296	73	32	53	79	42	98	52	32	25	19	26	14	15	10	19	19	12	9	24	8	24	6	3	5	11	4	28	7	22	2	6	8	10	17	7	10	8	7	2	5	1	3	4	3	19	2	0	5	12	1	2	0	2	1	2	4	2	0	1	0	3	0	2	4	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
