label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139
0.03	north1_all	80	2679	777	768	363	425	287	215	161	124	129	125	196	88	111	55	79	69	71	78	102	82	38	39	21	21	17	28	18	23	16	24	12	17	13	6	8	15	20	7	11	6	7	3	8	5	8	6	8	2	6	9	6	6	3	0	5	3	6	7	4	5	2	1	7	7	11	0	0	1	0	0	1	0	1	4	0	3	2	2	0	2	0	1	1	0	1	1	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
0.03	north1_active	80	1542	368	453	170	242	143	92	68	51	61	60	118	44	76	28	45	35	39	48	72	53	17	22	12	10	7	18	10	14	14	16	1	13	6	3	5	8	12	4	7	3	6	1	5	3	7	1	7	0	5	7	5	3	0	0	4	0	5	6	3	2	2	1	7	6	4	0	0	1	0	0	0	0	1	2	0	2	2	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	2570	768	730	354	410	261	222	176	119	104	128	172	78	115	60	69	65	63	63	74	74	36	44	20	16	15	24	27	23	14	20	13	14	15	9	10	14	21	8	12	4	10	3	10	6	5	7	7	5	6	11	1	5	3	0	5	2	6	6	4	7	1	2	8	5	6	0	0	0	1	0	1	1	1	4	0	3	2	2	0	1	0	2	1	0	1	3	0	0	0	1	0	0	4	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north2_active	80	1462	343	420	155	235	137	94	79	54	55	63	111	37	77	25	38	34	32	35	45	42	17	26	13	8	5	15	14	11	12	12	3	10	7	4	8	8	13	3	8	2	8	1	7	4	3	2	6	1	5	2	0	3	0	0	4	0	4	5	2	3	1	2	7	4	0	0	0	0	0	0	0	1	1	3	0	2	2	2	0	0	0	1	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	2696	760	768	355	441	264	237	175	134	111	131	187	69	118	62	91	77	71	79	94	87	32	60	21	22	17	24	28	21	8	26	10	15	17	9	9	12	27	8	10	4	6	3	10	6	2	9	6	5	7	11	3	5	3	1	7	2	8	8	3	6	2	2	4	9	8	0	1	0	3	0	0	2	0	3	2	0	1	1	0	2	0	1	0	0	2	2	0	0	0	0	0	0	4	0	0	0	0	1	2	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_active	80	1539	348	460	162	260	143	103	84	67	55	65	134	26	80	29	51	43	43	54	59	46	15	32	13	9	4	16	15	10	5	17	4	9	7	4	8	7	13	4	4	1	5	1	8	3	0	4	5	1	5	2	0	4	2	1	5	0	6	5	2	2	2	2	3	8	2	0	1	0	2	0	0	1	0	2	2	0	1	1	0	2	0	1	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_all	80	2820	795	855	361	476	272	227	171	149	124	122	224	83	130	63	93	75	76	87	110	76	35	70	23	25	19	21	27	20	12	30	9	16	21	14	9	8	28	11	11	6	6	3	5	7	3	10	5	6	8	11	5	4	4	2	6	1	6	8	2	3	1	1	13	9	5	0	1	0	3	0	2	2	0	2	2	3	0	0	0	2	0	1	0	0	1	2	1	1	0	0	0	0	4	0	0	0	0	0	2	0	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north4_active	80	1695	364	520	163	285	156	102	90	81	59	60	166	36	91	33	55	45	50	57	77	44	19	36	14	8	3	14	16	11	5	20	7	10	11	5	6	4	19	6	3	3	4	0	4	4	1	4	3	1	5	1	0	3	2	2	5	0	5	4	1	1	1	1	11	7	4	0	1	0	2	0	1	1	0	2	2	3	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north5_all	80	2944	805	913	344	535	334	203	160	154	147	127	254	79	147	57	101	70	78	93	124	62	33	71	25	32	23	27	23	15	16	27	9	18	20	12	11	11	33	14	19	9	7	6	3	5	4	6	12	4	11	12	6	3	3	3	5	1	6	8	3	2	1	1	14	10	8	0	1	1	3	0	2	1	0	2	2	3	0	0	0	4	0	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	0	2	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1764	370	568	160	336	189	98	86	86	74	64	178	35	94	33	63	44	44	65	91	42	16	45	11	13	6	18	18	10	8	22	8	11	11	3	6	6	16	8	8	5	6	2	3	3	3	4	10	1	5	3	0	3	2	2	3	0	4	5	2	0	1	1	11	8	8	0	1	1	2	0	1	0	0	2	2	3	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
