label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146
0.03	north19_active	80	4354	584	1318	184	249	189	880	156	392	98	72	484	105	547	138	43	97	37	59	24	45	60	96	29	8	14	154	24	6	63	5	31	32	61	12	5	19	1	4	1	14	4	9	1	3	1	10	4	12	7	3	22	3	3	7	10	1	5	1	12	7	3	2	0	13	1	0	1	7	5	0	0	0	0	0	0	2	1	2	1	0	2	0	1	3	1	2	2	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0
0.03	north20_all	80	6043	1786	1736	770	639	553	1045	366	469	266	238	593	201	591	202	123	142	104	92	82	93	100	132	53	42	58	189	55	47	68	31	50	39	91	23	23	24	19	17	12	22	10	16	7	9	13	13	10	12	15	7	16	10	7	11	8	5	6	7	9	4	3	7	1	18	1	0	3	9	7	3	1	3	0	0	3	2	2	0	0	2	5	1	2	3	1	3	1	0	0	2	0	0	0	3	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	4404	584	1231	166	272	179	887	149	369	92	68	526	123	544	139	40	97	35	57	28	60	60	102	31	8	18	171	20	7	58	7	33	25	79	13	4	14	3	1	2	16	5	6	3	3	1	11	3	12	6	3	15	6	4	5	8	1	4	1	9	2	2	3	0	15	1	0	2	9	4	1	0	0	0	0	0	2	1	0	0	0	3	0	1	2	1	3	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	5629	1788	1635	771	640	522	937	396	408	252	214	499	223	462	223	119	157	96	80	74	91	90	126	47	54	40	228	32	44	83	35	24	28	50	38	27	20	18	24	16	22	14	14	8	11	8	16	7	12	7	9	13	13	3	11	10	7	9	4	6	4	5	2	2	8	1	5	3	2	2	4	2	1	4	3	0	3	4	0	2	1	1	1	1	2	2	1	0	4	3	2	0	0	1	0	0	0	1	5	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	3906	528	1076	178	239	159	785	201	302	73	59	437	133	392	150	30	93	36	38	17	44	58	87	26	16	12	209	10	10	67	7	12	14	45	21	9	6	3	8	2	18	4	6	1	3	1	7	2	8	4	3	11	9	0	4	10	5	6	2	4	1	5	0	1	8	1	3	2	2	1	0	0	0	2	1	0	3	2	0	2	1	0	0	1	2	2	0	0	4	2	2	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	5734	1802	1730	778	657	513	985	390	476	263	227	572	216	536	229	114	164	108	77	68	96	89	123	54	48	44	230	42	36	79	34	19	26	58	30	25	25	25	20	16	26	15	13	11	13	8	17	10	12	7	7	18	12	4	9	6	9	5	4	4	8	8	2	2	19	0	5	1	3	3	4	1	1	7	3	0	7	3	0	6	1	1	1	0	1	4	1	9	5	3	1	0	0	2	0	0	0	1	5	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	4096	551	1173	183	242	175	826	203	366	81	64	514	134	467	168	29	108	39	39	16	41	62	81	28	15	10	216	13	7	67	7	9	14	54	17	9	9	7	6	3	20	8	6	2	2	2	6	2	7	4	2	15	10	0	5	6	7	5	1	2	5	8	0	1	19	0	3	0	3	2	1	0	0	4	0	0	3	2	0	6	1	0	0	0	1	4	1	9	4	2	1	0	0	0	0	0	0	1	5	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	6013	1808	1800	780	654	488	1102	400	539	243	208	611	214	581	227	118	172	102	86	73	100	95	130	55	51	44	228	49	40	78	31	26	25	97	28	26	19	18	14	16	29	21	11	12	11	7	19	13	14	11	5	22	9	5	4	7	6	4	3	8	11	5	4	5	21	1	4	1	7	9	6	3	1	6	2	1	4	4	2	8	1	2	1	0	1	2	1	9	5	2	0	0	0	2	0	1	0	0	6	1	1	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south23_active	80	4393	572	1288	164	254	183	938	216	422	81	62	551	132	523	165	33	119	39	43	22	57	69	84	26	17	11	210	17	7	66	6	14	15	91	19	9	7	5	4	3	24	8	6	3	3	1	10	3	10	6	2	19	6	1	3	6	4	2	0	5	6	5	1	4	21	1	4	0	6	7	1	1	0	5	0	0	0	2	0	7	1	0	0	0	1	2	1	9	4	2	0	0	0	0	0	1	0	0	5	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	6086	1860	1789	796	668	495	1129	383	591	248	203	589	202	578	213	112	162	113	94	69	97	101	128	67	50	56	185	46	35	82	27	37	24	121	26	19	21	15	11	14	24	20	12	8	16	9	10	13	11	9	6	17	9	7	3	11	10	4	3	10	10	4	5	4	17	2	4	0	8	9	3	3	0	10	1	2	5	3	4	8	3	1	1	0	0	6	2	13	5	1	1	0	0	2	0	1	0	3	6	2	1	0	1	2	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
