label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159
0.03	south23_active	80	3706	1008	1610	676	315	371	238	287	191	122	379	294	147	85	287	62	125	88	76	40	153	39	106	78	75	70	28	24	57	21	43	45	14	13	33	20	12	15	13	23	16	14	8	10	6	12	10	6	4	12	8	9	5	1	3	5	5	4	3	5	5	2	0	2	2	5	3	4	0	3	1	2	2	0	5	3	0	1	0	0	1	0	4	0	0	3	2	1	0	0	1	0	2	0	0	2	2	0	0	1	7	0	0	2	0	2	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_all	80	6116	1988	2410	1164	643	698	477	494	339	273	556	419	242	179	400	119	203	137	157	110	224	71	186	114	124	117	56	60	72	42	69	73	35	40	51	39	20	21	19	41	22	25	22	23	14	16	17	13	12	14	12	17	13	6	8	10	10	8	6	9	9	1	3	3	5	5	4	5	2	3	3	1	4	0	6	4	1	2	0	2	2	0	5	0	2	3	2	2	0	0	1	0	2	0	0	2	2	1	0	1	10	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south24_active	80	3473	914	1471	628	314	362	242	288	178	128	365	258	138	90	261	52	126	76	86	46	161	37	110	75	73	63	28	30	48	20	39	51	15	13	34	24	12	8	12	24	15	8	8	12	8	10	10	8	5	10	6	12	9	1	4	6	6	3	1	2	5	1	1	2	2	4	2	4	0	2	1	1	2	0	5	2	1	2	0	0	2	0	4	0	0	3	2	1	0	0	1	0	2	0	0	2	2	1	0	1	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_all	80	5855	1974	2238	1126	650	704	452	471	350	267	524	389	234	169	337	132	189	133	133	118	200	64	171	93	115	103	48	55	66	44	69	57	32	34	42	42	26	25	18	34	16	21	17	22	10	16	20	10	10	16	13	9	16	1	10	8	10	7	3	6	8	2	3	5	3	4	3	4	3	3	1	1	5	0	5	3	2	2	0	2	1	1	6	0	2	1	0	1	0	0	1	0	1	1	0	2	2	3	0	1	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south25_active	80	3287	918	1337	588	330	371	221	254	184	123	317	244	133	82	217	58	114	71	71	57	137	34	115	52	73	63	25	29	36	14	35	34	12	9	28	26	15	12	11	21	10	5	9	10	7	6	9	4	4	13	6	7	9	0	6	5	6	4	1	2	4	1	1	4	2	3	1	2	0	3	0	1	2	0	4	2	1	2	0	0	1	1	6	0	0	1	0	1	0	0	1	0	0	0	0	2	2	1	0	1	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_all	80	6039	1925	2230	1137	640	695	422	448	343	255	555	421	229	177	332	126	202	144	124	119	194	82	174	107	124	93	56	51	76	51	72	51	34	34	39	47	21	25	21	34	18	24	13	16	9	16	25	7	10	18	12	10	14	4	10	7	11	8	5	8	9	2	3	6	2	6	5	5	5	6	3	1	5	0	4	3	2	1	0	3	1	1	7	0	0	1	0	0	0	0	1	0	1	1	1	0	1	3	0	0	3	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south26_active	80	3460	892	1356	631	322	366	195	246	174	115	346	266	125	88	210	49	122	79	67	61	128	42	123	69	77	61	25	26	39	18	36	32	15	12	29	30	11	10	14	22	12	9	5	7	6	5	13	5	2	15	5	8	8	1	6	5	6	5	1	2	5	0	1	5	1	3	0	1	1	6	1	1	1	0	3	1	1	1	0	1	1	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_all	80	6417	2015	2362	1225	680	710	433	463	371	251	604	450	231	158	354	129	204	136	119	122	170	86	132	110	147	85	50	53	79	47	78	63	24	28	38	44	24	25	21	45	19	26	12	11	13	18	29	17	7	21	11	13	10	5	7	10	10	12	5	13	10	5	4	12	3	5	7	7	6	7	3	3	4	2	7	2	2	1	0	4	1	3	5	1	0	1	0	1	1	0	2	0	1	2	1	0	2	2	0	0	3	0	0	0	2	1	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south27_active	80	3710	977	1448	684	319	399	211	259	189	114	396	280	125	74	232	57	123	76	70	63	107	41	89	77	80	52	20	24	47	19	40	38	13	11	26	33	12	13	11	30	11	13	4	3	7	6	16	9	2	16	4	8	4	2	3	7	5	9	2	7	6	1	2	10	2	1	2	2	2	6	2	3	0	0	3	0	1	0	0	1	0	1	4	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_all	80	6719	2091	2509	1336	687	731	442	494	349	260	573	499	238	154	448	131	213	135	125	127	162	89	148	133	135	95	56	47	84	45	85	67	28	37	62	46	24	29	23	41	23	31	13	15	12	15	31	17	7	16	9	17	7	12	6	10	6	15	5	19	11	5	4	19	5	9	7	6	5	7	3	3	4	3	6	2	1	1	1	5	4	4	8	1	0	1	1	1	2	0	2	0	0	2	1	1	1	1	1	1	3	2	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south28_active	80	3980	1032	1552	775	308	415	213	303	179	118	383	323	137	80	301	64	122	73	75	65	109	41	93	95	74	59	22	18	50	23	50	40	11	16	38	29	9	14	14	25	15	16	7	6	6	8	20	11	2	11	4	11	3	4	1	8	3	10	1	14	6	1	2	13	3	3	3	1	2	6	2	3	0	1	3	0	1	0	0	2	0	0	6	1	0	0	1	1	2	0	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	6886	2126	2675	1349	695	726	486	507	362	273	605	502	259	163	443	125	249	129	159	126	159	91	162	138	125	100	64	51	85	49	87	82	22	38	67	41	30	36	23	38	32	31	12	16	14	18	30	20	7	13	10	31	5	11	5	11	5	18	4	19	11	7	4	20	4	9	5	4	2	7	3	2	2	3	4	3	1	3	1	5	4	5	9	1	0	0	1	1	2	0	2	0	1	2	4	1	1	0	1	1	3	2	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
