label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91
0.03	north1_all	80	15159	11127	5531	2181	1493	1336	1126	722	618	490	430	533	263	257	298	202	202	179	135	145	99	101	97	85	71	74	43	44	44	34	28	23	21	23	22	21	11	6	31	13	9	27	10	18	7	5	3	6	7	4	2	1	2	2	5	2	0	10	4	3	1	0	1	1	1	1	0	2	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north1_active	80	10464	9509	4404	1073	419	733	657	221	262	163	170	415	66	73	185	110	135	93	51	101	34	68	64	50	45	52	20	24	20	11	11	8	12	9	13	8	2	1	28	8	6	21	7	15	5	0	1	5	3	3	1	1	1	2	2	1	0	9	4	2	0	0	1	0	0	1	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	15146	11352	5483	2220	1485	1376	1118	705	616	483	431	563	274	274	296	191	211	173	140	149	102	103	89	74	65	68	46	41	49	35	34	22	22	20	14	19	10	9	38	10	8	22	10	12	7	6	3	9	8	2	4	3	2	2	3	2	1	15	4	2	1	0	1	1	2	2	0	1	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0.03	north2_active	80	10474	9671	4371	1094	436	755	665	211	268	181	171	440	60	78	188	101	148	102	54	103	37	67	49	48	29	45	16	22	25	11	16	8	13	9	6	7	1	2	30	5	7	18	8	8	4	1	0	6	5	1	2	3	1	2	2	1	0	14	4	0	0	0	1	0	0	1	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	15106	11403	5385	2257	1520	1373	1108	685	558	466	432	593	295	259	308	191	216	190	130	144	105	95	81	80	70	69	46	45	55	35	32	25	18	19	15	17	17	9	32	14	10	16	13	9	9	6	2	7	8	3	7	9	3	1	2	1	1	6	1	2	1	0	1	2	3	3	0	0	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	10470	9681	4295	1117	456	757	643	210	230	162	161	459	81	74	198	89	147	120	51	102	37	61	38	52	34	45	12	21	30	14	18	15	8	6	6	7	5	3	24	8	7	15	13	6	5	1	0	5	5	2	5	8	1	0	2	1	0	5	1	0	0	0	1	2	1	2	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15134	11268	5356	2383	1511	1387	1125	721	568	456	402	567	297	267	306	205	211	187	124	148	107	105	80	86	76	83	43	44	54	38	35	26	22	21	11	16	19	10	30	15	9	9	14	11	10	5	2	5	6	4	8	9	3	1	1	1	2	9	1	3	0	1	1	3	3	2	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	10445	9544	4269	1201	457	770	670	216	239	149	146	423	90	79	202	101	141	119	49	105	39	65	38	52	36	61	8	15	30	14	15	16	10	8	3	7	5	4	20	9	6	8	13	9	5	1	0	3	5	3	7	7	0	0	0	1	1	7	0	1	0	0	1	2	2	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	15204	11164	5539	2337	1536	1321	1083	729	579	503	408	541	289	264	325	212	199	190	113	134	98	107	80	92	67	82	37	45	61	40	34	23	18	16	16	17	19	11	23	14	10	13	15	13	9	5	1	3	3	6	6	10	4	1	2	0	1	3	2	2	0	1	1	4	2	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	10511	9468	4412	1167	441	719	650	224	245	159	144	399	105	89	209	109	125	126	43	95	35	68	38	54	33	58	7	18	39	12	15	14	7	6	11	5	4	5	19	10	4	11	13	10	5	1	0	1	2	5	6	7	0	0	0	0	1	2	1	1	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
