label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165	Otu166	Otu167	Otu168	Otu169	Otu170	Otu171	Otu172	Otu173	Otu174	Otu175	Otu176	Otu177	Otu178	Otu179	Otu180	Otu181	Otu182	Otu183	Otu184	Otu185	Otu186	Otu187	Otu188	Otu189	Otu190	Otu191	Otu192	Otu193	Otu194
0.03	north1_all	80	3745	2705	1457	630	559	1069	685	497	725	336	271	151	182	168	190	99	140	195	101	87	124	94	71	58	80	82	115	50	54	81	44	39	29	61	28	29	36	26	15	15	40	43	21	47	21	18	18	44	16	11	15	10	36	9	9	12	13	5	10	7	20	10	24	12	4	6	5	12	5	23	10	4	6	7	2	4	3	2	4	3	1	4	1	1	7	3	2	2	2	3	5	4	0	2	0	1	1	12	1	1	2	2	3	0	1	1	1	2	2	0	2	0	2	0	0	1	1	2	1	0	0	3	0	0	3	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1
0.03	north1_active	80	2015	1716	860	295	276	701	410	290	501	198	157	66	107	85	121	44	75	138	58	38	78	53	34	27	50	46	75	25	22	54	22	22	15	41	15	17	20	15	8	6	21	20	13	33	16	11	13	28	12	7	6	6	26	8	5	9	8	5	6	3	14	5	12	8	1	0	4	5	2	17	7	4	1	3	1	1	2	1	2	1	0	4	0	0	6	3	2	2	0	3	2	1	0	1	0	1	1	11	0	1	1	2	3	0	0	0	1	2	1	0	1	0	2	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1
0.03	north2_all	80	3795	2713	1444	669	564	1164	692	516	757	376	275	161	212	145	222	96	148	205	104	85	121	102	69	57	72	94	121	49	48	98	43	41	27	81	27	33	46	28	16	15	45	45	20	42	22	20	19	39	21	17	16	12	35	14	10	19	16	5	10	8	21	6	25	10	5	8	6	6	8	20	15	5	7	5	1	2	3	4	3	1	2	4	0	4	6	3	2	2	2	12	4	5	1	3	1	0	1	12	2	0	1	1	5	0	1	1	0	1	2	0	1	0	2	1	1	0	0	2	2	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	4	2	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1
0.03	north2_active	80	2047	1728	863	298	286	783	419	302	507	244	155	80	133	79	138	43	75	140	61	38	76	52	30	27	40	62	83	23	22	56	22	23	17	51	14	18	23	18	5	7	27	23	11	30	17	11	11	23	15	10	10	7	24	11	7	12	11	3	7	3	17	4	16	6	1	1	5	3	4	13	8	3	2	3	1	0	2	2	1	1	1	4	0	1	4	3	2	2	0	11	1	1	0	1	0	0	1	11	0	0	0	1	4	0	0	0	0	1	1	0	1	0	2	0	1	0	0	1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1
0.03	north3_all	80	3691	2723	1491	631	548	1185	682	504	833	358	266	161	210	152	221	95	135	183	115	99	121	98	59	60	76	97	118	52	46	105	43	48	22	84	35	33	41	25	17	18	35	48	31	42	25	26	17	36	22	12	15	14	23	14	14	20	13	5	12	8	16	5	29	7	6	13	10	9	8	19	16	5	5	5	2	1	7	4	4	0	1	5	1	7	4	4	1	0	2	13	2	2	2	4	1	1	1	13	3	1	3	1	2	0	1	1	0	0	3	0	0	0	2	3	3	0	0	2	3	1	0	0	0	1	2	1	0	1	0	1	0	0	0	0	0	4	2	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1
0.03	north3_active	80	1980	1759	900	284	279	819	430	289	555	231	150	75	127	86	134	39	69	120	75	53	75	48	25	32	46	67	80	27	22	66	22	29	11	55	17	20	18	14	4	6	23	34	18	30	18	14	8	17	14	8	8	8	13	8	8	14	7	3	8	3	13	4	17	5	2	5	9	6	4	13	8	2	2	3	2	0	6	1	2	0	1	4	0	2	2	3	1	0	0	12	1	0	1	1	0	0	0	12	0	0	1	1	1	0	0	0	0	0	2	0	0	0	2	2	3	0	0	1	1	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1
0.03	north4_all	80	3709	2721	1518	623	539	1166	691	506	818	364	300	167	213	143	220	90	133	166	120	95	123	106	56	59	68	94	103	46	47	118	38	53	25	74	39	39	42	20	18	18	28	43	27	33	30	19	23	38	18	11	16	12	26	20	14	18	15	7	7	11	20	4	21	4	5	10	13	14	10	29	17	7	6	9	4	1	6	4	6	0	1	4	4	10	4	2	1	0	3	15	2	8	2	3	1	7	1	4	2	6	2	1	2	3	0	1	1	0	2	0	0	0	0	3	3	0	1	7	4	1	0	1	0	1	0	1	2	1	0	0	0	1	1	0	0	4	2	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	2035	1716	929	282	285	791	449	304	521	218	177	81	123	71	131	34	65	101	82	48	80	53	19	29	40	67	67	22	24	74	24	33	11	44	18	21	19	10	6	4	21	36	16	25	20	7	13	28	11	6	9	7	19	9	8	12	9	3	4	6	15	3	11	2	2	6	9	13	7	24	7	3	2	5	2	1	6	1	3	0	1	2	0	5	2	1	1	0	2	13	1	6	1	0	0	6	0	4	0	1	1	1	1	3	0	1	0	0	1	0	0	0	0	2	3	0	1	1	1	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north5_all	80	3726	2817	1489	574	536	1246	698	514	845	347	305	164	210	153	202	91	115	171	122	106	123	119	57	59	80	92	113	51	56	95	35	55	29	76	42	37	42	17	24	19	22	39	32	38	29	17	23	38	19	7	16	9	32	21	10	10	14	8	5	10	18	6	24	4	5	12	12	16	13	26	7	6	7	10	4	2	6	5	8	0	1	3	5	7	3	3	2	1	4	12	1	9	2	3	1	9	1	10	1	13	3	0	1	3	0	2	1	0	3	0	0	0	2	3	6	1	1	5	2	1	5	1	0	1	0	2	2	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	2	0	1	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2046	1750	905	270	284	855	460	329	563	200	188	78	117	76	123	40	52	106	75	51	75	56	25	28	48	67	78	26	31	60	21	32	9	57	19	19	24	6	11	8	16	29	21	28	19	7	15	26	9	4	7	5	22	10	4	7	6	5	1	6	12	2	17	1	2	8	8	13	8	22	3	3	1	4	2	1	6	0	5	0	1	1	0	4	3	1	1	0	2	11	1	8	1	0	0	8	0	4	0	7	2	0	0	3	0	2	0	0	1	0	0	0	2	2	6	1	1	0	0	1	5	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
