label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83
0.03	north1_all	80	11680	2519	1808	2699	616	474	407	341	284	287	201	236	203	194	232	141	80	63	61	74	72	43	38	24	22	26	17	18	14	10	27	8	11	5	12	13	6	3	5	24	4	5	1	2	4	2	7	4	1	0	1	3	1	2	0	1	3	0	0	0	0	0	0	3	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north1_active	80	7554	1381	1036	1748	291	220	197	170	163	163	90	140	117	117	130	90	37	26	25	50	45	26	15	10	9	15	12	12	5	4	23	3	4	1	3	7	2	1	2	20	2	3	0	2	3	1	7	1	0	0	0	2	0	2	0	1	3	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	11658	2615	1796	2730	665	482	417	342	276	261	191	226	214	194	221	139	74	65	55	78	71	50	43	26	24	20	14	17	15	8	41	8	12	5	17	9	5	4	5	21	5	5	3	3	2	1	1	3	1	1	1	2	0	1	0	0	2	0	0	0	0	0	0	3	1	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
0.03	north2_active	80	7557	1437	1017	1792	303	230	204	181	154	144	98	130	125	119	124	84	34	24	21	45	44	30	15	14	11	10	11	12	9	3	37	4	5	2	4	5	2	1	3	19	2	1	1	2	1	1	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	11793	2645	1893	2697	633	465	430	317	273	269	189	225	203	212	223	138	70	69	59	76	90	57	47	25	19	25	10	14	14	7	43	7	11	8	17	6	13	3	6	22	4	5	4	2	2	2	2	4	0	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	7739	1436	1088	1743	292	231	223	166	150	148	94	130	110	141	130	81	32	25	28	48	55	39	21	14	9	14	8	9	9	1	40	4	5	6	6	5	10	1	4	17	2	1	2	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	12074	2682	1954	2709	611	462	440	324	263	250	161	194	210	208	241	132	69	62	56	77	76	56	46	16	22	20	16	10	15	8	32	8	13	11	14	3	14	6	4	23	7	4	5	3	3	2	2	3	0	2	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	7895	1472	1120	1784	285	233	236	165	134	139	81	106	116	129	145	77	38	23	29	41	40	31	24	8	11	12	10	4	10	2	29	4	7	7	4	2	11	3	3	19	3	2	2	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	12067	2628	2005	2669	602	470	440	356	250	250	164	201	196	199	264	136	74	63	66	84	75	52	37	15	25	25	17	11	19	7	37	6	14	12	17	3	16	5	2	17	7	5	5	3	3	2	4	2	0	1	0	1	0	0	0	1	0	0	1	1	0	2	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	7893	1434	1176	1723	277	241	233	179	137	141	73	113	110	120	166	88	44	27	36	44	39	26	23	8	14	13	11	3	8	2	28	3	8	7	9	2	12	3	2	12	3	2	3	2	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	12136	2602	1952	2688	610	458	446	373	241	243	161	205	187	190	290	127	78	60	68	84	67	43	33	29	29	21	22	12	16	8	29	8	15	6	15	4	17	7	2	21	8	3	7	3	3	1	3	1	0	2	1	1	0	0	0	2	0	0	1	1	0	2	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	7921	1428	1154	1757	280	226	244	197	132	135	70	116	103	107	200	80	49	27	39	42	38	23	20	11	15	11	13	4	7	2	20	4	8	2	7	3	13	3	1	18	2	1	4	2	0	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	12054	2622	1974	2677	644	463	445	370	245	254	168	210	202	196	273	130	81	48	59	86	71	42	32	35	37	22	21	15	17	8	30	8	15	5	12	6	16	11	3	36	9	3	6	2	1	0	3	1	2	2	2	0	0	0	1	2	0	1	1	1	0	1	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_active	80	7862	1440	1149	1736	306	231	248	191	139	146	80	128	113	126	190	89	52	22	32	49	49	26	18	12	22	12	14	8	9	1	21	4	10	3	7	4	8	3	1	33	5	1	4	1	0	0	0	1	1	2	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0
