label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72
0.03	north1_all	80	8875	7630	5458	1499	839	713	615	649	613	254	236	188	279	120	260	99	65	48	70	44	31	34	57	25	42	18	12	56	7	14	4	7	5	5	3	3	3	1	3	0	1	3	2	1	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	5493	6569	4805	848	351	377	376	490	467	111	122	120	225	56	227	56	17	27	41	25	12	11	51	8	36	15	4	56	3	9	2	7	0	3	3	1	0	1	0	0	0	2	1	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	9249	8434	6093	1484	880	758	575	655	664	240	213	189	326	105	269	85	62	42	80	46	32	27	52	26	40	27	11	48	7	13	4	8	4	5	3	3	3	3	1	1	0	5	2	0	5	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	6003	7358	5445	831	373	417	347	505	513	111	117	122	275	50	232	50	18	23	50	33	19	5	48	8	32	22	3	48	1	9	2	8	1	4	3	1	0	1	0	1	0	4	1	0	3	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	9587	8974	6574	1518	910	764	618	670	691	240	228	189	332	112	315	121	58	45	75	56	38	25	68	24	41	22	9	44	8	9	6	11	4	6	4	4	4	2	1	6	0	4	2	3	5	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north3_active	80	6385	7920	5960	894	400	427	380	511	555	111	130	116	280	57	278	77	14	29	50	41	22	5	63	6	33	17	4	43	0	8	2	10	1	5	3	1	0	0	0	2	0	4	1	3	3	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9703	8945	6543	1508	962	757	626	677	676	253	245	175	344	102	307	126	59	57	65	54	39	21	84	19	29	18	8	37	8	8	7	6	4	4	1	4	2	3	1	6	0	3	1	3	3	0	2	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0.03	north4_active	80	6492	7889	5944	859	420	430	370	520	552	116	139	106	291	47	269	78	17	36	43	41	19	5	80	5	22	11	4	36	0	7	3	5	2	4	0	1	0	0	0	2	0	3	1	3	3	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	9654	8928	6397	1476	976	719	613	696	656	277	244	178	328	122	271	139	53	64	58	65	41	21	99	23	34	13	9	33	6	10	10	13	3	3	5	6	2	4	3	8	0	13	0	3	4	0	2	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0.03	north5_active	80	6365	7927	5808	849	454	401	366	533	548	120	140	112	276	60	238	83	19	43	41	41	23	8	94	7	28	9	6	31	0	9	5	12	1	2	1	3	0	2	2	2	0	13	0	3	4	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north6_all	80	9726	9216	6450	1470	968	737	637	737	643	256	244	172	342	132	253	138	55	60	63	62	39	25	90	22	37	17	9	28	3	12	14	14	2	2	4	5	2	5	3	3	0	11	0	1	3	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
0.03	north6_active	80	6432	8204	5902	835	449	409	383	570	533	109	143	113	290	66	215	87	17	38	45	36	25	11	86	6	33	11	7	25	0	10	5	13	1	1	1	2	0	3	2	1	0	11	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_all	80	9654	9303	6567	1407	937	757	596	761	640	252	238	183	304	124	241	118	48	65	69	69	36	21	62	25	50	15	10	24	5	13	13	14	1	5	4	4	2	4	3	4	0	11	2	3	3	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	6399	8255	6025	784	413	407	367	610	537	108	131	112	258	54	205	78	14	38	43	35	27	8	58	10	45	11	8	21	2	11	6	13	1	4	1	2	0	3	2	2	0	11	1	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_all	80	9545	9330	6351	1466	913	764	598	763	616	245	240	189	298	116	243	94	54	57	64	60	41	18	57	20	46	20	9	20	7	14	10	14	2	6	4	2	3	2	1	2	0	1	2	3	2	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	6361	8277	5816	839	399	396	366	610	504	103	131	112	257	50	211	62	12	32	34	36	30	6	52	6	41	17	7	18	3	11	4	12	2	5	0	1	0	1	0	2	0	1	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
