label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139
0.03	north1_all	80	9398	2979	2105	1513	1379	1100	692	507	1246	1382	544	307	563	239	169	189	630	421	156	145	128	202	270	139	133	122	62	67	44	51	44	42	57	40	97	52	36	25	18	19	28	24	14	67	25	24	13	8	14	10	9	9	3	6	5	8	13	26	9	8	19	8	10	2	2	6	4	5	2	3	0	0	13	1	2	0	2	7	1	3	1	1	1	3	1	0	0	0	2	1	1	0	0	2	0	1	0	2	1	2	0	0	0	1	3	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north1_active	80	6628	1184	1075	724	900	705	278	113	1069	1269	400	146	453	80	45	36	569	365	85	94	57	169	244	90	102	90	22	42	14	32	17	23	36	17	88	42	29	14	8	12	19	21	3	64	14	20	6	1	7	8	8	2	2	2	3	2	9	25	0	5	16	5	6	0	2	3	1	5	2	2	0	0	13	0	2	0	1	6	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	0	0	3	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north2_all	80	9549	3006	2020	1472	1375	1045	694	526	1255	1326	529	295	554	232	170	181	577	440	144	135	108	204	231	148	125	109	62	74	57	46	34	49	70	35	87	54	46	24	22	17	23	33	11	84	27	26	15	13	14	6	4	8	5	6	8	9	13	27	9	9	14	9	13	5	4	4	6	6	2	0	1	1	11	2	2	2	1	6	2	2	0	1	0	2	1	0	3	0	0	1	1	0	0	2	0	1	0	1	1	0	0	0	0	1	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0
0.03	north2_active	80	6749	1200	1019	701	898	665	288	113	1083	1206	379	143	454	76	49	41	525	396	75	88	45	158	216	103	94	84	22	44	19	30	11	25	47	18	77	43	39	14	7	9	15	30	2	81	15	22	7	2	8	3	3	1	3	2	5	0	8	26	0	4	12	6	9	0	2	1	1	6	2	0	0	0	11	1	2	1	0	4	1	1	0	0	0	0	0	0	3	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0
0.03	north3_all	80	9415	2963	2074	1471	1379	1026	681	559	1202	1407	508	315	509	224	160	177	593	440	125	140	111	201	202	134	119	116	65	78	51	45	33	54	67	44	76	61	52	26	20	17	17	30	11	74	22	32	10	14	11	13	4	10	4	8	9	7	12	30	8	7	4	9	9	5	3	3	3	4	0	1	2	1	9	2	1	3	1	1	2	1	1	4	3	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	6638	1170	1015	725	895	673	291	114	1026	1294	351	158	411	76	53	38	544	399	64	86	50	150	185	98	96	94	23	51	16	28	9	27	49	20	68	51	43	9	6	8	7	25	4	71	11	28	5	4	5	10	3	1	3	4	6	1	5	28	0	2	4	6	5	0	1	2	1	4	0	1	0	0	8	2	1	1	0	0	1	1	0	3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	9089	2955	2014	1434	1350	986	674	565	1133	1403	481	297	502	218	186	160	604	451	130	141	110	209	198	128	114	124	75	92	56	41	29	54	70	47	77	63	47	30	22	18	20	44	8	71	18	40	12	17	14	10	11	12	2	12	25	5	9	28	8	5	4	11	6	5	4	7	3	7	2	1	3	2	10	4	1	4	1	2	1	1	1	3	3	0	0	1	4	1	0	0	4	0	0	1	1	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north4_active	80	6227	1102	971	670	849	617	285	129	974	1278	311	144	403	77	49	39	555	405	64	86	52	153	176	98	84	103	23	56	14	23	11	26	51	21	70	53	36	16	6	5	10	39	3	68	9	34	4	4	6	7	8	3	1	5	24	2	3	26	0	1	4	7	6	0	1	1	0	6	2	1	0	0	9	4	0	2	0	0	0	1	0	3	1	0	0	0	3	0	0	0	4	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	8646	2891	1942	1402	1317	944	687	564	1017	1293	479	279	459	204	193	167	523	401	112	139	120	166	201	117	111	148	76	77	54	46	38	58	62	47	80	69	29	31	20	22	21	31	8	38	18	40	13	13	10	10	11	11	3	11	26	3	6	12	4	1	4	7	5	5	3	9	1	9	3	1	3	2	4	6	3	4	1	2	0	1	1	3	3	1	0	3	1	1	0	0	6	0	0	2	3	2	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
0.03	north5_active	80	5745	1004	897	642	804	561	268	136	839	1170	313	127	368	72	47	43	469	348	51	75	57	119	171	90	77	121	20	46	12	20	14	29	45	18	71	59	21	16	8	10	13	29	4	32	12	33	3	4	3	9	8	3	2	4	25	2	2	11	1	0	4	4	3	0	0	1	0	8	3	1	0	0	3	5	1	3	0	0	0	1	0	3	1	0	0	1	0	0	0	0	6	0	0	2	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
