label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136
0.03	north1_all	80	10521	2327	1622	1914	1031	926	573	704	385	610	312	546	302	495	171	286	176	150	187	100	109	76	71	74	184	63	71	70	45	64	30	29	27	44	36	63	24	39	32	21	14	48	26	17	7	15	12	22	6	20	28	13	16	6	9	6	8	5	5	9	5	4	1	1	2	1	3	4	1	3	15	0	2	9	1	1	7	3	2	1	1	2	0	0	0	0	1	2	1	0	1	1	0	0	1	2	0	0	0	4	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	6609	1058	807	1193	559	521	281	388	199	379	153	333	167	338	89	184	95	63	122	41	58	41	22	35	112	36	40	39	28	32	13	16	13	27	18	50	14	29	15	10	5	29	11	8	2	5	4	14	0	11	16	5	12	2	7	4	3	2	4	8	2	1	0	0	1	1	1	2	1	2	14	0	1	8	1	1	3	2	1	1	1	2	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	10491	2319	1665	1876	1003	946	588	710	381	646	318	568	293	513	171	297	171	141	204	110	99	81	80	68	168	67	80	69	49	56	40	38	22	42	43	66	23	24	29	18	14	50	28	15	10	11	10	25	8	16	19	14	13	4	11	4	7	4	5	8	6	5	5	1	2	1	4	4	2	3	14	0	5	2	1	1	6	3	1	1	2	2	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north2_active	80	6604	1066	857	1167	534	560	285	407	176	407	172	346	165	339	85	185	88	65	123	44	45	43	31	28	98	41	49	35	35	31	17	18	12	25	20	53	14	19	14	9	4	32	14	8	3	5	5	16	2	9	17	5	9	2	10	4	3	2	4	6	2	1	2	1	1	1	2	2	2	2	13	0	1	1	1	1	2	2	1	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	10481	2294	1694	1853	955	948	591	648	389	663	352	572	308	518	187	282	159	163	198	105	105	75	90	76	183	58	78	84	39	51	42	39	29	50	51	68	25	28	28	23	13	29	28	14	9	10	9	24	11	16	22	14	11	3	6	7	2	1	7	4	5	4	4	1	3	0	3	4	4	5	4	0	4	3	1	0	5	3	1	1	2	2	0	0	0	2	1	0	0	0	0	5	0	0	0	0	0	0	0	3	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north3_active	80	6531	1061	867	1114	488	557	287	371	173	427	188	350	177	336	91	181	88	78	110	46	47	39	40	35	97	37	52	50	27	31	18	17	13	33	27	52	17	20	15	13	6	19	16	8	4	3	4	17	4	8	19	9	7	2	5	5	1	0	4	1	2	0	2	1	1	0	1	2	4	2	4	0	1	2	0	0	2	2	1	1	2	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	10359	2251	1709	1878	962	940	586	683	382	657	345	576	293	506	185	297	146	139	207	101	109	84	82	74	190	48	76	83	40	54	40	33	27	58	44	70	29	26	26	19	9	20	30	16	12	10	11	27	18	18	17	17	6	2	5	8	1	1	5	4	7	2	4	1	3	0	3	1	4	4	1	0	4	3	1	0	0	1	0	2	1	2	1	0	0	2	1	1	0	0	0	5	2	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
0.03	north4_active	80	6406	1029	879	1118	501	543	289	420	155	425	190	359	178	341	94	189	78	69	121	42	51	41	40	33	110	28	51	49	23	31	18	14	12	44	23	57	19	17	17	11	6	13	19	9	7	4	5	19	11	8	14	13	4	2	3	5	1	1	3	2	5	0	2	1	1	0	1	1	4	1	1	0	0	2	0	0	0	1	0	1	1	0	1	0	0	2	0	1	0	0	0	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	10251	2286	1718	1893	992	931	580	676	385	615	348	504	304	521	188	273	129	137	216	92	111	83	88	72	194	49	64	90	31	51	40	24	34	56	38	78	31	25	27	14	8	23	28	13	12	11	11	28	17	24	19	11	15	10	2	8	4	2	6	7	5	2	3	0	4	2	4	4	10	4	1	0	4	3	3	0	3	0	0	2	2	2	1	1	1	2	1	1	0	1	0	5	4	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	6344	1069	850	1129	523	524	288	398	161	397	185	294	189	365	101	174	68	67	137	38	55	39	45	33	120	22	42	55	17	31	17	11	15	40	22	57	21	16	15	10	5	13	18	7	7	5	7	19	11	13	17	8	11	6	0	3	2	2	2	4	4	0	0	0	1	1	1	1	10	1	1	0	0	2	1	0	0	0	0	1	1	0	1	1	0	2	0	1	0	0	0	5	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
