label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91
0.03	north1_all	80	6174	3235	1894	1141	3916	776	555	496	385	339	263	180	176	167	212	236	100	144	66	77	107	53	61	38	61	93	51	29	19	62	50	14	22	20	17	12	26	7	5	8	27	7	11	3	2	2	2	2	2	12	7	8	3	3	3	1	1	1	0	2	1	2	0	11	0	2	2	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
0.03	north1_active	80	2359	1610	841	321	3631	400	169	254	87	170	137	63	63	56	151	178	49	111	32	44	89	17	44	14	50	75	35	17	7	58	41	8	14	13	5	8	22	5	2	8	26	3	11	2	0	0	1	2	0	12	7	7	0	2	1	1	0	1	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	6187	3239	1921	1156	3961	776	536	472	352	329	238	173	176	169	228	236	111	159	71	92	91	48	78	34	63	100	51	24	15	50	38	12	22	18	16	12	24	9	7	13	27	6	15	3	1	3	3	3	1	9	7	6	3	11	3	1	1	0	0	2	1	3	0	1	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	3	2	1	0	0	0	0	0	0	0
0.03	north2_active	80	2379	1653	862	323	3659	392	175	233	81	156	125	63	57	48	163	179	60	116	37	46	68	18	58	14	54	86	36	19	5	42	27	8	15	14	5	6	22	6	1	9	26	2	15	2	0	0	1	2	0	9	7	5	0	10	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_all	80	6078	3217	1938	1185	3856	733	538	471	311	322	242	178	184	174	234	229	110	163	67	93	108	51	90	32	64	98	54	29	18	47	47	10	15	18	15	15	30	6	9	14	18	5	6	2	1	4	6	2	1	10	7	8	2	9	3	1	0	0	0	1	0	4	1	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	2344	1628	848	320	3571	363	174	249	70	148	126	60	65	52	167	170	66	122	28	48	83	17	67	9	58	83	41	21	8	39	36	5	12	15	6	9	27	3	2	9	16	2	5	2	0	0	3	1	0	10	7	6	0	8	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north4_all	80	6108	3175	1870	1214	3983	725	541	512	310	331	243	185	182	148	240	201	99	177	74	93	109	43	89	31	66	87	50	35	18	39	43	11	20	16	15	15	31	8	9	20	17	5	7	4	1	3	7	1	0	14	5	9	1	8	1	0	1	0	0	0	2	4	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	2348	1627	795	324	3697	366	178	283	68	152	131	57	63	40	175	154	53	138	28	49	84	15	61	13	58	75	34	25	6	31	34	5	17	12	6	9	28	3	3	14	16	3	6	4	0	0	3	0	0	14	5	7	0	8	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	6161	3168	1853	1217	3865	738	550	531	324	342	253	200	168	157	232	205	96	186	73	79	119	36	85	32	62	99	43	38	18	52	39	13	19	19	14	15	27	8	8	22	15	5	8	4	1	3	5	0	1	9	3	8	0	0	0	0	2	0	1	1	2	3	2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	2322	1614	765	323	3582	363	182	304	73	178	140	68	55	40	162	169	54	149	24	44	100	9	60	13	55	87	29	24	5	46	34	4	16	17	4	10	23	3	4	19	13	2	6	3	0	0	2	0	0	8	3	7	0	0	0	0	1	0	1	1	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
