label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu120	Otu121	Otu122	Otu123	Otu124	Otu125	Otu126	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu133	Otu134	Otu135	Otu136	Otu137	Otu138	Otu139	Otu140	Otu141	Otu142	Otu143	Otu144	Otu145	Otu146	Otu147	Otu148	Otu149	Otu150	Otu151	Otu152	Otu153	Otu154	Otu155	Otu156	Otu157	Otu158	Otu159	Otu160	Otu161	Otu162	Otu163	Otu164	Otu165
0.03	north1_all	80	4194	1872	2071	2764	606	705	1022	384	456	271	211	435	176	334	153	195	231	106	275	221	109	135	95	60	140	46	44	61	56	46	29	45	31	36	41	66	21	24	24	74	26	22	22	111	12	52	15	14	16	54	11	9	19	8	12	9	1	7	38	4	40	6	3	5	22	11	3	12	12	6	8	3	3	4	2	0	2	2	1	2	9	0	2	1	5	3	3	3	3	2	2	1	0	0	0	0	8	11	5	1	1	1	2	1	3	3	1	2	0	1	0	0	2	2	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north1_active	80	2131	374	1522	2477	105	480	868	176	310	112	94	369	58	266	37	117	186	45	238	183	74	107	69	20	114	12	13	43	21	28	4	30	9	17	32	57	9	13	15	69	13	13	10	106	4	45	7	8	13	51	5	4	19	6	4	3	0	4	32	0	36	2	2	2	22	9	1	8	11	3	5	3	3	2	1	0	0	2	1	2	8	0	0	1	4	2	2	2	3	0	0	0	0	0	0	0	7	11	5	1	1	0	2	1	3	2	0	2	0	1	0	0	2	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_all	80	4146	1854	1990	2835	625	677	1014	367	455	265	219	466	170	334	147	190	226	113	265	212	116	130	102	67	132	51	42	61	50	49	33	38	25	36	34	56	21	26	26	73	19	20	22	88	14	56	10	14	13	38	14	11	31	10	9	9	2	8	24	6	34	7	8	6	23	7	3	10	18	6	7	4	3	2	4	1	5	2	2	1	6	0	2	1	8	1	2	2	2	3	2	1	0	1	0	0	11	8	5	1	1	4	2	1	2	3	1	0	1	0	0	0	5	4	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north2_active	80	2071	389	1464	2545	114	460	869	176	315	103	96	392	57	270	36	120	180	48	227	171	90	104	71	24	106	10	10	39	20	31	8	22	5	16	29	50	8	16	18	66	12	12	9	84	4	49	7	9	9	36	7	4	29	8	3	2	0	4	18	0	32	1	4	3	23	5	1	6	18	2	4	3	3	2	2	0	3	2	1	1	5	0	0	1	7	1	0	2	1	0	0	0	0	0	0	0	10	8	5	1	1	3	2	1	2	2	0	0	1	0	0	0	5	3	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north3_all	80	4095	1853	1915	2847	639	738	1067	350	480	260	224	476	154	334	142	193	239	104	284	248	127	117	99	67	117	48	36	64	39	54	26	41	23	34	30	64	20	29	29	57	18	21	22	87	16	45	9	18	11	43	16	8	30	17	7	7	5	14	16	6	44	9	8	3	19	3	4	7	15	5	5	3	3	2	3	1	6	3	6	1	6	0	2	0	5	1	4	2	3	3	1	2	0	1	0	0	9	0	4	3	1	4	2	1	2	2	1	0	1	0	0	0	5	4	0	1	0	0	1	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
0.03	north3_active	80	2037	393	1406	2552	135	508	929	184	319	107	91	403	45	259	31	111	191	48	245	207	93	87	71	22	97	6	7	41	21	35	8	25	4	14	24	57	7	16	22	50	15	11	9	82	3	37	7	14	5	40	6	3	26	16	3	1	0	11	14	0	41	3	3	1	19	1	2	5	15	2	1	2	1	1	1	0	5	1	5	1	5	0	0	0	3	1	2	2	1	0	0	0	0	0	0	0	7	0	4	2	1	3	2	1	2	1	0	0	1	0	0	0	5	3	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0.03	north4_all	80	4083	1782	1885	2865	645	745	1094	368	527	270	230	508	185	359	138	175	218	108	263	221	146	124	115	66	116	51	45	70	35	50	28	35	26	34	24	55	17	25	39	42	19	17	21	52	16	38	6	15	18	47	16	12	25	13	5	9	5	17	24	5	41	8	9	4	9	10	2	5	33	3	7	8	2	20	3	2	5	2	7	1	3	7	2	1	5	2	3	3	5	1	1	3	0	1	1	0	4	0	2	3	0	3	0	0	0	1	0	0	2	0	0	0	5	2	1	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1992	385	1387	2566	140	521	940	204	356	106	83	435	53	277	41	99	166	56	220	190	109	89	85	21	94	3	12	40	18	33	11	19	5	11	15	49	4	14	27	34	16	11	8	48	1	34	4	11	9	44	5	2	21	11	2	2	0	13	22	1	38	3	3	2	9	9	2	4	33	1	2	7	0	19	1	0	5	0	6	1	3	7	0	1	3	1	2	3	3	0	0	0	0	0	0	0	3	0	2	2	0	3	0	0	0	1	0	0	2	0	0	0	5	2	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4072	1791	1909	2818	650	743	1065	387	517	271	234	521	177	321	140	164	232	119	237	212	164	119	107	53	154	58	46	68	37	42	29	31	24	32	31	54	19	18	41	38	25	21	18	35	15	53	10	13	23	48	16	13	32	19	6	8	7	15	31	7	27	8	11	2	7	13	5	4	26	2	5	7	3	21	2	2	5	4	7	3	2	7	2	2	4	2	3	3	4	1	1	2	0	0	1	0	2	0	2	2	0	1	0	1	0	1	0	0	1	0	0	0	0	2	1	1	0	1	1	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1990	380	1406	2493	140	506	892	216	366	102	101	438	57	247	42	90	174	61	202	191	120	88	75	13	127	5	12	35	19	30	14	17	9	14	13	47	3	8	28	31	22	13	7	29	4	50	7	9	13	45	6	2	30	15	4	1	3	12	28	2	22	3	4	1	7	13	3	2	26	1	2	6	0	20	0	0	5	1	6	2	2	7	1	2	2	1	2	3	3	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
