label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42
0.03	north1_all	80	124	61	41	28	19	8	10	8	11	3	21	27	7	7	7	1	1	2	3	3	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
0.03	north1_active	80	65	25	26	12	9	5	5	5	5	0	11	15	6	3	5	1	0	1	2	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
0.03	north2_all	80	124	62	39	37	18	9	13	9	13	6	15	37	7	3	8	3	1	2	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
0.03	north2_active	80	64	26	25	17	5	5	6	6	7	0	13	26	4	2	6	3	0	1	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0.03	north3_all	80	122	51	43	43	16	12	12	8	15	6	12	49	9	2	5	4	1	2	0	1	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north3_active	80	58	25	32	20	3	5	3	7	10	0	6	16	6	2	4	2	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	122	51	41	40	17	14	14	9	25	4	16	42	11	6	4	4	2	1	0	6	3	2	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	59	25	26	16	4	6	4	5	21	0	8	15	6	6	3	2	0	0	0	2	1	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	112	54	30	33	11	17	18	6	27	2	14	38	6	9	9	4	1	3	2	7	5	5	1	1	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	53	27	19	11	4	6	8	2	24	0	5	13	2	6	4	2	0	2	2	3	3	5	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_all	80	121	56	31	32	16	17	14	11	35	1	20	13	10	9	6	0	4	3	2	7	4	6	1	1	1	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0
0.03	north6_active	80	55	28	17	12	8	8	8	4	35	0	10	7	6	6	1	0	2	2	2	3	3	5	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north7_all	80	116	57	28	26	20	16	10	11	24	6	22	8	8	16	7	2	3	2	3	8	5	6	0	0	1	0	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0
0.03	north7_active	80	53	28	13	11	11	7	6	5	23	3	13	8	5	9	1	1	2	2	2	3	3	5	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	129	50	32	27	18	12	5	11	37	9	27	7	6	12	10	2	4	1	3	1	1	1	0	0	0	1	0	0	0	0	1	4	0	0	0	0	1	0	0	0	0	0	0
0.03	north8_active	80	61	25	18	12	10	5	1	6	33	5	14	7	5	6	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	119	42	35	21	16	14	9	9	22	11	28	7	8	21	6	3	4	2	1	1	1	1	0	8	0	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0
0.03	north9_active	80	63	22	20	9	9	4	3	4	18	5	14	7	7	8	0	1	3	1	0	0	0	1	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	117	42	38	28	16	14	12	11	26	8	19	6	4	18	6	2	3	2	2	0	1	1	0	8	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0
0.03	north10_active	80	64	20	20	12	10	6	5	3	18	3	6	5	4	7	0	1	2	1	1	0	0	1	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
0.03	north11_all	80	120	46	32	17	14	13	13	15	42	6	25	14	12	7	4	1	0	3	0	1	0	3	2	1	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north11_active	80	53	23	16	6	4	5	7	12	35	1	22	12	7	4	3	1	0	1	0	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
