label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83
0.03	north19_all	80	7316	7981	2295	2365	1613	798	684	768	416	302	544	235	181	168	155	86	91	122	76	43	46	42	47	41	31	21	48	36	34	15	17	8	8	13	11	4	11	5	7	4	5	3	7	5	3	0	2	1	3	2	2	0	1	0	1	4	0	1	1	0	0	2	0	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north19_active	80	2682	6793	1193	1845	1210	342	358	560	180	121	459	135	63	48	78	24	27	83	19	11	24	20	25	23	22	5	39	31	18	6	4	0	0	6	8	2	6	2	3	1	1	3	5	3	1	0	2	1	3	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north20_all	80	7407	7650	2263	2259	1688	818	696	697	405	289	515	238	168	170	129	85	95	119	71	41	47	42	44	38	37	24	41	36	25	16	16	8	8	11	7	4	10	6	7	4	8	4	5	3	2	2	3	1	1	2	1	0	2	0	0	6	1	1	1	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0.03	north20_active	80	2662	6476	1160	1715	1271	344	342	507	156	115	420	124	58	48	57	23	29	77	12	11	26	15	27	26	22	9	34	30	16	10	5	2	1	3	2	2	5	4	3	1	3	4	3	2	2	1	3	0	1	0	0	0	1	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_all	80	9679	5989	2184	1581	1024	1194	1876	627	408	302	241	401	179	188	120	123	90	313	83	49	39	46	41	31	30	21	42	66	20	20	12	9	10	12	8	5	5	4	8	7	4	8	2	5	2	4	2	1	1	2	1	1	3	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south21_active	80	6199	4726	1004	855	445	843	1686	404	169	65	81	311	75	105	39	64	53	290	40	31	9	8	14	9	13	7	32	61	3	12	5	3	4	4	2	1	4	0	2	5	2	6	1	1	0	3	1	1	0	2	0	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_all	80	9654	5853	2140	1581	1016	1136	1771	625	400	303	242	402	175	170	127	144	102	293	80	62	45	42	40	36	28	29	40	87	16	19	12	11	10	10	5	6	4	5	5	11	4	6	2	6	4	3	3	1	2	2	1	1	4	1	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south22_active	80	6162	4596	999	850	443	802	1564	410	160	72	71	326	69	91	41	69	58	272	37	39	10	8	16	9	13	8	28	83	1	9	6	3	1	6	2	1	2	2	1	9	2	4	1	1	2	2	1	1	1	2	0	1	3	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south23_all	80	9714	5934	2092	1625	1020	1147	1808	614	407	311	232	436	172	171	136	144	108	305	73	61	46	30	43	41	28	26	39	90	13	23	11	12	15	13	7	6	3	4	5	10	4	5	1	8	4	5	2	1	1	10	0	0	4	1	1	1	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south23_active	80	6238	4635	953	862	440	828	1605	425	166	83	54	355	66	90	43	66	60	281	34	38	13	9	16	10	13	7	24	86	2	11	5	5	8	9	5	1	1	2	1	9	2	5	1	3	2	2	0	0	1	10	0	0	3	1	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south24_all	80	9693	5959	2068	1593	1069	1185	1804	609	402	307	244	399	180	175	144	152	106	283	82	66	51	35	47	42	30	34	27	84	10	18	11	10	14	13	9	6	6	5	4	16	2	12	0	6	3	3	2	1	4	10	0	0	2	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south24_active	80	6180	4668	1002	854	459	851	1591	423	151	95	65	312	73	108	54	70	57	261	52	43	15	10	16	11	15	12	15	79	2	9	5	5	8	8	6	3	3	3	1	15	1	12	0	3	2	0	0	0	1	10	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	south25_all	80	9812	6045	2104	1593	1070	1213	1800	608	396	308	227	432	169	189	153	146	107	302	82	77	57	38	39	40	34	32	24	67	8	17	13	10	15	18	12	11	7	5	5	17	1	11	0	5	0	2	3	1	4	8	0	0	2	1	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0.03	south25_active	80	6286	4732	1034	874	465	888	1591	423	163	95	66	336	60	114	63	72	51	275	55	53	15	10	12	10	16	9	16	60	3	10	6	4	10	13	9	4	3	3	3	16	1	11	0	4	0	0	1	0	1	8	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0.03	south26_all	80	9690	5991	2064	1561	1061	1194	1915	619	387	313	230	434	181	191	153	134	104	302	85	75	51	42	42	33	38	31	21	62	13	15	15	8	11	16	10	12	10	3	3	13	2	17	2	6	0	0	3	1	4	7	0	2	1	2	1	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south26_active	80	6171	4678	1049	855	461	857	1719	425	151	95	70	340	63	117	53	64	46	276	54	49	13	7	13	9	17	9	15	56	4	12	9	3	8	11	7	5	6	3	3	12	2	17	0	5	0	0	1	0	0	7	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south27_all	80	9404	5816	2145	1553	1117	1118	1720	605	393	313	229	416	190	191	138	132	115	307	79	80	58	43	39	31	32	27	19	52	11	11	19	12	11	15	11	11	12	3	7	11	4	11	2	3	3	0	4	0	2	1	1	2	0	2	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south27_active	80	5871	4492	1067	839	479	793	1535	387	140	91	67	328	64	112	42	64	53	281	47	52	15	7	8	5	11	5	13	42	3	8	8	3	6	10	9	3	9	2	5	11	3	10	0	3	2	0	1	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
0.03	south28_all	80	9196	5523	2104	1522	1075	1025	1575	589	400	297	234	364	197	183	146	126	92	264	69	76	54	48	37	24	33	24	26	55	11	17	20	9	14	15	12	8	10	3	7	6	5	15	2	2	3	0	1	0	3	2	1	2	0	3	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	south28_active	80	5481	4117	985	765	434	702	1373	353	139	85	69	286	60	104	40	57	44	239	37	38	12	9	11	3	11	5	16	43	3	10	7	3	6	11	8	3	8	2	4	5	2	13	0	2	2	0	0	0	1	2	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south29_all	80	8890	5196	2120	1505	1056	942	1389	550	394	311	231	318	199	177	129	122	99	246	65	72	55	45	43	27	25	23	30	59	9	17	20	9	13	10	10	7	10	5	8	8	5	12	2	3	5	1	2	0	2	2	1	0	0	3	0	0	1	4	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	south29_active	80	5068	3734	947	732	393	634	1177	314	134	82	55	235	56	95	40	48	55	222	30	33	11	9	13	4	8	5	18	48	3	9	7	0	3	4	7	1	6	2	4	7	1	9	0	2	3	0	0	0	1	2	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south30_all	80	8661	4998	2087	1508	983	973	1393	523	388	315	230	299	181	149	141	118	91	217	65	77	59	47	46	32	25	22	25	53	8	18	18	10	12	7	9	6	10	5	6	4	4	12	1	3	5	1	1	2	2	2	0	0	0	1	0	0	1	3	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
0.03	south30_active	80	4844	3490	890	690	342	653	1192	286	124	77	50	212	47	80	39	44	47	193	29	33	13	12	15	5	11	5	16	42	3	5	5	0	4	2	5	1	6	2	4	3	0	10	0	1	2	0	0	0	1	2	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south31_all	80	9796	6238	2225	1575	1010	1178	1777	667	387	298	224	411	168	183	147	131	108	291	79	71	44	38	35	36	31	33	29	76	17	20	11	10	11	17	8	5	6	3	8	6	5	10	1	3	4	2	2	2	1	4	0	2	1	1	5	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	south31_active	80	6234	4909	1084	880	405	865	1569	441	142	95	66	321	75	105	45	76	54	255	49	41	11	7	13	7	12	11	23	69	5	13	7	3	6	11	6	4	3	1	5	4	2	10	1	3	1	0	2	1	0	3	0	0	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_all	80	9684	6154	2214	1579	1026	1183	1845	664	345	280	230	400	189	192	136	128	88	287	69	67	42	38	46	34	35	36	37	71	18	15	5	13	6	16	7	8	5	4	5	5	4	7	1	3	1	3	2	2	1	5	0	1	1	2	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south32_active	80	6208	4857	1056	886	411	873	1637	442	130	89	70	312	82	103	45	74	46	256	41	38	11	10	21	7	12	10	27	62	6	7	3	3	2	9	5	4	2	3	3	3	2	6	0	2	1	1	2	1	0	4	0	0	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_all	80	9669	6013	2216	1524	1071	1141	1815	641	352	282	239	420	204	204	143	135	93	258	61	62	44	42	45	37	36	38	35	47	16	11	11	15	9	8	8	9	6	4	5	14	3	12	2	3	2	3	1	1	1	2	0	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south33_active	80	6189	4748	1044	832	444	839	1611	429	146	85	77	337	85	122	50	73	52	235	36	39	13	11	20	7	17	12	23	38	5	5	7	3	5	5	6	4	3	2	3	10	1	9	0	2	1	1	1	1	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_all	80	9595	5937	2186	1484	1043	1119	1876	668	343	284	239	405	216	218	159	136	98	282	58	63	52	44	46	47	31	31	33	54	16	8	16	16	11	7	9	9	6	6	2	27	3	11	3	3	1	2	0	1	2	2	0	1	1	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south34_active	80	6121	4645	1033	789	451	815	1673	441	143	90	73	333	79	130	56	70	54	263	34	31	15	12	22	10	14	8	19	43	8	4	8	4	6	3	5	4	4	2	2	24	1	8	1	1	0	1	0	1	1	2	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	south35_all	80	9638	5951	2220	1545	1028	1133	1841	647	376	310	238	417	195	201	152	151	94	281	56	58	47	43	51	39	33	30	31	57	14	10	20	18	14	7	12	12	10	6	3	27	1	10	6	2	2	1	0	1	2	2	0	3	1	2	3	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
