label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77
0.03	north1_all	80	4654	2497	1215	1039	727	516	1367	1835	533	497	233	141	235	198	81	147	71	56	119	43	31	107	17	18	21	11	15	10	33	17	31	15	38	13	3	3	8	5	5	2	5	3	1	3	4	2	1	1	6	0	0	0	1	4	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	3	0
0.03	north1_active	80	1629	1400	409	560	389	213	1253	1748	441	432	142	43	186	155	28	118	26	19	107	16	11	99	8	6	5	2	6	2	31	7	29	7	32	12	3	1	8	2	1	0	4	0	1	1	1	0	1	0	4	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	3	0
0.03	north2_all	80	4632	2504	1253	1024	750	484	1475	1864	571	543	204	126	227	194	92	140	70	50	106	41	27	127	20	19	20	15	12	12	29	9	30	15	41	14	4	1	11	8	5	3	5	1	1	3	3	2	0	0	5	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0
0.03	north2_active	80	1636	1386	444	543	409	189	1359	1779	475	462	121	42	180	148	27	108	29	20	96	12	7	121	11	7	5	3	5	5	26	5	26	7	39	13	3	1	10	4	2	0	4	0	1	2	1	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0
0.03	north3_all	80	4629	2486	1242	1018	750	488	1461	1794	578	567	194	139	195	175	103	125	73	45	117	43	35	121	23	17	12	18	12	14	32	6	22	15	55	17	3	0	9	7	4	2	3	1	2	3	2	2	0	1	2	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	3	0
0.03	north3_active	80	1633	1376	436	522	406	188	1337	1712	489	488	119	43	151	133	29	93	39	24	107	9	10	113	14	3	3	3	5	7	27	5	19	8	52	16	2	0	8	4	1	0	3	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	3	0
0.03	north4_all	80	4630	2474	1233	1019	748	497	1447	1811	578	545	190	143	192	187	93	119	76	53	85	42	36	87	34	21	11	15	12	12	19	6	23	6	43	16	5	1	10	4	3	3	6	2	3	3	2	1	1	1	2	0	1	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1653	1362	416	532	392	195	1318	1725	493	469	122	44	146	142	34	89	42	19	76	14	14	80	19	5	3	2	5	6	13	5	19	5	42	16	2	1	9	3	2	0	5	1	2	2	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	4679	2458	1220	982	731	480	1356	1844	555	530	203	142	176	151	79	115	72	54	70	43	33	91	30	25	11	13	16	14	18	8	26	5	29	15	4	2	8	4	2	2	4	1	2	7	2	0	1	1	3	0	1	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1698	1341	392	495	387	193	1228	1753	479	453	137	46	131	112	35	87	42	17	61	13	13	81	13	7	2	4	6	6	13	6	22	4	28	11	1	1	7	2	1	1	3	1	1	6	1	0	1	0	1	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
