label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81
0.03	north1_all	80	15415	3372	1938	1192	1098	1174	561	637	288	278	264	240	218	190	141	104	138	74	60	49	46	105	54	38	29	24	56	21	19	22	29	18	16	10	20	15	13	7	5	3	4	3	0	2	2	3	7	0	1	1	2	1	0	1	0	1	0	0	0	0	0	3	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north1_active	80	9902	1775	972	535	616	720	283	375	139	135	130	128	137	115	76	45	96	38	29	26	22	69	32	23	19	13	31	8	10	17	18	13	8	8	13	9	10	3	4	1	1	2	0	2	1	2	7	0	1	1	1	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north2_all	80	15347	3419	1900	1166	1096	1210	549	590	307	292	257	229	213	173	130	101	129	69	66	52	35	104	57	31	31	20	36	19	16	18	27	17	19	4	14	14	8	10	3	4	4	0	1	1	3	3	2	1	1	2	1	1	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north2_active	80	9875	1799	935	554	601	733	275	354	149	152	121	125	128	96	78	46	88	32	34	27	16	70	36	17	17	12	26	7	6	11	17	13	11	3	10	6	6	5	2	1	1	0	0	1	1	2	2	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	15319	3345	1916	1150	1097	1198	536	569	308	303	253	237	203	190	145	104	130	67	63	53	41	117	76	38	35	25	45	18	14	17	18	18	17	5	11	8	9	10	2	3	2	2	1	0	2	3	2	2	1	1	3	1	1	2	0	0	0	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	9849	1749	968	564	574	734	269	323	147	166	126	131	111	102	80	55	85	27	33	34	18	79	54	22	17	14	33	6	6	8	9	13	12	3	7	3	6	4	0	1	0	2	0	0	0	2	2	1	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	15328	3343	1937	1162	1099	1210	556	584	297	310	249	243	214	166	145	108	120	64	64	53	46	109	68	43	30	28	50	17	14	14	19	13	16	8	5	6	11	9	3	5	2	3	2	2	3	3	2	2	1	1	2	1	1	2	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	9771	1767	968	580	577	744	287	335	144	168	121	145	122	84	82	64	74	27	32	35	22	78	51	23	16	17	36	5	5	6	10	9	13	5	2	2	7	4	0	2	0	3	0	1	0	2	2	1	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	14977	3241	1905	1185	1088	1183	521	610	279	337	250	241	217	168	160	113	133	79	63	62	47	108	83	50	29	32	33	9	10	15	27	13	15	7	11	5	11	5	5	5	0	4	2	4	2	1	1	3	1	1	3	0	2	3	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0
0.03	north5_active	80	9582	1684	949	560	559	720	262	346	133	181	122	143	124	87	93	67	87	40	28	37	19	71	56	30	16	19	24	1	5	7	16	11	11	5	7	3	6	3	1	3	0	4	0	2	0	1	1	2	1	0	1	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
