label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81	Otu82	Otu83	Otu84	Otu85	Otu86	Otu87	Otu88	Otu89	Otu90	Otu91	Otu92	Otu93	Otu94	Otu95	Otu96	Otu97	Otu98	Otu99	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110
0.03	north1_all	80	2542	1458	598	1221	340	549	699	178	159	127	218	273	79	82	52	58	69	79	134	44	87	29	94	46	32	26	55	19	63	21	16	10	14	8	12	26	10	10	5	7	8	8	7	4	2	12	1	6	4	4	1	4	7	6	2	7	0	5	2	0	5	3	2	3	2	0	2	3	4	8	1	0	4	1	0	0	6	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0
0.03	north1_active	80	1308	788	281	762	166	348	488	88	77	57	132	180	34	56	22	29	38	36	98	29	72	10	63	29	20	11	28	6	49	14	7	4	3	6	6	15	5	4	0	4	6	4	4	2	1	6	0	3	3	4	1	1	5	5	2	3	0	2	0	0	3	2	2	0	1	0	0	3	3	1	0	0	2	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
0.03	north2_all	80	2498	1434	623	1230	356	522	663	180	164	129	212	287	81	91	60	63	70	87	128	54	81	29	123	42	25	18	48	21	56	23	18	9	14	14	15	31	9	11	6	5	5	8	7	3	1	13	2	10	6	5	1	5	8	5	2	2	0	5	4	0	6	3	2	2	1	1	2	2	0	4	0	0	2	0	0	0	6	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
0.03	north2_active	80	1285	767	290	762	175	329	454	79	80	52	113	188	26	64	29	28	37	46	88	34	62	9	91	24	12	9	20	6	31	17	10	2	5	6	7	18	6	5	0	3	3	3	4	1	1	5	1	7	5	5	0	2	6	5	2	0	0	2	2	0	5	2	2	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_all	80	2546	1430	621	1210	361	526	618	194	168	123	198	277	84	95	62	67	68	83	139	55	100	26	138	32	21	23	52	27	54	19	18	10	16	14	14	29	7	7	7	5	5	7	9	3	1	7	3	10	6	4	1	3	6	7	1	4	0	3	2	0	3	3	1	1	3	2	1	1	0	3	0	0	2	0	0	0	6	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north3_active	80	1323	768	269	745	176	327	388	87	80	48	98	178	30	63	29	28	39	46	101	34	69	13	109	16	10	12	22	12	33	15	11	4	4	5	7	19	4	3	1	2	1	2	7	1	1	4	2	6	4	4	0	1	6	5	1	1	0	1	2	0	2	2	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_all	80	2564	1366	609	1199	385	540	655	204	152	126	206	295	88	94	64	72	51	86	134	60	89	28	151	33	19	23	51	26	48	17	19	12	12	17	12	48	10	4	10	3	5	4	8	2	1	2	2	17	5	6	1	3	2	3	0	3	0	1	2	0	2	1	1	0	4	3	0	1	0	1	0	0	7	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north4_active	80	1343	733	277	730	185	340	417	82	70	46	113	168	33	58	32	34	26	51	94	34	48	14	123	18	9	10	26	10	25	13	9	5	4	7	5	29	7	3	1	1	2	2	5	1	1	0	2	13	3	3	0	1	2	0	0	1	0	0	2	0	2	1	1	0	2	2	0	1	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_all	80	2598	1370	595	1196	392	498	717	204	148	124	180	262	87	100	67	67	50	82	132	53	86	28	125	30	18	20	54	24	46	19	17	12	11	22	10	38	14	4	7	3	4	6	8	2	2	5	3	15	10	3	1	1	3	5	2	3	0	0	0	1	6	1	1	0	4	2	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north5_active	80	1363	746	295	737	182	310	487	85	66	46	105	144	35	62	29	31	33	47	96	30	55	18	98	18	8	10	32	10	22	14	8	5	5	15	4	21	10	4	2	0	2	3	6	0	1	1	2	11	5	0	0	0	2	2	1	1	0	0	0	0	6	1	1	0	2	2	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
