label	Group	numOtus	Otu0	Otu1	Otu2	Otu3	Otu4	Otu5	Otu6	Otu7	Otu8	Otu9	Otu10	Otu11	Otu12	Otu13	Otu14	Otu15	Otu16	Otu17	Otu18	Otu19	Otu20	Otu21	Otu22	Otu23	Otu24	Otu25	Otu26	Otu27	Otu28	Otu29	Otu30	Otu31	Otu32	Otu33	Otu34	Otu35	Otu36	Otu37	Otu38	Otu39	Otu40	Otu41	Otu42	Otu43	Otu44	Otu45	Otu46	Otu47	Otu48	Otu49	Otu50	Otu51	Otu52	Otu53	Otu54	Otu55	Otu56	Otu57	Otu58	Otu59	Otu60	Otu61	Otu62	Otu63	Otu64	Otu65	Otu66	Otu67	Otu68	Otu69	Otu70	Otu71	Otu72	Otu73	Otu74	Otu75	Otu76	Otu77	Otu78	Otu79	Otu80	Otu81
0.03	north1_all	80	26431	5052	2495	2597	1258	1709	873	811	897	373	361	287	235	246	138	196	123	270	106	78	68	129	62	59	46	42	24	31	47	29	23	13	33	4	17	10	9	10	5	6	14	6	4	2	5	2	8	2	2	1	11	3	2	0	0	2	0	0	0	2	1	1	2	0	0	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2
0.03	north1_active	80	23366	2926	787	1852	373	1325	539	566	706	119	195	119	119	174	70	142	61	228	66	24	32	102	42	49	31	11	11	24	43	25	14	5	28	2	10	5	7	2	1	0	13	4	1	1	4	2	2	2	2	0	11	2	1	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2
0.03	north2_all	80	26501	5024	2524	2597	1219	1619	894	825	875	377	365	270	246	255	166	215	130	280	117	78	56	109	63	87	44	44	29	16	46	34	27	10	39	9	15	11	7	7	7	7	17	5	6	1	4	8	4	3	1	1	11	1	2	1	0	2	0	2	0	3	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
0.03	north2_active	80	23410	2869	784	1837	358	1232	551	548	684	123	195	111	127	183	86	148	68	240	73	21	28	83	43	74	28	16	13	10	41	28	15	4	35	4	10	5	4	1	2	0	17	3	2	1	4	7	1	3	1	0	11	1	1	1	0	1	0	2	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0
0.03	north3_all	80	26330	4969	2460	2517	1219	1614	868	838	882	382	366	270	248	280	156	229	136	268	110	80	56	108	75	90	49	52	36	24	58	43	19	11	35	10	15	8	6	7	6	9	19	6	6	1	4	6	5	4	2	1	11	2	2	1	1	2	0	2	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north3_active	80	23207	2862	771	1774	362	1217	556	553	701	126	191	103	129	199	74	158	68	236	67	22	25	85	55	75	34	21	14	14	55	36	8	5	33	5	10	5	3	4	2	1	19	3	2	1	4	5	2	3	2	1	11	1	2	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
0.03	north4_all	80	26198	5016	2431	2612	1243	1640	861	816	860	376	388	249	221	305	158	205	154	259	108	85	49	104	80	96	46	47	28	27	42	48	22	9	35	10	13	5	6	9	5	5	20	6	4	1	3	7	3	4	2	2	1	2	3	3	2	1	0	3	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0.03	north4_active	80	23082	2870	746	1860	387	1234	527	519	687	127	211	95	114	229	76	140	75	222	63	27	21	79	60	76	31	19	10	16	38	37	9	3	31	5	6	3	3	5	2	1	19	4	2	1	3	6	2	3	2	1	1	1	3	3	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0.03	north5_all	80	26020	4891	2391	2588	1295	1657	871	797	803	376	379	256	217	302	163	194	142	233	103	86	59	103	84	90	53	45	22	38	39	41	20	17	19	11	11	10	7	11	7	6	16	4	2	1	4	2	3	3	6	2	0	2	3	3	2	1	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0
0.03	north5_active	80	22942	2824	729	1856	390	1269	533	516	648	127	213	95	107	221	76	134	69	191	58	27	30	83	62	73	36	17	9	25	35	31	8	5	16	6	6	7	4	9	1	1	15	2	1	1	4	1	1	2	6	1	0	0	3	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0.03	north6_all	80	26094	4900	2381	2656	1261	1678	855	788	799	389	382	256	225	296	169	190	151	239	104	75	61	120	75	77	47	37	21	42	63	31	20	13	21	10	11	11	10	10	8	3	24	4	2	3	4	6	2	6	6	3	1	2	4	3	2	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0
0.03	north6_active	80	23024	2830	695	1908	381	1326	509	540	646	136	221	99	114	213	80	127	81	198	60	28	30	98	50	63	29	13	10	30	56	22	10	3	18	4	7	7	7	7	1	0	23	2	2	2	4	5	1	5	6	2	1	0	4	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
0.03	north7_all	80	26356	4884	2444	2642	1263	1646	880	792	828	401	392	246	238	269	182	209	137	225	111	67	65	116	75	66	52	32	30	35	64	19	16	11	22	13	10	16	8	8	6	5	16	2	2	5	6	8	1	7	5	1	2	2	1	2	1	1	1	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0.03	north7_active	80	23248	2825	736	1922	374	1331	502	555	664	143	223	98	125	191	82	142	73	192	70	19	38	97	46	53	33	12	15	22	52	13	8	3	19	7	6	8	6	5	1	0	15	1	1	1	4	7	0	6	5	1	2	0	1	2	1	1	1	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_all	80	26365	4856	2509	2554	1246	1671	862	835	845	375	387	241	231	244	189	204	133	203	108	70	69	130	71	56	49	38	35	34	71	21	19	12	15	14	10	12	9	5	6	4	22	2	3	5	7	7	0	8	5	2	2	3	2	2	4	2	3	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north8_active	80	23245	2758	787	1837	348	1335	491	583	675	144	213	92	125	168	86	138	73	177	66	21	37	106	48	44	32	15	18	24	59	17	12	3	12	7	8	3	8	3	2	0	20	1	1	1	5	6	0	6	5	1	2	1	2	2	1	2	3	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_all	80	26137	4955	2490	2565	1252	1751	868	882	871	378	406	246	235	253	188	195	121	196	90	74	68	128	81	69	51	40	31	24	70	25	21	11	17	12	12	11	9	3	6	4	21	2	4	4	8	5	0	8	0	1	2	3	2	1	4	1	3	1	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north9_active	80	23011	2824	767	1868	355	1387	488	604	685	137	238	97	132	183	89	131	63	166	55	22	38	106	60	55	32	22	12	13	60	18	12	1	10	6	8	2	8	1	3	0	19	1	0	0	4	3	0	7	0	0	2	1	2	1	1	1	3	1	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	north10_all	80	26282	4933	2476	2686	1241	1716	848	883	859	370	404	251	237	285	169	185	126	169	106	68	76	113	70	70	36	47	32	22	64	31	21	12	23	13	12	7	7	2	4	1	15	6	3	2	5	5	0	7	1	2	2	2	1	1	4	2	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
